Timestamp (ET),Open,High,Low,Close,Volume
2024-01-09 09:30:00 EST,183.92,184.23,183.65,183.68,1020430.0
2024-01-09 09:31:00 EST,183.66,184.1,183.62,183.9801,245594.0
2024-01-09 09:32:00 EST,183.99,184.17,183.7,183.78,292837.0
2024-01-09 09:33:00 EST,183.77,183.79,183.55,183.6971,280194.0
2024-01-09 09:34:00 EST,183.695,183.91,183.5994,183.86,209626.0
2024-01-09 09:35:00 EST,183.8536,183.94,183.76,183.8156,200912.0
2024-01-09 09:36:00 EST,183.835,183.895,183.64,183.73,201605.0
2024-01-09 09:37:00 EST,183.73,183.8,183.625,183.7518,148554.0
2024-01-09 09:38:00 EST,183.75,183.75,183.43,183.44,200851.0
2024-01-09 09:39:00 EST,183.445,183.56,183.25,183.25,244113.0
2024-01-09 09:40:00 EST,183.25,183.4278,183.195,183.225,222975.0
2024-01-09 09:41:00 EST,183.225,183.3,183.15,183.18,166752.0
2024-01-09 09:42:00 EST,183.18,183.29,183.105,183.155,185622.0
2024-01-09 09:43:00 EST,183.1505,183.1505,182.93,182.9414,339220.0
2024-01-09 09:44:00 EST,182.95,182.9988,182.825,182.91,249360.0
