trade_id,ticker,strategy,system,direction,status,entry_time,entry_price,entry_qty,exit_time,exit_price,exit_qty,exit_reason,hold_time_min,return_pct,gross_pnl,fees,net_pnl,entry_slippage,exit_slippage
29ac8713,INSM,reversal,intraday-paper,short,CLOSED,2026-01-09 20:09:30,174.3,100,2026-01-09 20:14:37,174.6133,100.0,SYNC,5.1,-0.18,-31.3332,2.0,-33.3332,0.0,0.0
9e6f42ec,UNG,reversal,intraday-paper,long,CLOSED,2026-01-09 20:09:27,10.57,100,2026-01-09 20:14:37,10.6334,100.0,SYNC,5.2,0.6,6.3371,2.0,4.3371,0.0,0.0
24f490e2,SMR,reversal,intraday-paper,short,CLOSED,2026-01-09 20:09:24,20.7377,100,2026-01-09 20:14:37,20.4879,100.0,SYNC,5.2,1.2,24.9817,2.0,22.9817,0.0,0.0
ede96bf0,INSM,reversal,intraday-paper,short,OPEN,2026-01-09 19:54:02,174.3,100,,,,,0.0,,0.0,0.0,0.0,0.0,0.0
9517eab4,UNG,reversal,intraday-paper,long,CLOSED,2026-01-09 19:54:00,10.57,100,2026-01-09 19:59:10,10.3698,100.0,SYNC,5.2,-1.89,-20.0181,2.0,-22.0181,0.0,0.0
78f04880,SMR,reversal,intraday-paper,short,CLOSED,2026-01-09 19:53:58,20.5746,100,2026-01-09 19:59:10,20.579,100.0,SYNC,5.2,-0.02,-0.4407,2.0,-2.4407,0.0,0.0
b44c1897,UNG,reversal,intraday-paper,long,CLOSED,2026-01-09 19:34:27,10.57,100,2026-01-09 19:39:34,10.451,100.0,SYNC,5.1,-1.13,-11.896,2.0,-13.896,0.0,0.0
5a734630,SMR,reversal,intraday-paper,short,CLOSED,2026-01-09 19:34:24,20.5746,100,2026-01-09 19:49:46,20.1876,100.0,SYNC,15.4,1.88,38.6969,2.0,36.6969,0.0,0.0
fbc3035a,INSM,reversal,intraday-paper,long,CLOSED,2026-01-09 19:34:22,173.11,100,2026-01-09 19:39:34,172.5694,100.0,SYNC,5.2,-0.31,-54.0645,2.0,-56.0645,0.0,0.0
a8afe213,UNG,reversal,intraday-paper,long,CLOSED,2026-01-09 19:14:06,10.57,100,2026-01-09 19:19:12,10.3954,100.0,SYNC,5.1,-1.65,-17.4642,2.0,-19.4642,0.0,0.0
2ae1b67d,INSM,reversal,intraday-paper,long,CLOSED,2026-01-09 19:14:03,171.8,100,2026-01-09 19:19:12,174.4951,100.0,SYNC,5.2,1.57,269.5058,2.0,267.5058,0.0,0.0
84f9dfbb,SMR,reversal,intraday-paper,short,CLOSED,2026-01-09 19:14:00,20.69,100,2026-01-09 19:19:12,20.8362,100.0,SYNC,5.2,-0.71,-14.6236,2.0,-16.6236,0.0,0.0
06ff77ab,INSM,l2_scalping,l2-scalping,short,OPEN,2026-01-09 15:47:09,175.29,100,,,,,0.0,,0.0,0.0,0.0,0.0,0.0
e80a3390,VST,l2_scalping,l2-scalping,short,CLOSED,2026-01-09 15:47:06,173.11,100,2026-01-09 15:52:10,174.7474,100.0,SYNC,5.1,-0.95,-163.7421,2.0,-165.7421,0.0,0.0
bd17329d,SMR,l2_scalping,l2-scalping,short,CLOSED,2026-01-09 15:47:04,22.145,100,2026-01-09 15:52:10,21.8998,100.0,SYNC,5.1,1.11,24.518,2.0,22.518,0.0,0.0
07aad5b4,VST,l2_scalping,l2-scalping,short,CLOSED,2026-01-09 15:30:04,173.11,100,2026-01-09 15:30:04,171.5522,100.0,SYNC,0.0,0.9,155.7787,2.0,153.7787,0.0,0.0
db1b7b2c,INSM,l2_scalping,l2-scalping,short,CLOSED,2026-01-09 15:30:01,178.09,100,2026-01-09 15:30:04,174.7064,100.0,SYNC,0.0,1.9,338.3633,2.0,336.3633,0.0,0.0
56bd7438,SMR,l2_scalping,l2-scalping,long,CLOSED,2026-01-09 15:29:59,21.14,100,2026-01-09 15:30:04,21.2579,100.0,SYNC,0.1,0.56,11.7899,2.0,9.7899,0.0,0.0
