oos_month,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,equity,auc_long,auc_short
2023-08,248,51.61290322580645,42445.33867518563,5.620195497191323,0.3832938164392574,45.16129032258064,39.516129032258064,14.516129032258066,52445.338675185616,0.9397023961213817,0.9391359414579229
2023-09,19,26.31578947368421,-9986.546949871426,-11.32799637442665,-0.49325135645925466,63.1578947368421,5.263157894736842,31.57894736842105,42458.791725314186,0.9243780055981631,0.9385992042078839
2023-10,4,50.0,1297.0956685714073,3.672750328424613,0.4999999999999978,50.0,50.0,0.0,43755.88739388559,0.9565223881025442,0.9536338195825017
2023-11,2,100.0,3470.6031878571666,0.0,2.0000000000000018,0.0,100.0,0.0,47226.49058174276,0.9327050108714069,0.9343412865334957
2023-12,29,41.37931034482759,-4538.7586190642305,-5.047739922415958,-0.11832537199650904,27.586206896551722,6.896551724137931,31.03448275862069,42687.73196267852,0.9117086903974411,0.9180889624773454
2024-02,3,100.0,303.0373763500033,163.66027183951056,0.13607339935820853,0.0,0.0,33.33333333333333,42990.76933902852,0.902897877914628,0.9068072414649084
2024-03,7,71.42857142857143,6402.353204742913,8.567320519479706,1.0605862280617298,0.0,57.14285714285714,28.57142857142857,49393.12254377144,0.9198375408262079,0.9216258844979526
2024-05,15,60.0,10263.455866578552,10.264686234811824,0.6663328218793961,0.0,13.333333333333334,86.66666666666667,59656.578410349975,0.9475674182021576,0.9526388187173218
2024-06,1,0.0,-497.0842999999985,0.0,-0.397159784114642,0.0,0.0,100.0,59159.49411034998,0.9044641624674101,0.9261578927949283
2024-07,6,33.33333333333333,-1274.6245302500035,-2.145666853981501,-0.14528225517518864,50.0,16.666666666666664,33.33333333333333,57884.86958009998,0.9693128008318279,0.9325682955484094
2024-08,88,37.5,-7196.052225835783,-5.60225855375117,-0.03769535216752507,40.909090909090914,13.636363636363635,45.45454545454545,50688.8173542642,0.9289439886739879,0.9145994905524701
2024-09,22,50.0,6122.824066792862,4.075919547305571,0.295440415049197,22.727272727272727,18.181818181818183,59.09090909090909,56811.641421057066,0.9222680782967746,0.9095116604257446
2024-10,33,48.484848484848484,5619.165691778606,3.335053220754244,0.20967939806741018,36.36363636363637,18.181818181818183,45.45454545454545,62430.80711283567,0.9577560560985975,0.9373492480878036
2024-11,140,37.142857142857146,-24870.79891250714,-4.53135497853088,-0.139812379587778,46.42857142857143,12.857142857142856,22.857142857142858,37560.00820032852,0.9437019487672885,0.9339067667050517
2024-12,37,13.513513513513514,-16266.990996571443,-13.4257074478797,-0.7323922969139026,78.37837837837837,2.7027027027027026,16.216216216216218,21293.0172037571,0.9128957248509546,0.9048223743152428
2025-01,39,23.076923076923077,-6540.508615978556,-10.890805999304161,-0.4288630199954012,43.58974358974359,2.564102564102564,51.28205128205128,14752.508587778542,0.9139420751979689,0.9057450336139543
2025-02,52,50.0,2383.6475564285706,2.2295521995736305,0.18126050052937123,34.61538461538461,17.307692307692307,46.15384615384615,17136.15614420712,0.9090273521371443,0.916402082990134
2025-03,61,36.0655737704918,-2627.107373514297,-2.607363919748117,-0.0802772062643645,54.09836065573771,18.0327868852459,22.950819672131146,14509.048770692822,0.8743160190951913,0.9121641236764174
2025-04,106,42.45283018867924,614.9704665571526,0.5107016196360148,0.06378819417702997,44.339622641509436,17.92452830188679,37.735849056603776,15124.019237249979,0.9020685525341742,0.9310719826967666
2025-05,21,33.33333333333333,-1276.3460285,-4.32983921835541,-0.1553155025074054,52.38095238095239,19.047619047619047,28.57142857142857,13847.673208749979,0.894314623596,0.929359741562931
2025-06,18,61.111111111111114,2986.504230200023,7.207850549748627,0.6458650595548205,38.88888888888889,50.0,11.11111111111111,16834.177438950006,0.950745611156874,0.9501312497630872
2025-07,22,54.54545454545454,3302.989857785711,6.871817696378709,0.4678115127293358,22.727272727272727,27.27272727272727,50.0,20137.167296735715,0.9621058294562461,0.9566696584353314
2025-08,54,35.18518518518518,-3956.8674380000166,-11.617689936177694,-0.14001824970903765,50.0,9.25925925925926,40.74074074074074,16180.299858735687,0.9323854743138242,0.9285059073221312
2025-09,4,50.0,37.12823003572066,0.5568274000939113,0.11123899202481646,50.0,0.0,50.0,16217.428088771409,0.9019475098534031,0.9320114189021517
