signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,stop_loss,take_profit,exit_price,exit_reason,atr,stop_distance,gross_pnl,fee,spread,net_pnl,r_multiple,oos_month
2023-08-01 09:30:00,2023-08-01 09:31:00,2023-08-01 10:31:00,AMSC,SHORT,78,20.7,23.255121428571428,15.589757142857144,20.84,time,0.8517071428571426,2.555121428571428,-10.920000000000044,0.7,0.8073,-12.427300000000043,-0.054791916515010704,2023-08
2023-08-01 09:31:00,2023-08-01 09:32:00,2023-08-01 10:32:00,AMSC,SHORT,76,20.56,23.177264285714283,15.32547142857143,21.13,time,0.8724214285714282,2.6172642857142847,-43.32000000000002,0.7,0.78128,-44.80128000000003,-0.2177846551879418,2023-08
2023-08-01 09:32:00,2023-08-01 09:33:00,2023-08-01 10:33:00,AMSC,SHORT,75,20.91,23.559407142857143,15.611185714285716,21.05,time,0.8831357142857141,2.649407142857142,-10.500000000000043,0.7,0.784125,-11.984125000000041,-0.05284201047673761,2023-08
2023-08-01 09:33:00,2023-08-01 09:34:00,2023-08-01 10:34:00,AMSC,SHORT,72,21.18,23.904535714285714,15.73092857142857,21.14,time,0.9081785714285714,2.724535714285714,2.8799999999999386,0.7,0.76248,1.4175199999999384,0.014681400500740313,2023-08
2023-08-01 09:34:00,2023-08-01 09:35:00,2023-08-01 10:35:00,AMSC,SHORT,71,21.95,24.73115,16.3877,21.48,time,0.92705,2.7811500000000002,33.36999999999992,0.7,0.7792250000000001,31.890774999999916,0.16899484026391917,2023-08
2023-08-01 09:35:00,2023-08-01 09:36:00,2023-08-01 10:36:00,AMSC,SHORT,67,21.64,24.586407142857144,15.747185714285715,21.19,time,0.9821357142857143,2.946407142857143,30.149999999999952,0.7,0.72494,28.725059999999953,0.15272838347915235,2023-08
2023-08-01 09:36:00,2023-08-01 09:37:00,2023-08-01 10:37:00,AMSC,SHORT,64,21.91,24.988278571428573,15.753442857142858,20.94,time,1.0260928571428571,3.078278571428571,62.07999999999993,0.7,0.70112,60.67887999999992,0.3151111822702388,2023-08
2023-08-01 09:37:00,2023-08-01 09:38:00,2023-08-01 10:38:00,AMSC,SHORT,63,22.19,25.334707142857145,15.900585714285716,21.0,time,1.0482357142857142,3.1447071428571425,74.97000000000008,0.7,0.6989850000000001,73.57101500000009,0.37841361562171405,2023-08
2023-08-01 09:38:00,2023-08-01 09:39:00,2023-08-01 10:39:00,AMSC,SHORT,62,22.0,25.228214285714284,15.543571428571429,20.81,time,1.0760714285714283,3.228214285714285,73.78000000000009,0.7,0.682,72.39800000000008,0.36862484788140326,2023-08
2023-08-01 09:39:00,2023-08-01 09:40:00,2023-08-01 10:40:00,AMSC,SHORT,61,21.1,24.391428571428573,14.517142857142858,20.84,time,1.0971428571428572,3.291428571428572,15.860000000000095,0.7,0.6435500000000001,14.516450000000097,0.07899305555555602,2023-08
