oos_month,trades,win_rate,pnl,equity,stop_pct,target_pct
2023-08,248,56.048387096774185,66325.70375150711,76325.70375150711,37.903225806451616,34.67741935483871
2023-09,19,31.57894736842105,-9951.05221042858,66374.6515410785,47.368421052631575,10.526315789473683
2023-10,4,50.0,2209.917758571411,68584.56929964991,50.0,50.0
2023-11,2,100.0,5492.114330000037,74076.68362964995,0.0,100.0
2023-12,29,41.37931034482759,-6358.066718578529,67718.61691107143,17.24137931034483,3.4482758620689653
2024-02,3,100.0,320.2915482500035,68038.90845932142,0.0,0.0
2024-03,7,42.857142857142854,1526.7220008714635,69565.63046019289,0.0,14.285714285714285
2024-05,15,60.0,11455.173525178554,81020.80398537144,0.0,13.333333333333334
2024-06,1,0.0,-450.84389999999865,80569.96008537145,0.0,0.0
2024-07,6,16.666666666666664,-3769.567335799982,76800.39274957147,16.666666666666664,0.0
2024-08,88,43.18181818181818,1971.5512352214128,78771.94398479289,23.863636363636363,7.954545454545454
2024-09,14,64.28571428571429,4224.284952464306,82996.22893725718,35.714285714285715,0.0
2024-10,33,48.484848484848484,4795.16542319296,87791.39436045014,24.242424242424242,12.121212121212121
2024-11,139,41.726618705035975,-27834.514345935728,59956.88001451442,29.496402877697843,5.0359712230215825
2024-12,37,16.216216216216218,-23070.36667264288,36886.513341871556,51.35135135135135,0.0
2025-01,39,20.51282051282051,-10210.689594428555,26675.82374744302,25.64102564102564,0.0
2025-02,52,51.92307692307693,2915.1662763999843,29590.990023843013,19.230769230769234,5.769230769230769
2025-03,60,33.33333333333333,-6530.437541699987,23060.55248214303,45.0,6.666666666666667
2025-04,106,44.339622641509436,616.8596333357144,23677.412115478728,30.18867924528302,6.60377358490566
2025-05,21,38.095238095238095,-2058.578674578569,21618.833440900158,42.857142857142854,4.761904761904762
2025-06,17,70.58823529411765,3111.6233042714366,24730.45674517158,23.52941176470588,0.0
2025-07,22,59.09090909090909,3625.543954171449,28356.000699343032,13.636363636363635,13.636363636363635
2025-08,53,39.62264150943396,-4573.381163642852,23782.619535700193,39.62264150943396,5.660377358490567
2025-09,1,0.0,-498.6132707142834,23284.00626498591,100.0,0.0
