action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_mode,execution_assumption,entry_price,stop_price,target_price,context
2026-04-15|NOW|2026-04-15T09:31:00-04:00|long|8,2026-04-15,NOW,2026-04-15T09:31:00-04:00,long,8,0.8415262699127197,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,89.82,89.37,134.73,"{'pressure_k': 0.0, 'spread': 0.12000000000000455, 'depth_imb_k': 0.043450744515495285, 'micro_off': 0.030000000000001137, 'spread_mean_10s': 0.1653846153846151, 'depth_imb_k_mean_10s': -0.06989097132288016, 'depth_imb_k_mean_60s': 0.33236631621385077, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-15|NOW|2026-04-15T09:33:00-04:00|long|3,2026-04-15,NOW,2026-04-15T09:33:00-04:00,long,3,0.8729181289672852,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,90.9301,90.48,136.4,"{'pressure_k': 0.0, 'spread': 0.04999999999999716, 'depth_imb_k': -0.29510959760329336, 'micro_off': 0.015000000000000568, 'spread_mean_10s': 0.11200000000000046, 'depth_imb_k_mean_10s': -0.4524788582086046, 'depth_imb_k_mean_60s': -0.11625546970459986, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-15|CRCL|2026-04-15T10:25:00-04:00|short|3,2026-04-15,CRCL,2026-04-15T10:25:00-04:00,short,3,0.6176055073738098,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,105.7,106.23,52.85,"{'pressure_k': 0.0, 'spread': 0.1700000000000017, 'depth_imb_k': -0.5253816504931511, 'micro_off': -1.4210854715202004e-14, 'spread_mean_10s': 0.12102564102568254, 'depth_imb_k_mean_10s': -0.5275942887750401, 'depth_imb_k_mean_60s': -0.44311657062588217, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 1.0}"
2026-04-15|IONQ|2026-04-15T10:36:00-04:00|short|3,2026-04-15,IONQ,2026-04-15T10:36:00-04:00,short,3,0.6039167642593384,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,41.26,41.47,20.63,"{'pressure_k': 0.0, 'spread': 0.020000000000003126, 'depth_imb_k': 0.06800708650889156, 'micro_off': 0.003333333333337407, 'spread_mean_10s': 0.01736842105261578, 'depth_imb_k_mean_10s': 0.4265478303895513, 'depth_imb_k_mean_60s': 0.14141499496744536, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 1.0}"
