sweep_id,error,entries,rejections
289,'pnl',0,0
290,'pnl',0,0
291,'pnl',0,0
292,'pnl',0,0
294,'pnl',0,0
295,'pnl',0,0
293,'pnl',0,0
296,'pnl',0,0
297,'pnl',0,0
298,'pnl',0,0
299,'pnl',0,0
300,'pnl',0,0
301,'pnl',0,0
303,'pnl',0,0
302,'pnl',0,0
305,'pnl',0,0
304,'pnl',0,0
306,'pnl',0,0
307,'pnl',0,0
308,'pnl',0,0
309,'pnl',0,0
310,'pnl',0,0
311,'pnl',0,0
312,'pnl',0,0
313,'pnl',0,0
314,'pnl',0,0
315,'pnl',0,0
316,'pnl',0,0
317,'pnl',0,0
318,'pnl',0,0
319,'pnl',0,0
320,'pnl',0,0
321,'pnl',0,0
323,'pnl',0,0
322,'pnl',0,0
324,'pnl',0,0
325,'pnl',0,0
326,'pnl',0,0
327,'pnl',0,0
328,'pnl',0,0
329,'pnl',0,0
330,'pnl',0,0
331,'pnl',0,0
332,'pnl',0,0
333,'pnl',0,0
334,'pnl',0,0
335,'pnl',0,0
336,'pnl',0,0
337,'pnl',0,0
338,'pnl',0,0
339,'pnl',0,0
340,'pnl',0,0
342,'pnl',0,0
341,'pnl',0,0
343,'pnl',0,0
344,'pnl',0,0
345,'pnl',0,0
346,'pnl',0,0
347,'pnl',0,0
348,'pnl',0,0
350,'pnl',0,0
349,'pnl',0,0
351,'pnl',0,0
352,'pnl',0,0
353,'pnl',0,0
354,'pnl',0,0
355,'pnl',0,0
356,'pnl',0,0
358,'pnl',0,0
357,'pnl',0,0
359,'pnl',0,0
360,'pnl',0,0
362,'pnl',0,0
361,'pnl',0,0
363,'pnl',0,0
364,'pnl',0,0
365,'pnl',0,0
366,'pnl',0,0
367,'pnl',0,0
368,'pnl',0,0
369,'pnl',0,0
370,'pnl',0,0
371,'pnl',0,0
372,'pnl',0,0
374,'pnl',0,0
373,'pnl',0,0
375,'pnl',0,0
376,'pnl',0,0
377,'pnl',0,0
378,'pnl',0,0
379,'pnl',0,0
380,'pnl',0,0
381,'pnl',0,0
382,'pnl',0,0
383,'pnl',0,0
384,'pnl',0,0
385,'pnl',0,0
387,'pnl',0,0
386,'pnl',0,0
388,'pnl',0,0
389,'pnl',0,0
390,'pnl',0,0
391,'pnl',0,0
392,'pnl',0,0
393,'pnl',0,0
394,'pnl',0,0
395,'pnl',0,0
396,'pnl',0,0
397,'pnl',0,0
398,'pnl',0,0
399,'pnl',0,0
400,'pnl',0,0
401,'pnl',0,0
402,'pnl',0,0
403,'pnl',0,0
404,'pnl',0,0
405,'pnl',0,0
406,'pnl',0,0
407,'pnl',0,0
408,'pnl',0,0
409,'pnl',0,0
410,'pnl',0,0
411,'pnl',0,0
412,'pnl',0,0
413,'pnl',0,0
414,'pnl',0,0
415,'pnl',0,0
416,'pnl',0,0
417,'pnl',0,0
418,'pnl',0,0
419,'pnl',0,0
420,'pnl',0,0
421,'pnl',0,0
422,'pnl',0,0
423,'pnl',0,0
424,'pnl',0,0
425,'pnl',0,0
426,'pnl',0,0
427,'pnl',0,0
428,'pnl',0,0
429,'pnl',0,0
430,'pnl',0,0
431,'pnl',0,0
432,'pnl',0,0
433,'pnl',0,0
434,'pnl',0,0
435,'pnl',0,0
436,'pnl',0,0
437,'pnl',0,0
438,'pnl',0,0
439,'pnl',0,0
440,'pnl',0,0
441,'pnl',0,0
442,'pnl',0,0
443,'pnl',0,0
444,'pnl',0,0
445,'pnl',0,0
446,'pnl',0,0
447,'pnl',0,0
448,'pnl',0,0
449,'pnl',0,0
450,'pnl',0,0
451,'pnl',0,0
452,'pnl',0,0
453,'pnl',0,0
454,'pnl',0,0
455,'pnl',0,0
456,'pnl',0,0
457,'pnl',0,0
458,'pnl',0,0
459,'pnl',0,0
460,'pnl',0,0
461,'pnl',0,0
462,'pnl',0,0
463,'pnl',0,0
464,'pnl',0,0
465,'pnl',0,0
466,'pnl',0,0
467,'pnl',0,0
468,'pnl',0,0
469,'pnl',0,0
470,'pnl',0,0
471,'pnl',0,0
472,'pnl',0,0
473,'pnl',0,0
474,'pnl',0,0
475,'pnl',0,0
476,'pnl',0,0
477,'pnl',0,0
478,'pnl',0,0
479,'pnl',0,0
480,'pnl',0,0
481,'pnl',0,0
482,'pnl',0,0
483,'pnl',0,0
484,'pnl',0,0
485,'pnl',0,0
486,'pnl',0,0
487,'pnl',0,0
488,'pnl',0,0
489,'pnl',0,0
490,'pnl',0,0
491,'pnl',0,0
492,'pnl',0,0
493,'pnl',0,0
494,'pnl',0,0
495,'pnl',0,0
496,'pnl',0,0
497,'pnl',0,0
498,'pnl',0,0
499,'pnl',0,0
500,'pnl',0,0
501,'pnl',0,0
502,'pnl',0,0
503,'pnl',0,0
504,'pnl',0,0
505,'pnl',0,0
506,'pnl',0,0
507,'pnl',0,0
508,'pnl',0,0
509,'pnl',0,0
510,'pnl',0,0
511,'pnl',0,0
512,'pnl',0,0
513,'pnl',0,0
514,'pnl',0,0
515,'pnl',0,0
516,'pnl',0,0
518,'pnl',0,0
517,'pnl',0,0
519,'pnl',0,0
520,'pnl',0,0
522,'pnl',0,0
521,'pnl',0,0
523,'pnl',0,0
524,'pnl',0,0
525,'pnl',0,0
526,'pnl',0,0
527,'pnl',0,0
528,'pnl',0,0
529,'pnl',0,0
530,'pnl',0,0
531,'pnl',0,0
532,'pnl',0,0
533,'pnl',0,0
534,'pnl',0,0
535,'pnl',0,0
536,'pnl',0,0
537,'pnl',0,0
538,'pnl',0,0
539,'pnl',0,0
540,'pnl',0,0
541,'pnl',0,0
542,'pnl',0,0
543,'pnl',0,0
544,'pnl',0,0
545,'pnl',0,0
546,'pnl',0,0
547,'pnl',0,0
548,'pnl',0,0
549,'pnl',0,0
550,'pnl',0,0
551,'pnl',0,0
552,'pnl',0,0
553,'pnl',0,0
554,'pnl',0,0
555,'pnl',0,0
556,'pnl',0,0
557,'pnl',0,0
558,'pnl',0,0
559,'pnl',0,0
560,'pnl',0,0
562,'pnl',0,0
561,'pnl',0,0
563,'pnl',0,0
564,'pnl',0,0
565,'pnl',0,0
566,'pnl',0,0
567,'pnl',0,0
568,'pnl',0,0
570,'pnl',0,0
569,'pnl',0,0
571,'pnl',0,0
572,'pnl',0,0
573,'pnl',0,0
574,'pnl',0,0
575,'pnl',0,0
