signal_timestamp,symbol,side,entry_price,exit_price,shares,position_value,risk_amount,gross_pnl,transaction_costs,net_pnl,gross_return,net_return,equity_after,hour_et,prob_long,prob_short
2023-08-01 09:48:00,COIN,LONG,100.0,101.2691075343776,50,5000.0,100.0,63.45537671887982,5.7,57.755376718879816,0.012691075343775893,0.011551075343775963,10057.75537671888,9,0.3293209969997406,0.0611915960907936
2023-08-01 09:51:00,ANET,SHORT,100.0,99.6315311384018,50,5000.0,100.5775537671888,-18.42344307991013,5.7,-24.12344307991013,-0.0036846886159820347,-0.0048246886159820255,10033.63193363897,9,0.1245297938585281,0.3746635019779205
2023-08-01 09:52:00,ANET,SHORT,100.0,99.37587071607692,50,5000.0,100.33631933638969,-31.206464196154116,5.7,-36.90646419615412,-0.006241292839230805,-0.007381292839230824,9996.725469442816,9,0.1792708784341812,0.4211465716361999
2023-08-01 09:55:00,ANET,SHORT,100.0,99.45631067961166,49,4900.0,99.96725469442816,-26.640776699028592,5.585999999999999,-32.22677669902859,-0.005436893203883408,-0.006576893203883386,9964.498692743788,9,0.4849216938018799,0.3075692355632782
2023-08-01 09:56:00,ANET,LONG,100.0,99.58414194621568,49,4900.0,99.64498692743788,-20.377044635431645,5.585999999999999,-25.963044635431643,-0.004158580537843237,-0.0052985805378431925,9938.535648108356,9,0.5972465872764587,0.2055432945489883
2023-08-01 09:57:00,ANET,LONG,100.0,99.84788946634552,49,4900.0,99.38535648108356,-7.453416149069483,5.585999999999999,-13.039416149069481,-0.0015211053365448146,-0.002661105336544792,9925.496231959287,9,0.670001745223999,0.0975752398371696
2023-08-01 09:58:00,ANET,LONG,100.0,99.4325300480903,49,4900.0,99.25496231959288,-27.80602764357532,5.585999999999999,-33.39202764357532,-0.005674699519097048,-0.006814699519097004,9892.104204315712,9,0.5514704585075378,0.1824949979782104
2023-08-01 09:59:00,ANET,LONG,100.0,99.68230966447442,49,4900.0,98.92104204315713,-15.566826440753573,5.585999999999999,-21.15282644075357,-0.003176903355255778,-0.004316903355255831,9870.951377874959,9,0.5515031814575195,0.1580951809883117
2023-08-01 10:00:00,ANET,LONG,100.0,100.11723329425556,49,4900.0,98.7095137787496,5.744431418522225,5.585999999999999,0.15843141852222598,0.0011723329425554763,3.2332942555556325e-05,9871.10980929348,10,0.3491835296154022,0.144207164645195
2023-08-01 10:01:00,ANET,LONG,100.0,99.79928635147188,49,4900.0,98.7110980929348,-9.83496877787799,5.585999999999999,-15.420968777877988,-0.002007136485281169,-0.003147136485281222,9855.688840515602,10,0.3177844583988189,0.2132776826620102
2023-08-01 10:02:00,ANET,LONG,100.0,99.74444444444444,49,4900.0,98.55688840515603,-12.522222222222439,5.585999999999999,-18.108222222222437,-0.002555555555555644,-0.0036955555555555995,9837.58061829338,10,0.3420937359333038,0.1768334507942199
2023-08-01 09:45:00,NCLH,LONG,100.0,103.0800213545328,49,4900.0,98.3758061829338,150.92104637210736,5.585999999999999,145.33504637210734,0.030800213545328026,0.02966021354532803,9982.915664665486,9,0.3147109150886535,0.0164924599230289
