signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,stop_loss,take_profit,exit_price,exit_reason,stop_distance,atr,gross_pnl,fee,spread,net_pnl,r_multiple,oos_month
2023-08-03 13:26:00,2023-08-03 13:27:00,2023-08-03 13:49:00,AAOI,SHORT,180,7.6,7.876982142857143,7.046035714285714,7.876982142857143,stop_hit,0.27698214285714284,0.11079285714285714,-49.85678571428579,1.26,0.684,-51.80078571428579,-1.0000000000000016,2023-08
2023-08-03 13:27:00,2023-08-03 13:28:00,2023-08-03 13:48:00,AAOI,SHORT,174,7.54,7.82575,6.9685,7.82575,stop_hit,0.28575,0.1143,-49.72050000000003,1.218,0.65598,-51.59448000000003,-1.0000000000000007,2023-08
2023-08-03 13:28:00,2023-08-03 13:30:00,2023-08-03 13:48:00,AAOI,SHORT,167,7.4999,7.794578571428572,6.9105428571428575,7.794578571428572,stop_hit,0.2946785714285714,0.11787142857142856,-49.21132142857142,1.169,0.6262416500000001,-51.00656307857141,-0.9999999999999998,2023-08
2023-08-24 13:26:00,2023-08-24 13:27:00,2023-08-24 13:40:00,AMC,SHORT,117,16.2,16.61794642857143,15.364107142857142,15.364107142857142,target_hit,0.4179464285714284,0.16717857142857134,97.79946428571432,0.8190000000000001,0.9477,96.03276428571432,2.0000000000000018,2023-08
2023-08-24 13:54:00,2023-08-24 13:55:00,2023-08-24 14:01:00,AMC,SHORT,90,14.1,14.650571428571428,12.99885714285714,14.650571428571428,stop_hit,0.5505714285714295,0.2202285714285718,-49.55142857142859,0.7,0.6345000000000001,-50.88592857142859,-0.9999999999999986,2023-08
2023-08-02 15:37:00,2023-08-02 15:38:00,2023-08-02 15:49:00,AMSC,LONG,167,11.6697,11.373735714285715,12.261628571428572,11.373735714285715,stop_hit,0.29596428571428557,0.11838571428571422,-49.42603571428571,1.169,0.9744199500000001,-51.569455664285705,-1.0000000000000004,2023-08
2023-08-02 15:39:00,2023-08-02 15:40:00,2023-08-02 15:48:00,AMSC,LONG,164,11.77,11.471160714285714,12.36767857142857,11.471160714285714,stop_hit,0.29883928571428553,0.1195357142857142,-49.00964285714277,1.1480000000000001,0.96514,-51.122782857142774,-0.9999999999999989,2023-08
2023-08-16 13:24:00,2023-08-16 13:25:00,2023-08-16 13:32:00,AMSC,SHORT,994,9.13,9.179214285714288,9.031571428571429,9.179214285714288,stop_hit,0.04921428571428617,0.019685714285714466,-48.91900000000126,6.958,4.537610000000001,-60.41461000000126,-1.0000000000000167,2023-08
2023-08-16 13:25:00,2023-08-16 13:28:00,2023-08-16 13:32:00,AMSC,SHORT,985,9.14,9.189357142857144,9.041285714285713,9.189357142857144,stop_hit,0.04935714285714329,0.019742857142857315,-48.616785714286394,6.8950000000000005,4.501450000000001,-60.013235714286395,-1.000000000000005,2023-08
2023-08-16 13:28:00,2023-08-16 13:30:00,2023-08-16 13:31:00,AMSC,SHORT,1098,9.0801,9.1241,8.992099999999999,9.1241,stop_hit,0.04400000000000055,0.01760000000000022,-48.31200000000053,7.686,4.9849749,-60.98297490000053,-0.9999999999999984,2023-08
