horizon_sec,imbalance_r,imbalance_p,bid_depth_r,bid_depth_p,ask_depth_r,ask_depth_p,n_obs
30,0.020475043747547744,3.2036853762867594e-95,0.003673657072685982,0.00020375331502281942,0.0012740756327069332,0.19768567408267718,1022254
60,0.021229963121961938,4.964321515182188e-102,0.00457251747719267,3.863828960600733e-06,0.0021800062471060383,0.027668400203568005,1020239
120,0.024774610705151155,8.586715802636339e-138,0.007877136069243874,1.967324237412932e-15,0.004270824499941342,1.6570978157622143e-05,1016863
300,0.027423877533141967,9.375484493566988e-167,0.010936676731914808,5.075281186467003e-28,0.007088093217296366,1.1403763617153753e-12,1006849
