threshold,atr_stop_mult,r_target,max_hold_bars,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,max_dd
0.6,2.0,2.0,60,66,48.484848484848484,2283.9995329499907,4.792890463903585,0.2229742343120384,40.909090909090914,21.21212121212121,37.878787878787875,363.9963599999996
0.6,2.0,3.0,60,66,45.45454545454545,2004.7278705785698,4.033467423315912,0.2090661847657883,43.93939393939394,7.575757575757576,46.96969696969697,-164.91339940714295
0.5,2.0,3.0,60,95,44.21052631578947,3625.4600898856984,3.5566667478932406,0.23340210381111764,43.15789473684211,10.526315789473683,45.26315789473684,99.53076000000235
0.6,2.0,2.5,60,66,45.45454545454545,1324.1178347571451,3.199147460755272,0.16405074212318163,43.93939393939394,12.121212121212121,42.42424242424242,-257.9372678999998
0.6,2.0,1.5,60,66,48.484848484848484,1211.5763134499937,3.120153329131319,0.150890293561996,40.909090909090914,28.78787878787879,30.303030303030305,194.989526307133
0.5,2.0,2.0,60,95,46.31578947368421,2627.4947702785557,3.039928934925718,0.18913813286219275,41.05263157894737,23.157894736842106,35.78947368421053,363.9963599999996
0.5,2.0,2.5,60,95,44.21052631578947,2463.016364664277,2.843956129373881,0.18317887524311582,43.15789473684211,15.789473684210526,40.0,99.53076000000235
0.4,2.0,3.0,60,149,44.966442953020135,4119.170862207124,2.1196792637306134,0.1806398424445881,42.95302013422819,8.724832214765101,47.651006711409394,-211.44011428571548
0.5,2.0,3.0,10,95,43.15789473684211,1800.0476042857044,2.099286802604806,0.14765313428865806,15.789473684210526,5.263157894736842,77.89473684210526,-25.366377400000573
0.5,2.0,1.5,60,95,47.368421052631575,1241.8158534714146,1.8764535218029204,0.12326928981479483,40.0,29.47368421052631,30.526315789473685,264.06995999999964
0.5,2.0,2.0,10,95,44.21052631578947,1343.697694814278,1.840717984350213,0.12406354396555788,14.736842105263156,9.473684210526317,75.78947368421053,-7.034948857150738
0.5,1.5,3.0,60,95,37.89473684210527,1712.2886047428394,1.8258411661219827,0.17438503175887343,55.78947368421052,17.894736842105264,25.263157894736842,-419.3527241857299
0.4,2.0,2.5,60,149,44.966442953020135,2806.778079878564,1.6746586149222622,0.1461907370698543,42.95302013422819,13.422818791946309,42.95302013422819,-211.44011428571548
0.5,2.0,2.5,10,95,43.15789473684211,1237.4707506071359,1.613574070846324,0.12133734481497388,15.789473684210526,5.263157894736842,77.89473684210526,-307.46710812857214
