signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,stop_loss,take_profit,exit_price,exit_reason,atr,stop_distance,gross_pnl,fee,spread,net_pnl,r_multiple
2025-07-01 14:19:00,2025-07-01 14:20:00,2025-07-01 14:35:00,LVS,LONG,1176,46.73,46.56005714285714,47.06988571428571,47.06988571428571,target,0.08497142857142848,0.16994285714285695,399.70559999999955,8.232,27.47724,363.9963599999996,2.0
2025-07-02 14:48:00,2025-07-02 14:49:00,2025-07-02 14:52:00,CNC,LONG,544,34.555,34.17445714285714,35.31608571428571,35.31608571428571,target,0.1902714285714277,0.3805428571428554,414.03062857142777,3.8080000000000003,9.398959999999999,400.8236685714278,2.0000000000000053
2025-07-02 14:51:00,2025-07-02 14:52:00,2025-07-02 15:17:00,CNC,LONG,552,34.485,34.09545714285714,35.26408571428571,35.26408571428571,target,0.19477142857142887,0.38954285714285775,430.05531428571385,3.864,9.51786,416.6734542857139,1.999999999999995
2025-07-07 14:08:00,2025-07-07 14:09:00,2025-07-07 14:44:00,TSLA,LONG,103,294.8123,292.6546714285714,299.12755714285714,292.6546714285714,stop,1.0788142857142873,2.1576285714285746,-222.23574285714318,0.721,15.18283345,-238.1395763071432,-1.0
2025-07-08 13:45:00,2025-07-08 13:46:00,2025-07-08 14:46:00,FSLR,LONG,75,171.28,168.39395714285715,177.0520857142857,171.21,time,1.4430214285714271,2.8860428571428542,-5.249999999999488,0.7,6.423,-12.37299999999949,-0.02425466407290025
2025-07-08 13:46:00,2025-07-08 13:47:00,2025-07-08 14:47:00,FSLR,LONG,81,170.33,167.6368142857143,175.71637142857145,171.26,time,1.346592857142856,2.693185714285712,75.32999999999825,0.7,6.898365000000001,67.73163499999825,0.34531595614327454
2025-07-08 13:49:00,2025-07-08 13:50:00,2025-07-08 14:50:00,FSLR,LONG,91,170.785,168.38238571428573,175.59022857142855,170.56,time,1.2013071428571382,2.4026142857142765,-20.474999999999483,0.7,7.7707175,-28.945717499999482,-0.0936479905816858
2025-07-08 14:04:00,2025-07-08 14:05:00,2025-07-08 14:22:00,FSLR,LONG,147,171.39,169.9012,174.36759999999998,169.9012,stop,0.7443999999999988,1.4887999999999977,-218.85359999999966,1.029,12.597164999999999,-232.47976499999965,-1.0
2025-07-08 14:05:00,2025-07-08 14:06:00,2025-07-08 14:27:00,FSLR,LONG,146,170.965,169.50334285714285,173.88831428571427,169.50334285714285,stop,0.7308285714285684,1.4616571428571368,-213.40194285714375,1.022,12.480445,-226.90438785714375,-1.0000000000000084
2025-07-08 13:43:00,2025-07-08 13:44:00,2025-07-08 14:44:00,ENPH,LONG,168,40.745,39.494342857142854,43.246314285714284,41.27,time,0.6253285714285717,1.2506571428571434,88.20000000000095,1.176,3.42258,83.60142000000096,0.419779316016727
2025-07-08 13:44:00,2025-07-08 13:45:00,2025-07-08 14:45:00,ENPH,LONG,222,40.99,40.03612857142857,42.89774285714286,41.265,time,0.4769357142857145,0.953871428571429,61.049999999999685,1.554,4.54989,54.946109999999685,0.28829881235865706
2025-07-08 13:46:00,2025-07-08 13:47:00,2025-07-08 14:47:00,ENPH,LONG,274,40.695,39.91972857142857,42.24554285714286,41.37,time,0.3876357142857145,0.775271428571429,184.94999999999922,1.9180000000000001,5.575215,177.45678499999923,0.8706628093386606
2025-07-08 13:47:00,2025-07-08 13:48:00,2025-07-08 14:48:00,ENPH,LONG,303,40.54,39.82687142857143,41.966257142857145,41.32,time,0.3565642857142858,0.7131285714285716,236.34000000000034,2.121,6.1418099999999995,228.07719000000034,1.0937719104950032
2025-07-08 14:07:00,2025-07-08 14:08:00,2025-07-08 14:31:00,ENPH,LONG,564,40.37,39.97818571428571,41.15362857142858,41.15362857142858,target,0.19590714285714483,0.39181428571428967,441.96651428571874,3.948,11.38434,426.63417428571876,2.0
2025-07-14 13:31:00,2025-07-14 13:32:00,2025-07-14 13:33:00,SNPS,LONG,106,568.325,566.1777428571429,572.6195142857143,572.6195142857143,target,1.0736285714285632,2.1472571428571263,455.21851428571426,0.742,30.121225000000003,424.35528928571426,2.000000000000015
2025-07-14 15:46:00,2025-07-14 15:47:00,2025-07-14 15:53:00,SNPS,SHORT,126,554.37,556.2503714285714,550.6092571428572,550.6092571428572,target,0.9401857142856979,1.8803714285713957,473.85359999998764,0.882,34.925309999999996,438.0462899999876,1.9999999999999827
2025-07-17 14:11:00,2025-07-17 14:12:00,2025-07-17 15:00:00,ELV,LONG,57,301.4908,297.21452857142856,310.0433428571428,310.0433428571428,target,2.138135714285714,4.276271428571428,487.49494285714184,0.7,8.592487799999999,478.20245505714183,1.9999999999999962
2025-07-22 13:38:00,2025-07-22 13:39:00,2025-07-22 14:39:00,IQV,SHORT,49,183.78,188.96714285714285,173.40571428571428,183.95,time,2.593571428571429,5.187142857142858,-8.329999999999387,0.7,4.50261,-13.532609999999387,-0.0327733406774969
2025-07-29 15:02:00,2025-07-29 15:03:00,2025-07-29 15:22:00,SNPS,SHORT,109,631.41,633.7485714285714,626.732857142857,633.7485714285714,stop,1.1692857142857227,2.3385714285714454,-254.90428571428401,0.763,34.411845,-290.079130714284,-0.9999999999999861
2025-07-30 14:11:00,2025-07-30 14:12:00,2025-07-30 14:14:00,ODFL,LONG,175,148.815,147.38845714285713,151.6680857142857,147.38845714285713,stop,0.7132714285714253,1.4265428571428507,-249.645000000001,1.225,13.0213125,-263.891312500001,-1.0000000000000087
2025-07-30 14:14:00,2025-07-30 14:15:00,2025-07-30 14:20:00,ODFL,SHORT,110,147.4679,149.69474285714284,143.01421428571427,149.69474285714284,stop,1.113421428571426,2.226842857142852,-244.95271428571414,0.77,8.1107345,-253.83344878571415,-1.0000000000000018
2025-07-30 14:15:00,2025-07-30 14:16:00,2025-07-30 14:36:00,ODFL,SHORT,100,147.94,150.32112857142857,143.17774285714287,150.32112857142857,stop,1.190564285714284,2.381128571428568,-238.1128571428576,0.7000000000000001,7.397,-246.20985714285757,-1.0000000000000033
