symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
exc,LONG,2024-10-02 18:10:00+00:00,40.735,40.7146325,40.767587999999996,0.0005,0.0008,2024-10-02 18:40:00+00:00,40.735,STOP,100,3.2587999999996953,2.558799999999695,0.7000000000000002,30.0
exc,LONG,2024-10-02 19:10:00+00:00,40.855,40.80533333333334,40.93446666666665,0.0012156814751354758,0.0019450903602167616,2024-10-02 19:30:00+00:00,40.85,STOP,100,8.446666666664981,7.746666666664981,0.7000000000000002,20.0
exc,SHORT,2024-10-02 19:40:00+00:00,40.98,41.029818626851046,40.900290197038316,0.0012156814751354758,0.0019450903602167616,2024-10-03 13:30:00+00:00,40.98,STOP,100,7.970980296168051,7.270980296168051,0.7000000000000002,1070.0
exc,LONG,2024-10-03 18:40:00+00:00,40.665,40.630251666666666,40.72059733333333,0.0008545022336980926,0.0013672035739169482,2024-10-03 19:20:00+00:00,40.66,STOP,100,6.059733333333384,5.359733333333383,0.7000000000000002,40.0
exc,LONG,2024-10-04 18:10:00+00:00,40.195,40.169916666666666,40.23513333333334,0.0006240411328109137,0.0009984658124974621,2024-10-04 18:30:00+00:00,40.195,STOP,100,4.013333333333691,3.3133333333336905,0.7000000000000002,20.0
exc,SHORT,2024-10-04 18:30:00+00:00,40.245,40.27011453538997,40.204816743376036,0.0006240411328109137,0.0009984658124974621,2024-10-04 18:50:00+00:00,40.245,STOP,100,4.018325662396194,3.3183256623961936,0.7000000000000002,20.0
exc,LONG,2024-10-07 13:40:00+00:00,39.87,39.75291666666667,40.05733333333332,0.0029366273722931107,0.004698603795668978,2024-10-07 14:00:00+00:00,39.87,OTHER,100,-11.708333333332632,-12.408333333332632,0.6999999999999993,20.0
exc,SHORT,2024-10-07 14:00:00+00:00,39.775,39.89180435373296,39.588113034027266,0.0029366273722931107,0.004698603795668978,2024-10-07 15:40:00+00:00,39.775,OTHER,100,18.688696597273236,17.988696597273236,0.6999999999999993,100.0
exc,LONG,2024-10-07 18:30:00+00:00,39.565,39.52997333333333,39.62104266666666,0.0008852942415434597,0.0014164707864695357,2024-10-07 19:00:00+00:00,39.565,STOP,100,5.604266666666291,4.904266666666291,0.7000000000000002,30.0
lyb,LONG,2024-10-09 13:40:00+00:00,94.43,94.23414166666667,94.74337333333335,0.0020741113346747185,0.0033185781354795503,2024-10-09 14:00:00+00:00,94.37,STOP,100,37.337333333334755,36.63733333333475,0.7000000000000028,20.0
lyb,SHORT,2024-10-09 14:00:00+00:00,94.33,94.52565092219986,94.01695852448022,0.0020741113346747185,0.0033185781354795503,2024-10-09 14:20:00+00:00,94.38,STOP,100,36.304147551977906,35.6041475519779,0.7000000000000028,20.0
exc,LONG,2024-10-11 19:20:00+00:00,39.885,39.8650575,39.91690799999999,0.0005,0.0008,2024-10-11 19:40:00+00:00,39.885,STOP,100,-1.9942499999999086,-2.6942499999999088,0.7000000000000002,20.0
exc,SHORT,2024-10-11 19:40:00+00:00,39.805,39.8249025,39.773156,0.0005,0.0008,2024-10-14 13:30:00+00:00,39.805,STOP,100,-1.99025000000006,-2.69025000000006,0.7000000000000002,3950.0
exc,SHORT,2024-10-14 19:20:00+00:00,39.885,39.9049425,39.853092,0.0005,0.0008,2024-10-14 19:40:00+00:00,39.885,STOP,100,-1.9942499999999086,-2.6942499999999088,0.7000000000000002,20.0
