symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
aes,SHORT,2024-05-01 14:20:00+00:00,17.855,17.917875,17.754400000000004,0.003521422570708386,0.005634276113133419,2024-05-01 14:40:00+00:00,17.855,TARGET,1,0.09750000000000014,0.09050000000000014,0.007000000000000006,20.0
key,SHORT,2024-05-01 14:00:00+00:00,14.69,14.74282,14.605488,0.0035956432947583756,0.005753029271613402,2024-05-01 15:00:00+00:00,14.695,STOP,1,-0.049999999999998934,-0.05699999999999893,0.006999999999999999,60.0
aes,LONG,2024-05-01 14:40:00+00:00,17.795,17.732336285354247,17.89526194343321,0.003521422570708386,0.005634276113133419,2024-05-01 15:10:00+00:00,17.795,TARGET,1,0.10999999999999943,0.10299999999999943,0.007000000000000006,30.0
aes,SHORT,2024-05-01 18:00:00+00:00,18.265,18.30153,18.206552000000002,0.002,0.0031999999999999997,2024-05-01 18:20:00+00:00,18.26,TARGET,1,0.015000000000000568,0.00800000000000057,0.006999999999999999,20.0
pltr,SHORT,2024-05-01 18:00:00+00:00,22.15,22.2677025,21.961676,0.00531388261851016,0.008502212189616257,2024-05-01 18:30:00+00:00,22.1445,STOP,1,-0.18049999999999855,-0.18749999999999856,0.007000000000000006,30.0
czr,SHORT,2024-05-01 18:00:00+00:00,36.23,36.346625,36.043399999999984,0.003219017388904394,0.005150427822247031,2024-05-01 18:30:00+00:00,36.22,STOP,1,-0.21000000000000085,-0.21700000000000086,0.007000000000000006,30.0
nem,SHORT,2024-05-01 18:10:00+00:00,41.065,41.14713,40.933592,0.002,0.0032,2024-05-01 18:30:00+00:00,41.06,STOP,1,-0.10999999999999943,-0.11699999999999944,0.007000000000000006,20.0
dvn,SHORT,2024-05-01 18:10:00+00:00,50.05,50.150099999999995,49.88984,0.002,0.0032,2024-05-01 18:30:00+00:00,50.05,STOP,1,-0.1700000000000017,-0.1770000000000017,0.007000000000000006,20.0
ccl,SHORT,2024-05-01 18:00:00+00:00,14.43,14.503870000000003,14.311807999999997,0.005119196119196204,0.008190713790713925,2024-05-01 18:40:00+00:00,14.42,STOP,1,-0.11989999999999945,-0.12689999999999946,0.007000000000000006,40.0
usb,SHORT,2024-05-01 18:20:00+00:00,40.98,41.06196,40.848864,0.002,0.0032,2024-05-01 18:40:00+00:00,40.985,STOP,1,-0.18500000000000227,-0.19200000000000228,0.007000000000000006,20.0
rf,SHORT,2024-05-01 18:20:00+00:00,19.61,19.64922,19.547248,0.002,0.0032,2024-05-01 18:40:00+00:00,19.61,STOP,1,-0.08500000000000085,-0.09200000000000086,0.007000000000000006,20.0
key,SHORT,2024-05-01 18:20:00+00:00,14.745,14.77449,14.697816,0.002,0.0032000000000000006,2024-05-01 18:40:00+00:00,14.745,STOP,1,-0.05000000000000071,-0.05700000000000071,0.006999999999999999,20.0
intc,SHORT,2024-05-01 18:20:00+00:00,30.585,30.64617,30.487128000000002,0.002,0.0032000000000000006,2024-05-01 18:40:00+00:00,30.58,STOP,1,-0.10000000000000142,-0.10700000000000143,0.007000000000000006,20.0
tfc,SHORT,2024-05-01 18:20:00+00:00,38.05,38.126099999999994,37.928239999999995,0.002,0.0032000000000000006,2024-05-01 18:40:00+00:00,38.045,STOP,1,-0.15500000000000114,-0.16200000000000114,0.007000000000000006,20.0
aes,LONG,2024-05-01 18:20:00+00:00,18.325,18.288349999999998,18.38364,0.002,0.0031999999999999997,2024-05-01 18:40:00+00:00,18.33,STOP,1,0.07000000000000028,0.06300000000000028,0.007000000000000006,20.0
eqt,SHORT,2024-05-01 18:20:00+00:00,38.625,38.70225,38.501400000000004,0.002,0.0032,2024-05-01 18:40:00+00:00,38.62,STOP,1,-0.17999999999999972,-0.18699999999999972,0.007000000000000006,20.0
luv,SHORT,2024-05-01 18:30:00+00:00,25.775,25.826549999999997,25.69252,0.002,0.0032,2024-05-01 18:50:00+00:00,25.78,STOP,1,-0.18999999999999773,-0.19699999999999773,0.007000000000000006,20.0
t,SHORT,2024-05-01 18:30:00+00:00,17.035,17.0979675,16.934252,0.003696360434399717,0.005914176695039547,2024-05-01 18:50:00+00:00,17.03,STOP,1,-0.0630999999999986,-0.07009999999999861,0.007000000000000006,20.0
vz,SHORT,2024-05-01 18:30:00+00:00,39.395,39.47379,39.268936000000004,0.002,0.0032000000000000006,2024-05-01 18:50:00+00:00,39.395,STOP,1,-0.11999999999999744,-0.12699999999999745,0.007000000000000006,20.0
nem,LONG,2024-05-01 18:30:00+00:00,41.33,41.24734,41.462256000000004,0.002,0.0032,2024-05-01 18:50:00+00:00,41.34,TARGET,1,0.3199999999999932,0.3129999999999932,0.007000000000000006,20.0
dvn,LONG,2024-05-01 18:30:00+00:00,50.42,50.319160000000004,50.58134400000001,0.002,0.0032,2024-05-01 18:50:00+00:00,50.41,TARGET,1,0.125,0.118,0.007000000000000006,20.0
key,LONG,2024-05-01 18:40:00+00:00,14.99,14.96002,15.037968000000001,0.002,0.0032000000000000006,2024-05-01 19:00:00+00:00,14.985,TARGET,1,0.06500000000000128,0.05800000000000128,0.006999999999999999,20.0
rf,LONG,2024-05-01 18:40:00+00:00,19.9,19.8602,19.96368,0.002,0.0032,2024-05-01 19:00:00+00:00,19.9,TARGET,1,0.030000000000001137,0.023000000000001138,0.006999999999999999,20.0
tfc,LONG,2024-05-01 18:40:00+00:00,38.571,38.493857999999996,38.6944272,0.002,0.0032000000000000006,2024-05-01 19:00:00+00:00,38.58,TARGET,1,0.10999999999999943,0.10299999999999943,0.007000000000000006,20.0
ccl,SHORT,2024-05-01 18:40:00+00:00,14.71,14.746965,14.650856000000003,0.002512916383412548,0.004020666213460077,2024-05-01 19:00:00+00:00,14.705,STOP,1,-0.054999999999999716,-0.061999999999999715,0.006999999999999999,20.0
eqt,LONG,2024-05-01 18:40:00+00:00,38.71,38.63258,38.83387200000001,0.002,0.0032,2024-05-01 19:10:00+00:00,38.71,STOP,1,-0.09499999999999886,-0.10199999999999887,0.007000000000000006,30.0
bac,SHORT,2024-05-01 18:40:00+00:00,37.42,37.49484,37.300256000000005,0.002,0.0032,2024-05-01 19:10:00+00:00,37.415,STOP,1,0.01999999999999602,0.012999999999996022,0.006999999999999999,30.0
usb,LONG,2024-05-01 18:40:00+00:00,41.59,41.506820000000005,41.723088000000004,0.002,0.0032,2024-05-01 19:10:00+00:00,41.59,TARGET,1,0.0899999999999963,0.0829999999999963,0.007000000000000006,30.0
intc,LONG,2024-05-01 18:40:00+00:00,30.86,30.79828,30.958752,0.002,0.0032000000000000006,2024-05-01 19:10:00+00:00,30.87,TARGET,1,0.05000000000000071,0.04300000000000071,0.006999999999999999,30.0
pltr,SHORT,2024-05-01 18:40:00+00:00,22.605,22.774624999999997,22.333600000000004,0.007503870825038547,0.012006193320061677,2024-05-01 19:10:00+00:00,22.61,STOP,1,-0.07130000000000081,-0.07830000000000081,0.007000000000000006,30.0
luv,LONG,2024-05-01 18:50:00+00:00,25.98,25.92804,26.063136000000004,0.002,0.0032,2024-05-01 19:10:00+00:00,25.9866,TARGET,1,0.07339999999999947,0.06639999999999946,0.007000000000000006,20.0
vz,LONG,2024-05-01 18:50:00+00:00,39.43,39.35114,39.556176,0.002,0.0032000000000000006,2024-05-01 19:10:00+00:00,39.43,STOP,1,-0.11999999999999744,-0.12699999999999745,0.007000000000000006,20.0
czr,LONG,2024-05-01 18:50:00+00:00,37.25,36.995625,37.657000000000004,0.006828859060402768,0.01092617449664443,2024-05-01 19:10:00+00:00,37.26,STOP,1,-0.3200000000000003,-0.3270000000000003,0.007000000000000006,20.0
t,LONG,2024-05-01 18:50:00+00:00,17.05,16.986977054593485,17.150836712650424,0.003696360434399717,0.005914176695039547,2024-05-01 19:10:00+00:00,17.05,STOP,1,-0.045000000000001705,-0.052000000000001705,0.006999999999999999,20.0
ccl,LONG,2024-05-01 19:00:00+00:00,14.745,14.70794704792658,14.804284723317469,0.002512916383412548,0.004020666213460077,2024-05-01 19:20:00+00:00,14.75,STOP,1,-0.08000000000000007,-0.08700000000000008,0.007000000000000006,20.0
gm,SHORT,2024-05-01 18:40:00+00:00,44.985,45.07497,44.841048,0.002,0.0032,2024-05-01 19:30:00+00:00,44.985,TARGET,1,0.0899999999999963,0.0829999999999963,0.007000000000000006,50.0
czr,SHORT,2024-05-01 19:10:00+00:00,36.86,37.11171174496645,36.45726120805369,0.006828859060402768,0.01092617449664443,2024-05-01 19:40:00+00:00,36.85,TARGET,1,0.44000000000000483,0.4330000000000048,0.007000000000000006,30.0
aes,SHORT,2024-05-02 13:40:00+00:00,18.345,18.458375,18.163599999999995,0.006180158081221115,0.009888252929953783,2024-05-02 14:00:00+00:00,18.34,STOP,1,-0.12199999999999989,-0.1289999999999999,0.007000000000000006,20.0
eqt,SHORT,2024-05-02 13:40:00+00:00,39.01,39.130875,38.81659999999999,0.0030985644706486844,0.004957703153037896,2024-05-02 14:00:00+00:00,39.01,STOP,1,0.06499999999999773,0.05799999999999773,0.006999999999999999,20.0
usb,SHORT,2024-05-02 13:40:00+00:00,41.08,41.3172475,40.70040399999999,0.005775255598831604,0.009240408958130567,2024-05-02 14:00:00+00:00,41.08,STOP,1,-0.20000000000000284,-0.20700000000000285,0.007000000000000006,20.0
cmcsa,SHORT,2024-05-02 13:40:00+00:00,38.16,38.358575,37.84227999999999,0.005203747379455065,0.008325995807128105,2024-05-02 14:10:00+00:00,38.155,STOP,1,-0.16499999999999915,-0.17199999999999915,0.007000000000000006,30.0
t,SHORT,2024-05-02 13:40:00+00:00,16.835,16.86867,16.781128000000002,0.002,0.0032000000000000006,2024-05-02 14:10:00+00:00,16.835,STOP,1,-0.054999999999999716,-0.061999999999999715,0.006999999999999999,30.0
gm,SHORT,2024-05-02 13:50:00+00:00,44.97,45.15962500000001,44.66659999999999,0.004216700022237193,0.00674672003557951,2024-05-02 14:10:00+00:00,44.965,TARGET,1,0.33500000000000085,0.32800000000000085,0.007000000000000006,20.0
f,LONG,2024-05-02 13:50:00+00:00,12.45,12.413219999999999,12.508848,0.0029542168674699,0.0047267469879518405,2024-05-02 14:10:00+00:00,12.455,STOP,1,-0.0600000000000005,-0.0670000000000005,0.007000000000000006,20.0
vz,SHORT,2024-05-02 13:40:00+00:00,39.2243,39.3027486,39.09878224,0.002,0.0032,2024-05-02 14:20:00+00:00,39.23,TARGET,1,0.11499999999999488,0.10799999999999488,0.007000000000000006,40.0
pfe,SHORT,2024-05-02 13:40:00+00:00,27.375,27.622742500000005,26.978612,0.009049954337899582,0.014479926940639333,2024-05-02 14:20:00+00:00,27.3782,STOP,1,-0.24680000000000035,-0.25380000000000036,0.007000000000000006,40.0
luv,SHORT,2024-05-02 13:50:00+00:00,25.87,25.947625000000002,25.7458,0.0030005798221879073,0.004800927715500652,2024-05-02 14:20:00+00:00,25.87,STOP,1,-0.07499999999999929,-0.0819999999999993,0.007000000000000006,30.0
eqt,LONG,2024-05-02 14:00:00+00:00,38.845,38.72463626313765,39.03758197897976,0.0030985644706486844,0.004957703153037896,2024-05-02 14:20:00+00:00,38.845,TARGET,1,0.16499999999999915,0.15799999999999914,0.007000000000000006,20.0
rf,SHORT,2024-05-02 13:40:00+00:00,19.59,19.691750000000003,19.427199999999996,0.005193976518632092,0.008310362429811346,2024-05-02 14:50:00+00:00,19.58,TARGET,1,0.16999999999999815,0.16299999999999815,0.007000000000000006,70.0
f,SHORT,2024-05-02 14:10:00+00:00,12.41,12.4466618313253,12.351341069879519,0.0029542168674699,0.0047267469879518405,2024-05-02 14:50:00+00:00,12.41,STOP,1,-0.02999999999999936,-0.03699999999999936,0.006999999999999999,40.0
aes,LONG,2024-05-02 14:00:00+00:00,18.335,18.221686801580812,18.516301117470704,0.006180158081221115,0.009888252929953783,2024-05-02 15:00:00+00:00,18.335,TARGET,1,0.16499999999999915,0.15799999999999914,0.007000000000000006,60.0
dvn,SHORT,2024-05-02 13:40:00+00:00,51.77,52.340999999999994,50.8564,0.011029553795634497,0.017647286073015196,2024-05-02 15:10:00+00:00,51.75,TARGET,1,0.8999999999999986,0.8929999999999986,0.007000000000000006,90.0
csco,SHORT,2024-05-02 13:40:00+00:00,46.845,46.98947249999999,46.613844,0.003084053794428415,0.004934486071085465,2024-05-02 15:40:00+00:00,46.845,TARGET,1,0.19500000000000028,0.18800000000000028,0.007000000000000006,120.0
bac,SHORT,2024-05-02 13:40:00+00:00,37.125,37.329,36.7986,0.005494949494949512,0.008791919191919219,2024-05-02 15:40:00+00:00,37.125,TARGET,1,0.40500000000000114,0.39800000000000113,0.007000000000000006,120.0
usb,LONG,2024-05-02 14:10:00+00:00,41.02,40.78309901533593,41.39904157546252,0.005775255598831604,0.009240408958130567,2024-05-02 15:40:00+00:00,41.02,STOP,1,-0.28000000000000114,-0.28700000000000114,0.007000000000000006,90.0
gm,LONG,2024-05-02 14:10:00+00:00,44.7925,44.603623464253936,45.09470245719369,0.004216700022237193,0.00674672003557951,2024-05-02 16:20:00+00:00,44.79,STOP,1,-0.18999999999999773,-0.19699999999999773,0.007000000000000006,130.0
tfc,SHORT,2024-05-02 13:40:00+00:00,38.1,38.344625,37.708600000000004,0.006420603674540662,0.010272965879265059,2024-05-02 18:40:00+00:00,38.09,STOP,1,-0.28999999999999915,-0.29699999999999915,0.007000000000000006,300.0
pltr,SHORT,2024-05-02 13:40:00+00:00,22.3,22.624,21.781600000000005,0.014529147982062693,0.023246636771300313,2024-05-02 19:00:00+00:00,22.305,STOP,1,-0.33000000000000185,-0.33700000000000185,0.007000000000000006,320.0
key,SHORT,2024-05-02 13:40:00+00:00,14.74,14.830625000000001,14.594999999999999,0.006148236092266016,0.009837177747625625,2024-05-02 19:10:00+00:00,14.74,STOP,1,-0.09500000000000064,-0.10200000000000065,0.007000000000000006,330.0
intc,SHORT,2024-05-02 13:50:00+00:00,30.39,30.65575,29.9648,0.008744652846331049,0.01399144455412968,2024-05-03 13:40:00+00:00,30.3899,STOP,1,-0.5600999999999985,-0.5670999999999985,0.007000000000000006,1430.0
tfc,LONG,2024-05-03 13:40:00+00:00,39.105,38.9773125,39.3093,0.0032652474108170416,0.005224395857307267,2024-05-03 14:00:00+00:00,39.095,STOP,1,-0.14499999999999602,-0.15199999999999603,0.007000000000000006,20.0
key,SHORT,2024-05-03 13:40:00+00:00,15.16,15.19032,15.111488,0.002,0.0032,2024-05-03 14:00:00+00:00,15.16,STOP,1,-0.02999999999999936,-0.03699999999999936,0.006999999999999999,20.0
vz,SHORT,2024-05-03 13:40:00+00:00,38.835,38.962125,38.6316,0.003273464658169164,0.0052375434530706625,2024-05-03 14:00:00+00:00,38.8399,STOP,1,-0.10009999999999764,-0.10709999999999764,0.007000000000000006,20.0
pltr,SHORT,2024-05-03 13:40:00+00:00,23.45,23.4969,23.37496,0.002,0.0031999999999999997,2024-05-03 14:00:00+00:00,23.44,TARGET,1,0.11000000000000298,0.10300000000000298,0.007000000000000006,20.0
czr,SHORT,2024-05-03 13:40:00+00:00,36.62,36.7675825,36.383867999999985,0.004030106499180932,0.006448170398689492,2024-05-03 14:00:00+00:00,36.62,STOP,1,-0.0800000000000054,-0.0870000000000054,0.007000000000000006,20.0
f,SHORT,2024-05-03 13:40:00+00:00,12.6797,12.7050594,12.63912496,0.002,0.0032000000000000006,2024-05-03 14:10:00+00:00,12.6712,STOP,1,0.08370000000000033,0.07670000000000032,0.007000000000000006,30.0
rf,SHORT,2024-05-03 13:40:00+00:00,20.02,20.06004,19.955936,0.002,0.0031999999999999997,2024-05-03 14:10:00+00:00,20.01,STOP,1,0.07500000000000284,0.06800000000000284,0.007000000000000006,30.0
bac,SHORT,2024-05-03 13:40:00+00:00,37.4,37.4748,37.280319999999996,0.002,0.0032,2024-05-03 14:10:00+00:00,37.4,STOP,1,0.12999999999999545,0.12299999999999545,0.007000000000000006,30.0
nem,SHORT,2024-05-03 13:50:00+00:00,41.08,41.265,40.78399999999999,0.004503407984420698,0.007205452775073117,2024-05-03 14:10:00+00:00,41.11,STOP,1,0.14999999999999858,0.14299999999999857,0.007000000000000006,20.0
gm,SHORT,2024-05-03 13:50:00+00:00,45.255,45.40075,45.0218,0.003220638603469221,0.005153021765550754,2024-05-03 14:10:00+00:00,45.255,TARGET,1,0.22500000000000142,0.21800000000000141,0.007000000000000006,20.0
aes,SHORT,2024-05-03 13:50:00+00:00,18.84,19.0325,18.532000000000004,0.010217622080679353,0.016348195329086965,2024-05-03 14:10:00+00:00,18.86,TARGET,1,0.16999999999999815,0.16299999999999815,0.007000000000000006,20.0
intc,SHORT,2024-05-03 13:50:00+00:00,30.94,31.051000000000002,30.762400000000007,0.003587588881706435,0.005740142210730296,2024-05-03 14:10:00+00:00,30.95,TARGET,1,0.11499999999999844,0.10799999999999843,0.007000000000000006,20.0
pltr,LONG,2024-05-03 14:00:00+00:00,23.165,23.118669999999998,23.239128,0.002,0.0031999999999999997,2024-05-03 14:20:00+00:00,23.17,STOP,1,-0.060000000000002274,-0.06700000000000228,0.007000000000000006,20.0
key,LONG,2024-05-03 14:00:00+00:00,15.1399,15.1096202,15.188347680000001,0.002,0.0032,2024-05-03 14:30:00+00:00,15.14,STOP,1,-0.005000000000000782,-0.012000000000000781,0.006999999999999999,30.0
tfc,SHORT,2024-05-03 14:00:00+00:00,38.8,38.926691599539694,38.59729344073647,0.0032652474108170416,0.005224395857307267,2024-05-03 14:30:00+00:00,38.805,STOP,1,-0.10499999999999687,-0.11199999999999688,0.007000000000000006,30.0
czr,LONG,2024-05-03 14:10:00+00:00,35.8,35.655722187329324,36.030844500273076,0.004030106499180932,0.006448170398689492,2024-05-03 14:30:00+00:00,35.805,STOP,1,0.22999999999999687,0.22299999999999687,0.007000000000000006,20.0
gm,LONG,2024-05-03 14:10:00+00:00,45.04,44.89494243729975,45.2720921003204,0.003220638603469221,0.005153021765550754,2024-05-03 14:30:00+00:00,45.06,STOP,1,-0.10999999999999943,-0.11699999999999944,0.007000000000000006,20.0
aes,LONG,2024-05-03 14:10:00+00:00,18.44,18.251587048832274,18.741460721868364,0.010217622080679353,0.016348195329086965,2024-05-03 14:50:00+00:00,18.44,TARGET,1,0.10500000000000043,0.09800000000000042,0.007000000000000006,40.0
vz,LONG,2024-05-03 14:00:00+00:00,38.885,38.757711326767094,39.088661877172655,0.003273464658169164,0.0052375434530706625,2024-05-03 15:00:00+00:00,38.87,STOP,1,-0.03999999999999915,-0.04699999999999915,0.006999999999999999,60.0
intc,LONG,2024-05-03 14:10:00+00:00,30.91,30.799107627666455,31.087427795733678,0.003587588881706435,0.005740142210730296,2024-05-03 15:00:00+00:00,30.91,STOP,1,-0.125,-0.132,0.007000000000000006,50.0
nem,LONG,2024-05-03 14:10:00+00:00,40.86,40.67599074975657,41.15441480038949,0.004503407984420698,0.007205452775073117,2024-05-03 15:10:00+00:00,40.86,STOP,1,-0.18500000000000227,-0.19200000000000228,0.007000000000000006,60.0
eqt,SHORT,2024-05-03 13:40:00+00:00,40.13,40.343875,39.78780000000001,0.005329553949663455,0.008527286319461529,2024-05-03 16:40:00+00:00,40.135,STOP,1,-0.24500000000000455,-0.25200000000000455,0.007000000000000006,180.0
t,SHORT,2024-05-03 13:40:00+00:00,16.8095,16.880435000000002,16.696003999999995,0.004219935155715648,0.006751896249145037,2024-05-06 13:40:00+00:00,16.81,STOP,1,-0.18500000000000227,-0.19200000000000228,0.007000000000000006,4320.0
usb,SHORT,2024-05-03 19:20:00+00:00,41.43,41.508062499999994,41.3051,0.0018842022688872655,0.003014723630219625,2024-05-06 13:40:00+00:00,41.425,STOP,1,-0.125,-0.132,0.007000000000000006,3980.0
cmcsa,LONG,2024-05-06 13:40:00+00:00,38.755,38.677490000000006,38.87901600000001,0.002,0.0032,2024-05-06 14:00:00+00:00,38.755,STOP,1,-0.09000000000000341,-0.09700000000000342,0.007000000000000006,20.0
pltr,SHORT,2024-05-06 13:40:00+00:00,24.635,24.688042499999995,24.55013200000001,0.0021531357824232412,0.003445017251877186,2024-05-06 14:00:00+00:00,24.63,STOP,1,-0.20500000000000185,-0.21200000000000185,0.007000000000000006,20.0
luv,SHORT,2024-05-06 13:40:00+00:00,26.405,26.457810000000002,26.320504000000003,0.002,0.0032000000000000006,2024-05-06 14:00:00+00:00,26.4,STOP,1,-0.07500000000000284,-0.08200000000000285,0.007000000000000006,20.0
aes,SHORT,2024-05-06 13:40:00+00:00,18.81,18.872925000000002,18.709319999999995,0.003345295055821555,0.005352472089314489,2024-05-06 14:00:00+00:00,18.815,STOP,1,-0.0799999999999983,-0.0869999999999983,0.007000000000000006,20.0
key,SHORT,2024-05-06 13:50:00+00:00,15.02,15.05004,14.971936,0.002,0.0032,2024-05-06 14:10:00+00:00,15.025,STOP,1,-0.009999999999999787,-0.016999999999999786,0.006999999999999999,20.0
czr,SHORT,2024-05-06 13:50:00+00:00,35.565,35.706374999999994,35.338800000000006,0.0039751159848164346,0.006360185575706295,2024-05-06 14:10:00+00:00,35.6,STOP,1,-0.10999999999999943,-0.11699999999999944,0.007000000000000006,20.0
usb,SHORT,2024-05-06 13:40:00+00:00,41.63,41.782374999999995,41.38620000000002,0.0036602209944749495,0.0058563535911599195,2024-05-06 14:20:00+00:00,41.63,STOP,1,-0.14000000000000057,-0.14700000000000057,0.007000000000000006,40.0
eqt,LONG,2024-05-06 13:40:00+00:00,41.06,40.817375,41.448200000000014,0.005909035557720503,0.009454456892352804,2024-05-06 14:20:00+00:00,41.06,TARGET,1,0.25,0.243,0.007000000000000006,40.0
intc,SHORT,2024-05-06 13:40:00+00:00,31.095,31.15719,30.995496,0.002,0.0032000000000000006,2024-05-06 14:20:00+00:00,31.099,STOP,1,-0.09600000000000009,-0.10300000000000009,0.007000000000000006,40.0
tfc,SHORT,2024-05-06 13:50:00+00:00,39.055,39.13311,38.930024,0.002,0.0032,2024-05-06 14:20:00+00:00,39.055,STOP,1,-0.19500000000000028,-0.2020000000000003,0.007000000000000006,30.0
gm,SHORT,2024-05-06 13:50:00+00:00,45.39,45.51625,45.188,0.0027814496585150663,0.0044503194536241065,2024-05-06 14:20:00+00:00,45.4,STOP,1,-0.05000000000000426,-0.05700000000000426,0.006999999999999999,30.0
pltr,LONG,2024-05-06 14:00:00+00:00,25.0701,25.01612067062107,25.156466927006285,0.0021531357824232412,0.003445017251877186,2024-05-06 14:20:00+00:00,25.0743,STOP,1,-0.31429999999999936,-0.32129999999999936,0.007000000000000006,20.0
aes,LONG,2024-05-06 14:00:00+00:00,18.835,18.771991367623603,18.93581381180224,0.003345295055821555,0.005352472089314489,2024-05-06 14:20:00+00:00,18.83,STOP,1,-0.08999999999999986,-0.09699999999999986,0.007000000000000006,20.0
luv,LONG,2024-05-06 14:10:00+00:00,26.535,26.48193,26.619912000000003,0.002,0.0032000000000000006,2024-05-06 14:30:00+00:00,26.535,TARGET,1,0.16000000000000014,0.15300000000000014,0.007000000000000006,20.0
ccl,SHORT,2024-05-06 13:40:00+00:00,14.6,14.6837875,14.46594,0.005738869863013677,0.009182191780821882,2024-05-06 14:40:00+00:00,14.6,TARGET,1,0.09499999999999886,0.08799999999999886,0.007000000000000006,60.0
f,SHORT,2024-05-06 13:50:00+00:00,12.5907,12.63075,12.526620000000001,0.003180919249922485,0.005089470799875977,2024-05-06 14:40:00+00:00,12.595,TARGET,1,0.07000000000000028,0.06300000000000028,0.007000000000000006,50.0
key,LONG,2024-05-06 14:10:00+00:00,15.07,15.039860000000001,15.118224000000001,0.002,0.0032,2024-05-06 14:40:00+00:00,15.08,STOP,1,-0.015000000000000568,-0.022000000000000568,0.006999999999999999,30.0
pfe,SHORT,2024-05-06 13:40:00+00:00,28.2,28.280874999999998,28.070599999999995,0.0028679078014185273,0.004588652482269644,2024-05-06 14:50:00+00:00,28.2,TARGET,1,0.134999999999998,0.127999999999998,0.007000000000000006,70.0
cmcsa,SHORT,2024-05-06 14:00:00+00:00,38.795,38.87259,38.670856,0.002,0.0032,2024-05-06 14:50:00+00:00,38.79,STOP,1,-0.035000000000003695,-0.042000000000003694,0.006999999999999999,50.0
czr,LONG,2024-05-06 14:10:00+00:00,35.79,35.647730598903415,36.01763104175453,0.0039751159848164346,0.006360185575706295,2024-05-06 15:00:00+00:00,35.77,TARGET,1,0.28999999999999915,0.28299999999999914,0.007000000000000006,50.0
usb,LONG,2024-05-07 13:40:00+00:00,41.79,41.70642,41.923728000000004,0.002,0.0032000000000000006,2024-05-07 14:00:00+00:00,41.8,STOP,1,-0.07000000000000028,-0.07700000000000029,0.007000000000000006,20.0
luv,LONG,2024-05-07 13:40:00+00:00,27.2,27.1283675,27.314612,0.0026335477941176384,0.004213676470588222,2024-05-07 14:00:00+00:00,27.21,TARGET,1,0.0799999999999983,0.07299999999999829,0.007000000000000006,20.0
gm,SHORT,2024-05-07 13:40:00+00:00,45.64,45.73128,45.493952,0.002,0.0032,2024-05-07 14:00:00+00:00,45.64,STOP,1,-0.16499999999999915,-0.17199999999999915,0.007000000000000006,20.0
pfe,SHORT,2024-05-07 13:40:00+00:00,28.4,28.456799999999998,28.30912,0.002,0.0032,2024-05-07 14:00:00+00:00,28.4,TARGET,1,0.05999999999999872,0.05299999999999872,0.006999999999999999,20.0
tfc,LONG,2024-05-07 13:40:00+00:00,40.165,39.954625,40.501599999999996,0.005237769202041556,0.00838043072326649,2024-05-07 14:10:00+00:00,40.165,STOP,1,-0.23499999999999943,-0.24199999999999944,0.007000000000000006,30.0
czr,SHORT,2024-05-07 13:40:00+00:00,36.29,36.575872499999996,35.832604,0.007877445577293921,0.012603912923670276,2024-05-07 14:10:00+00:00,36.285,STOP,1,-0.365000000000002,-0.372000000000002,0.007000000000000006,30.0
bac,SHORT,2024-05-07 13:40:00+00:00,37.98,38.05596,37.858464,0.002,0.0032000000000000006,2024-05-07 14:10:00+00:00,37.985,STOP,1,-0.09499999999999886,-0.10199999999999887,0.007000000000000006,30.0
aes,SHORT,2024-05-07 13:40:00+00:00,19.09,19.225125,18.873800000000003,0.007078313253011975,0.011325301204819161,2024-05-07 14:10:00+00:00,19.085,STOP,1,-0.15499999999999758,-0.1619999999999976,0.007000000000000006,30.0
t,LONG,2024-05-07 13:40:00+00:00,17.145,17.11071,17.199864,0.002,0.0032,2024-05-07 14:10:00+00:00,17.145,TARGET,1,0.045000000000001705,0.038000000000001706,0.006999999999999999,30.0
