signal,symbol,horizon_sec,t_stat,p_value,expectancy_bps,win_rate,avg_win_bps,avg_loss_bps,profit_factor,sharpe,n_trades,std_bps
large_ask,LUV,30,-0.9656692375819317,0.3384367711503169,-3.638048679235973,0.32142857142857145,2.4064492840814022,6.50123192501789,0.17533554293228515,-313.3592956115885,56,28.19253463679178
large_bid,PFE,30,2.8501593116011223,0.004373187561475866,0.04209945030085509,0.09541851923448676,4.963793205871198,0.4770585694772194,1.0975566843017086,43.03492927780457,25865,2.3755464716066395
large_ask,PFE,30,1.0355986199938263,0.30041176891851884,0.029278019957193233,0.15534153736400927,4.405607887915187,0.7755748759447098,1.0446927247520894,23.74758146907698,11214,2.993853295882805
large_bid,PFE,60,2.356580949308054,0.01845147832711569,0.0506423503634332,0.14380933927533424,5.508444383127806,0.8660727462052545,1.0682950134565619,35.62366760856704,25805,3.4521004364897125
large_ask,PFE,60,-3.958277814959692,7.59592105401552e-05,-0.1659457019740205,0.21432403433476394,5.0196363288854196,1.5805172426557184,0.8663640508929388,-90.88995578393207,11184,4.4336184481371275
large_bid,PFE,120,-0.565555597803811,0.5717008596565445,-0.016490279892449635,0.20054506521315943,5.911129955926284,1.5034471238927565,0.9862802600122835,-8.569267881575923,25685,4.672964769054019
large_ask,PFE,120,-5.927727961404055,3.162720529914509e-09,-0.36179313086777515,0.300341603739662,5.846136955956957,3.026664571196881,0.8291519707412955,-136.47904457478901,11124,6.437282113648309
large_bid,PFE,300,-7.401702921813653,1.3855583347321954e-13,-0.32161835931967353,0.26429802569727356,7.217486598101099,3.0300120096960086,0.8557238446580792,-112.49454243226096,25528,6.9425270036375
large_ask,PFE,300,-11.227028464636804,0.0,-1.0411278407936437,0.3736293859649123,7.674026729053264,6.23970800652727,0.7336158267344002,-260.6063422090743,10944,9.701240664962736
large_ask,HAL,30,-0.8543484253234677,0.39348811986005705,-1.1500690802894467,0.3202247191011236,7.2031639631727975,5.085063158614636,0.6672927932924667,-109.95582044351778,356,25.398841227815172
large_ask,HAL,60,-1.085850929131316,0.2783399138710152,-1.6071238754999093,0.36363636363636365,8.710161935822127,7.502715767683931,0.6633911700795802,-145.15146933539103,330,26.886614213031034
large_ask,HAL,120,-6.679300574115022,1.2114442782262813e-10,-32.628986887711704,0.4061433447098976,8.82884842260635,60.98233402522809,0.09901425666052711,-947.5570701708106,293,83.6192777452902
large_ask,HAL,300,-11.188381369647052,0.0,-74.7227552013827,0.07849829351535836,3.9230111371203322,81.4222093709589,0.004104315429179857,-1587.2365306723916,293,114.31926557244758
large_bid,ACHR,30,4.9867943913858666,6.276956368012065e-07,0.8990677486222844,0.2208572573107224,15.598239162065322,3.2675868388386906,1.35314108822562,139.93222707816275,7489,15.602093343813774
large_ask,ACHR,30,7.916801697194315,2.6645352591003757e-15,0.6923306530954202,0.207509254362771,12.962271360411386,2.520484463380481,1.3466054093994666,197.7093458677255,9455,8.503438212502267
large_bid,ACHR,60,6.921874276531823,4.827249711070181e-12,1.8469283611458467,0.30714572999061535,19.470134964599993,5.965526423783226,1.4468475475836404,194.62185264010265,7459,23.044465903781308
large_ask,ACHR,60,8.021293495980375,1.1102230246251565e-15,0.9530633256083182,0.2877062267163385,14.23836604286935,4.413071349340362,1.3031947389099916,200.95749763888293,9395,11.516638714346417
large_bid,ACHR,120,9.845507597672773,0.0,3.7900955488760917,0.3772131369103933,26.100686601247343,9.723111835492,1.6259006961531097,277.94559598913776,7399,33.113002410956376
large_ask,ACHR,120,3.900600911165312,9.662718232816836e-05,0.6553213983197037,0.34368640891078506,17.056720561132842,7.933466120196511,1.1258577548037547,98.02481640530263,9337,16.234036228076672
large_bid,ACHR,300,7.851367870615473,4.6629367034256575e-15,4.4694430768963445,0.47859814378722815,35.111160606132245,23.65678807706488,1.3623473238321968,224.39594498472476,7219,48.36671647296093
large_ask,ACHR,300,3.1561300622549853,0.0016039254628610333,0.9165166040884501,0.429517091698318,25.228399335289605,17.387921640175236,1.0923953309636887,79.83906113624745,9215,27.876170691189476
large_bid,F,30,3.5232270638392826,0.0004268765568604671,0.07347905913718841,0.1002837947411097,8.35129628476124,0.849179573336856,1.0961741828633325,46.04028107604166,34532,3.8755542409404358
large_ask,F,30,-1.6922958703565607,0.09059850242208412,-0.03527926018813539,0.10121503897294819,7.837758824804278,0.9218871710475028,0.9574219369257294,-21.99868239397661,34896,3.89431429473329
large_bid,F,60,4.595397045545901,4.334564589481005e-06,0.1361553867518107,0.16279542419139423,9.113114600059166,1.6094249950416468,1.10104911004309,60.12942607333906,34442,5.498648629786707
large_ask,F,60,-3.348702611317395,0.0008127700314586317,-0.09931936873912799,0.16517267137849795,8.397874979577752,1.7805104864895402,0.9331821100020734,-43.5870746186151,34806,5.533302683405545
large_bid,F,120,5.388904557780118,7.135477608777308e-08,0.22747900603946258,0.23510387226479415,10.465876670932813,2.9194671602726068,1.1018674102151838,70.63642719063742,34321,7.82025287606004
large_ask,F,120,-5.0911639480603315,3.577304446000795e-07,-0.21401653036057267,0.24287155831050886,9.277579111569938,3.2587292864484074,0.9132579913988016,-66.38262658489643,34685,7.828906129334731
large_bid,F,300,10.141254759836508,0.0,0.6465162923646336,0.34058756334026535,13.32084228539348,5.89979306875736,1.166182604273523,133.27901460520857,34141,11.779474046732325
large_ask,F,300,-9.995099507392782,0.0,-0.642722102597077,0.3565280394145776,11.04663265546992,7.119434359217363,0.8597030861798253,-130.6635054730223,34505,11.944751769444128
large_bid,SMR,30,12.22660664394418,0.0,3.6628365657531794,0.5869565217391305,9.942667577500293,5.261133819361141,2.685553040663231,912.7909078406008,1058,9.744385001870302
large_ask,SMR,30,-5.9778385443377715,1.355578160833204e-08,-7.655784918199687,0.23493975903614459,4.579844507103561,11.413182930694386,0.1232267064907829,-1126.6741653690992,166,16.500594317671585
large_bid,SMR,60,14.152121643282282,0.0,5.381279686859952,0.6531190926275993,12.517685065523976,8.05538548114233,2.9258339575928116,1056.5423701629004,1058,12.368209861517862
large_ask,SMR,60,-8.240645246080101,5.062616992290714e-14,-10.593767673616947,0.1746987951807229,4.472263466898414,13.7829275500764,0.0686852270065359,-1553.1570543209907,166,16.5631627765794
large_bid,SMR,120,13.675459927401858,0.0,7.336076732070352,0.6361058601134215,17.317511208076162,10.111989248064479,2.9936650900299644,1020.9566599947524,1058,17.44876757901603
large_ask,SMR,120,-13.11128335433991,0.0,-17.889777759953027,0.060240963855421686,2.6919996680133673,19.209122466873954,0.008983444276566728,-2471.1514238136974,166,17.57979418407669
large_bid,SMR,300,24.981477203030035,0.0,20.233416091818135,0.7967863894139886,30.720230901047117,20.8846531369262,5.767483007803046,1865.019945386669,1058,26.344740865623464
large_ask,SMR,300,-44.36161930393108,0.0,-55.30222862749747,0.0,0.0,55.30222862749747,0.0,-8361.063958647816,166,16.061617781870794
