rule,lift,support,p_value,baseline_rate,n_samples
atr_14_bin == 4 AND is_power_hour_bin == True,5.901680911161171,0.02301637646134819,0.0,0.016853813053813844,151449
ret_60m_bin == 4.0 AND is_power_hour_bin == True,5.185795135150585,0.025945075830684672,0.0,0.016853813053813844,170720
ret_30m_bin == 4.0 AND is_power_hour_bin == True,5.06215601197886,0.02654491893227624,0.0,0.016853813053813844,174667
price_vs_vwap_pct_bin == 4 AND is_power_hour_bin == True,4.811553781304133,0.026473186998161414,0.0,0.016853813053813844,174195
ret_15m_bin == 4.0 AND is_power_hour_bin == True,4.682867130789203,0.027235338798131444,0.0,0.016853813053813844,179210
ret_60m_bin == 0.0 AND is_power_hour_bin == True,4.45105420337393,0.024689159085928475,0.0,0.016853813053813844,162456
ret_30m_bin == 0.0 AND is_power_hour_bin == True,4.293528830688641,0.026273340613922013,0.0,0.016853813053813844,172880
price_vs_vwap_pct_bin == 0 AND is_power_hour_bin == True,4.217329208162682,0.026356774579661506,0.0,0.016853813053813844,173429
ret_15m_bin == 0.0 AND is_power_hour_bin == True,4.210221285540417,0.027260110631310928,0.0,0.016853813053813844,179373
ret_5m_bin == 3.0 AND is_power_hour_bin == True,4.16042954046393,0.02910568819040087,0.0,0.016853813053813844,191517
atr_14_bin == 3 AND is_power_hour_bin == True,3.922080699847173,0.03541977011130912,0.0,0.016853813053813844,233064
ret_5m_bin == 0.0 AND is_power_hour_bin == True,3.8813826677402057,0.029279242997093946,0.0,0.016853813053813844,192659
rvol_bin == 4 AND is_power_hour_bin == True,3.6885683763325123,0.03109579343877725,0.0,0.016853813053813844,204612
rvol_bin == 3 AND is_power_hour_bin == True,3.6767421944620153,0.03757476762348759,0.0,0.016853813053813844,247244
ret_30m_bin == 0.0 AND ret_60m_bin == 4.0,3.595411332820249,0.008572270075595124,0.0,0.016853813053813844,56406
price_vs_session_avwap_pct_bin == 4 AND is_power_hour_bin == True,3.5108233594319835,0.035451684743012746,0.0,0.016853813053813844,233274
ret_15m_bin == 0.0 AND ret_30m_bin == 4.0,3.4310717959583426,0.008680627848950784,0.0,0.016853813053813844,57119
ret_5m_bin == 3.0 AND price_vs_vwap_pct_bin == 0,3.3290297699325713,0.009342172571836036,0.0,0.016853813053813844,61472
