month,trades,pnl,equity,return_pct,win_rate
2023-08,1283,13455.548092470593,23455.548092470548,134.55548092470593,0.5876851130163678
2023-09,380,-3833.346147765901,19622.20194470461,-16.343025252078597,0.4473684210526316
2023-10,1481,-5739.33803800164,13882.863906702994,-29.24920482510118,0.4949358541525996
2023-11,1341,-5464.232124614212,8418.631782088776,-39.359545417541284,0.42878448918717377
2023-12,1305,16005.593847539849,24424.225629628625,190.12108216435908,0.5724137931034483
2024-01,1366,50407.70556472875,74831.93119435736,206.38404807225493,0.5995607613469985
2024-02,2487,41202.759925715174,116034.6911200724,55.06039904102066,0.48451950140731803
2024-03,1011,6628.023078595002,122662.71419866709,5.71210472886625,0.456973293768546
2024-04,1041,115746.45566492758,238409.16986359452,94.36156408333034,0.5504322766570605
2024-05,789,556561.3952921567,794970.5651557517,233.44798172427366,0.6818757921419518
2024-06,293,133186.92600711793,928157.4911628694,16.753692758551857,0.5392491467576792
2024-07,832,67324.17238909577,995481.663551965,7.253528957111223,0.4795673076923077
2024-08,2231,-418835.52231254306,576646.1412394219,-42.07365516086972,0.4558493948901838
2024-09,363,43882.47603833093,620528.6172777528,7.609948788352518,0.512396694214876
2024-10,717,-251932.68623482375,368595.93104292854,-40.59968859132518,0.4407252440725244
2024-11,1323,-278417.9583493061,90177.97269362216,-75.53473462431687,0.42025699168556313
2024-12,1076,79706.73188443617,169884.70457805815,88.38824992799316,0.5669144981412639
2025-01,2407,-23514.245552109485,146370.45902594874,-13.841296431313053,0.5155795596177815
2025-02,2844,638476.3774418725,784846.8364678232,436.2057628914606,0.5481715893108298
2025-03,2590,-432521.67116724915,352325.16530056926,-55.10905454034807,0.4640926640926641
2025-04,7766,-348150.26651122473,4174.898789345598,-98.81504382867942,0.4862219933041463
2025-05,1117,557.8119776823034,4732.710767027893,13.361089833024161,0.5022381378692927
2025-06,356,325.5516308192845,5058.262397847177,6.8787561050076285,0.5168539325842697
2025-07,684,-908.246441267677,4150.015956579516,-17.95570039336495,0.4824561403508772
2025-08,541,340.6131462401789,4490.6291028197065,8.207514134979752,0.5415896487985212
2025-09,70,144.95279252096702,4635.581895340673,3.227895005400242,0.5857142857142857
