feature,ic_long,ic_short,ic_combined,mean,std,null_pct,importance_long,importance_short,importance_combined
returns,-0.005530105819752263,-9.095446366080673e-05,0.002810530141706535,-4.1742062010060425e-06,0.0014862402247694953,0.0,3089.9107818247576,3164.7147231669464,6254.625504991704
returns_5,-0.006689531993433139,0.009888144862664348,0.008288838428048744,-2.1353652034375332e-05,0.0032479865937041115,0.0,5297.491407775161,5571.387866024381,10868.879273799543
returns_10,-0.006032799039781927,0.014103002430123439,0.010067900734952683,-4.4134261171055975e-05,0.00451698732125862,0.0,10538.27915737168,9335.370821440782,19873.649978812464
returns_20,-0.005343415652873223,0.021171916334906307,0.013257665993889764,-9.020229757277214e-05,0.006297079785218967,0.0,24192.178600275514,17666.461077469536,41858.63967774505
range_pct,0.09174264259218588,0.07208081021161447,0.08191172640190017,0.0012904791033276565,0.0012630365215904502,0.0,42310.04558573,43870.88556235836,86180.93114808836
body_pct,0.06071339840429084,0.04560944490182332,0.05316142165305708,0.0006911093229741807,0.0008923593876298292,0.0,4295.615842820087,4578.585968700669,8874.201811520756
upper_wick,0.05855523257442904,0.04618959129483993,0.05237241193463449,0.00030248418914661634,0.0004464947294523525,0.0,7342.158611720965,6647.840743556328,13989.999355277294
lower_wick,0.0628782757411383,0.04722627371341274,0.055052274727275516,0.00029688559120685944,0.00046443942550420834,0.0,6415.523293262349,5677.441987852193,12092.965281114542
volume_ratio,0.018738462433184493,0.026168486847453567,0.022453474640319028,1.005646060383759,0.43765050576126124,0.0,7352.106856152423,6936.996004860579,14289.102861013002
volume_ratio_20,0.0478409824479864,0.054820215147470146,0.05133059879772828,1.0181290286051137,0.6899378027045637,0.0,12916.074564091725,11866.134806646127,24782.20937073785
volatility_5,0.08099556795928202,0.06297883590990606,0.07198720193459404,0.000897600313420807,0.0011939360434011371,0.0,12407.369579938419,12473.420149614292,24880.78972955271
volatility_20,0.08187699188789031,0.061274612969289495,0.07157580242858991,0.0009814479127962324,0.0011235120257932641,0.0,191006.47262894918,170235.479210706,361241.9518396552
time_since_open,0.041929173152067706,0.08185884676207263,0.061894009957070166,434.4653565372783,112.63895080160546,0.0,64173.27749830836,62813.468361904816,126986.74586021318
time_to_close,-0.041929173152067706,-0.08185884676207263,0.061894009957070166,-44.465356537278275,112.63895080160546,0.0,210422.72700551024,135216.59346966015,345639.3204751704
price_position,-0.005063315985504425,0.0043210296118709034,0.004692172798687664,0.5007850962666999,0.3127837122312694,0.0,6152.597732373663,5262.187087023674,11414.784819397337
fvg_up,0.00209006059205593,-0.0035933330377317155,0.002841696814893823,0.13186751820000203,0.3383466799656444,0.0,572.2047092914581,1119.5489678382874,1691.7536771297455
fvg_down,-0.0069169455117889635,0.008804900359264529,0.007860922935526746,0.12942054442628112,0.335664813626162,0.0,1927.4326955080032,483.7963310589694,2411.2290265669726
fvg_size_pct,0.0020982302730426067,0.00899138598344878,0.005544808128245694,0.00018407489175963673,0.0012504889016740819,0.0,4613.648725125968,5285.840011588911,9899.488736714879
displacement_up,0.0033788508737383842,0.0052139764523001135,0.004296413663019249,0.026855791002040837,0.16166186158675624,0.0,61.4689701795578,47.91438114643097,109.38335132598877
displacement_down,0.006124702102245489,-0.0013041389923691099,0.0037144205473072997,0.028206195615754045,0.16556148750431018,0.0,87.99664950370789,3.151979923248291,91.14862942695618
order_block_bull,0.01566973646860972,-0.0023449651962867113,0.009007350832448215,0.005975286580227233,0.07706868709476884,0.0,1102.161834090948,448.4374064161675,1550.5992405071156
order_block_bear,-0.0015723598058685288,0.008976187142341855,0.005274273474105192,0.006168201525043406,0.07829530519124286,0.0,210.2044527197163,1073.4674883809057,1283.671941100622
liquidity_grab_high,0.002887864336634062,0.007135353204547597,0.00501160877059083,0.02757668369056443,0.16375655775325454,0.0,85.23011028766632,233.51889038085938,318.7490006685257
liquidity_grab_low,0.005521201763624597,-0.0035446523958841004,0.004532927079754348,0.02477941699072993,0.15545223537900463,0.0,116.77645111083984,154.9311499595642,271.70760107040405
bos_up,-0.004961146149376436,0.012465434981154324,0.00871329056526538,0.11733290012082567,0.3218165481606905,0.0,726.129789352417,174.6592080593109,900.7889974117279
bos_down,0.013102496811015276,-0.0031878066517612496,0.008145151731388262,0.11249479637319904,0.31597423496568755,0.0,397.9647784233093,145.23441910743713,543.1991975307465
pressure_ratio,0.001615716158093036,0.0013171445145493646,0.0014664303363212004,353975914878.64856,4067943646871.019,0.0,4091.7745747116583,3747.1563909419347,7838.930965653593
distance_from_vwap,-0.008053065319918128,0.005405509192073661,0.006729287255995895,-8.264109119250718e-06,0.0013476726933356413,0.0,4635.291062592966,4593.1867849964765,9228.477847589442
volume_momentum,-0.005773834404856103,0.005589350830211435,0.005681592617533769,0.2427513629853809,0.7635787653370364,0.0,11900.588324915623,11471.341274123371,23371.929599038995
pv_divergence,0.000765037137426617,-0.0008284526656515864,0.0007967449015391017,0.49946186883814436,0.49999971041476876,0.0,559.2915416359901,245.15941619873047,804.4509578347206
