date,ret,pnl,equity
2023-05-11 10:00:00,0.006980273141122818,13.960546282245636,10013.960546282246
2023-05-02 09:45:00,0.003056773493649246,6.122081832864979,10020.082628115111
2023-05-18 10:36:00,-0.03835227272727279,-76.85858834065581,9943.224039774455
2023-05-18 14:18:00,-0.0161952946460417,-32.20668861115047,9911.017351163306
2023-05-18 14:20:00,-0.0013130147614689876,-2.602662416650537,9908.414688746656
2023-05-18 14:22:00,0.010040079891690515,19.89625501500325,9928.310943761659
2023-05-18 14:23:00,0.015105740181268859,29.994897111062368,9958.305840872721
2023-05-18 14:24:00,0.0052317880794702405,10.419949157999355,9968.725790030721
2023-05-18 14:25:00,0.00887118193891099,17.686876036495345,9986.412666067217
2023-05-18 14:26:00,0.0030956461663145703,6.18288001698925,9992.595546084207
2023-05-18 14:32:00,0.011228533685601052,22.440439139158713,10015.035985223365
2023-05-09 13:58:00,0.0035989717223650535,7.208766261857465,10022.244751485223
2023-05-09 14:00:00,0.0035989717223650535,7.213955091043378,10029.458706576266
2023-05-12 11:30:00,0.04263959390862944,85.53040927435597,10114.989115850622
2023-05-12 12:00:00,-0.009183180280328723,-18.57755371688382,10096.411562133737
2023-05-12 13:08:00,0.005581395348837255,11.270412906567985,10107.681975040305
2023-05-12 13:33:00,0.018223234624145882,36.838932027481945,10144.520907067787
2023-05-12 13:38:00,0.007158836689038038,14.52459369244606,10159.045500760232
2023-05-12 13:40:00,-0.008904719501335676,-18.09269011711522,10140.952810643117
2023-05-04 10:11:00,-0.027559055118110208,-55.89501549173366,10085.057795151384
2023-05-04 10:12:00,-0.027559055118110208,-55.5869327291808,10029.470862422204
2023-05-04 10:46:00,-0.006584362139917701,-13.2075336459881,10016.263328776216
2023-05-04 11:01:00,0.004166666666666726,8.346886107313633,10024.61021488353
2023-05-04 13:53:00,0.000907441016333919,1.8193484963490596,10026.42956337988
2023-05-04 13:58:00,-0.0004533091568448781,-0.9090144663080585,10025.520548913571
2023-05-04 13:59:00,0.0,0.0,10025.520548913571
2023-05-04 14:13:00,0.008668786915038591,17.381820270174497,10042.902369183746
2023-05-08 09:45:00,-0.010587431693989149,-21.265708568626945,10021.636660615119
2023-05-17 13:30:00,0.005476316132171836,10.976330103058253,10032.612990718177
2023-05-17 13:31:00,0.005476316132171836,10.988352073781337,10043.601342791959
2023-05-17 13:38:00,0.005476316132171836,11.000387211726864,10054.601730003686
2023-05-17 13:40:00,0.005476316132171836,11.012435531316408,10065.614165535002
2023-05-04 09:45:00,0.003083333333333371,6.2071287354133275,10071.821294270416
2023-05-04 09:46:00,0.003083333333333371,6.210956464800167,10078.032250735216
2023-05-04 09:47:00,0.003083333333333371,6.214786554620126,10084.247037289835
2023-05-04 09:48:00,0.003083333333333371,6.218619006328808,10090.465656296165
2023-05-04 09:49:00,0.003083333333333371,6.222453821382711,10096.688110117548
2023-05-04 09:50:00,0.003083333333333371,6.226291001239231,10102.914401118787
2023-05-04 09:53:00,0.003083333333333371,6.230130547356661,10109.144531666145
