date,symbol,ret,pnl,equity,proba,month
2023-05-10 09:46:00,ABNB,0.000419698314108188,1.04924578527047,10001.04924578527,0.5520230429938996,2023-05
2023-05-09 09:47:00,ACAD,0.005214505807063259,13.03763234221823,10014.08687812749,0.595694253560216,2023-05
2023-05-09 09:52:00,ACAD,0.005214505807063259,13.054628544607944,10027.141506672097,0.5527685800490215,2023-05
2023-05-09 09:59:00,ACAD,0.015798160811129492,39.60259849958926,10066.744105171685,0.6068745408535671,2023-05
2023-05-09 10:03:00,ACAD,0.01080827067669175,27.20102378042166,10093.945128952108,0.5530471278316315,2023-05
2023-05-09 10:04:00,ACAD,0.0023364485981308743,5.89599598653753,10099.841124938644,0.551477467320245,2023-05
2023-05-11 10:10:00,ACVA,0.006980273141122818,17.62491243350422,10117.466037372149,0.5588445330576673,2023-05
2023-05-11 10:14:00,ACVA,0.006980273141122818,17.655669109222778,10135.121706481372,0.5544530722367362,2023-05
2023-05-11 11:07:00,ACVA,0.0036911866925528236,9.352656592591826,10144.474363073963,0.5504522909835186,2023-05
2023-05-11 11:08:00,ACVA,0.0036911866925528236,9.361287192980473,10153.835650266943,0.5596734689525493,2023-05
2023-05-11 11:09:00,ACVA,0.0036911866925528236,9.369925757658446,10163.205576024602,0.5557223758068834,2023-05
2023-05-11 11:10:00,ACVA,0.0036911866925528236,9.378572293975166,10172.584148318578,0.57158629862478,2023-05
2023-05-01 13:35:00,AEHR,-0.006175221922037829,-15.704491159117849,10156.87965715946,0.550774427413352,2023-05
2023-05-01 13:38:00,AEHR,-0.006175221922037829,-15.68024647959779,10141.199410679861,0.5590685990425192,2023-05
2023-05-01 13:39:00,AEHR,-0.006175221922037829,-15.656039229146847,10125.543371450714,0.5590685990425192,2023-05
2023-05-01 13:40:00,AEHR,-0.006175221922037829,-15.63186934998182,10109.911502100733,0.5575031656491505,2023-05
2023-05-01 13:41:00,AEHR,-0.006175221922037829,-15.60773678440871,10094.303765316325,0.5608045506203732,2023-05
2023-05-01 13:43:00,AEHR,-0.006175221922037829,-15.583641474822592,10078.720123841502,0.555530981768463,2023-05
2023-05-01 13:44:00,AEHR,-0.006175221922037829,-15.559583363707466,10063.160540477795,0.5635871930098332,2023-05
2023-05-01 13:53:00,AEHR,-0.006175221922037829,-15.53556239363613,10047.624978084159,0.5505988450770734,2023-05
2023-05-10 09:54:00,AGL,0.0028169014084507157,7.075792238087464,10054.700770322246,0.5511263351504192,2023-05
2023-05-10 10:10:00,AGL,0.001802523532946193,4.530958688809515,10059.231729011055,0.5562895151228852,2023-05
2023-05-10 10:12:00,AGL,0.001802523532946193,4.533000478725362,10063.76472948978,0.5526438956387357,2023-05
2023-05-10 10:34:00,AGL,0.0028056112224449014,7.058752816275426,10070.823482306056,0.5560207028696682,2023-05
2023-05-02 09:45:00,ANET,0.003056773493649246,7.696056569983387,10078.519538876038,0.551427243314976,2023-05
2023-05-02 09:46:00,ANET,0.003056773493649246,7.701937845415574,10086.221476721454,0.5558774507624439,2023-05
2023-05-18 10:36:00,APLD,-0.03835227272727279,-96.70737921572433,9989.51409750573,0.5991049713258243,2023-05
2023-05-18 10:37:00,APLD,-0.03835227272727279,-95.78014227011901,9893.73395523561,0.5870473636490421,2023-05
2023-05-18 10:39:00,APLD,-0.03835227272727279,-94.86179573556886,9798.87215950004,0.5848358041926948,2023-05
2023-05-18 12:25:00,APLD,0.0015267175572518759,3.740027541793829,9802.612187041834,0.5745243924046416,2023-05
2023-05-18 12:29:00,APLD,0.0,0.0,9802.612187041834,0.5561500897648108,2023-05
2023-05-18 12:30:00,APLD,0.00914634146341471,22.41450957402877,9825.026696615863,0.5582014420961281,2023-05
2023-05-18 12:31:00,APLD,0.00914634146341471,22.465762263603533,9847.492458879467,0.5672466759882391,2023-05
2023-05-18 12:38:00,APLD,0.020409956076134727,50.24672213644947,9897.739181015917,0.6194994687685289,2023-05
2023-05-18 13:29:00,APLD,0.03451591062965472,85.40737025189432,9983.146551267811,0.5565803571696059,2023-05
2023-05-18 13:54:00,APLD,0.029255319148936258,73.01503461698555,10056.161585884796,0.5544335613961522,2023-05
2023-05-18 13:59:00,APLD,0.023255813953488334,58.466055731888254,10114.627641616684,0.5625272015869133,2023-05
2023-05-18 14:23:00,APLD,0.015105740181268859,38.197234296135456,10152.82487591282,0.554001024321164,2023-05
2023-05-18 14:32:00,APLD,0.011228533685601052,28.500334030798857,10181.32520994362,0.5509099721641423,2023-05
2023-05-09 12:25:00,ARRY,0.005573244272231875,14.185753102512066,10195.510963046132,0.5979280878503981,2023-05
2023-05-09 13:30:00,ARRY,-0.006615627860530833,-16.862426594868882,10178.648536451263,0.6182618824138502,2023-05
2023-05-09 13:31:00,ARRY,-0.0033811064397314657,-8.603773528589656,10170.044762922673,0.5504910015823783,2023-05
2023-05-09 13:43:00,ARRY,0.0035989717223650535,9.150425879236376,10179.195188801908,0.552067764596275,2023-05
2023-05-09 13:44:00,ARRY,0.0035989717223650535,9.158658910233118,10188.353847712142,0.5505833308507976,2023-05
2023-05-09 13:46:00,ARRY,0.0035989717223650535,9.166899348841296,10197.520747060984,0.5550529508731282,2023-05
2023-05-09 13:47:00,ARRY,0.0035989717223650535,9.175147201725858,10206.69589426271,0.5512841905909166,2023-05
2023-05-09 13:58:00,ARRY,0.0035989717223650535,9.183402475557745,10215.879296738267,0.554319776623258,2023-05
2023-05-09 13:59:00,ARRY,0.0035989717223650535,9.191665177013903,10225.07096191528,0.554319776623258,2023-05
2023-05-12 11:30:00,ARRY,0.04263959390862944,78.49298868302552,10303.563950598305,0.5504873763758015,2023-05
2023-05-12 13:09:00,ARRY,0.0046168051708218565,7.806946467050432,10311.370897065355,0.591232486074443,2023-05
2023-05-12 13:19:00,ARRY,0.029761904761904698,76.72150965078373,10388.09240671614,0.5768164028893962,2023-05
2023-05-12 13:20:00,ARRY,0.025283534502391396,65.66192319480939,10453.75432991095,0.5705034076550367,2023-05
2023-05-12 13:21:00,ARRY,0.02639695210449931,68.9868130897154,10522.741143000665,0.5722378690636977,2023-05
2023-05-12 13:22:00,ARRY,0.019335759781619687,50.86629874630676,10573.607441746972,0.5972369236438155,2023-05
2023-05-12 13:27:00,ARRY,-0.020084802499442216,-53.092204293530095,10520.515237453441,0.5694225426854006,2023-05
2023-05-12 13:28:00,ARRY,-0.018775145283862392,-49.3810505110691,10471.134186942372,0.5912158891724114,2023-05
2023-05-12 13:30:00,ARRY,-0.004079782411604708,-10.679987271360064,10460.454199671012,0.5821609468908716,2023-05
2023-05-12 13:51:00,ARRY,0.021556614476968522,56.37299460907358,10516.827194280086,0.5616676294453598,2023-05
2023-05-12 13:53:00,ARRY,-0.004268703662098354,-11.22330468946974,10505.603889590617,0.5581116412702771,2023-05
2023-05-12 13:54:00,ARRY,-0.015482476124110058,-40.66319034748612,10464.94069924313,0.5708185492497742,2023-05
2023-05-12 13:56:00,ARRY,-0.015992892047978807,-41.84116672287381,10423.099532520257,0.5529044632376465,2023-05
2023-05-12 13:58:00,ARRY,0.001827617328519925,4.762359330630487,10427.861891850887,0.5666867440203998,2023-05
2023-05-12 13:59:00,ARRY,0.014745916515426465,38.44209522290757,10466.303987073796,0.5574363586591469,2023-05
