,total_trades,wins,losses,win_rate,avg_pnl,total_pnl,sharpe,long_trades,long_win_rate,long_avg_pnl,short_trades,short_win_rate,short_avg_pnl,auc_long,auc_short
15_optimal,402.0,225.0,177.0,55.970149253731336,0.0899887683387936,36.17548487219503,1.0770352358243116,319.0,54.54545454545454,0.08647717287060087,83.0,61.44578313253012,0.10348514128281135,0.9325571204630201,0.9043881132043914
30_ict,403.0,190.0,213.0,47.146401985111666,0.22299637628973956,89.86753964476505,1.2227506100383474,29.0,72.41379310344827,1.1295737605094638,374.0,45.18716577540107,0.15270026895719405,0.945734881477017,0.9106629266227639
30_vpa,1290.0,571.0,719.0,44.263565891472865,-0.09713617671746776,-125.3056679655334,-1.6670983462428988,241.0,47.71784232365145,-0.1442721183782952,1049.0,43.469971401334604,-0.08630704236069042,0.8418647965204147,0.8049988697620386
