date,symbol,ret,pnl,equity,regime,high_vol
2023-05-11 09:58:00,ACVA,0.006980273141122818,13.960546282245636,10013.960546282246,bear,0
2023-05-10 10:02:00,AGL,-0.00040469445568602037,-0.8105188625077954,10013.150027419737,bull,0
2023-05-18 12:00:00,APLD,-0.016105417276720397,-32.25319188919983,9980.896835530537,sideways,0
2023-05-18 12:01:00,APLD,-0.010309278350515505,-20.579168733052736,9960.317666797484,bull,1
2023-05-18 13:31:00,APLD,0.04638472032742154,92.40130986933544,10052.71897666682,bull,1
2023-05-18 13:33:00,APLD,0.02005113712824654,40.31368934257453,10093.032666009394,bull,1
2023-05-18 13:42:00,APLD,0.011509817197020983,23.233792189865895,10116.26645819926,bull,1
2023-05-18 13:49:00,APLD,0.009395973154362336,19.01043361272328,10135.276891811982,bull,0
2023-05-18 14:04:00,APLD,-0.01010101010101011,-20.475306852145437,10114.801584959836,bull,0
2023-05-18 14:07:00,APLD,-0.028967254408060507,-58.59960615971705,10056.201978800118,bull,0
2023-05-18 14:21:00,APLD,0.0008909574468085601,1.7919296079245888,10057.993908408043,bull,1
2023-05-09 12:29:00,ARRY,-0.0025588536335721963,-5.147386851795387,10052.846521556248,bear,1
2023-05-09 13:30:00,ARRY,-0.006615627860530833,-13.301178305129598,10039.545343251119,bull,1
2023-05-09 13:34:00,ARRY,0.005536514632217265,11.116817938743704,10050.662161189863,bull,1
2023-05-09 13:35:00,ARRY,-0.003664921465968601,-7.366977500348621,10043.295183689514,bull,1
2023-05-12 13:50:00,ARRY,0.017496023630993028,35.14354597337404,10078.438729662888,bull,1
2023-05-12 14:07:00,ARRY,-0.0022311468094600943,-4.49729528320528,10073.941434379683,bear,1
2023-05-12 14:54:00,ARRY,-0.02103163686382395,-42.37429560706065,10031.567138772623,sideways,0
2023-05-18 12:01:00,ARRY,-0.005002174858634121,-10.035930586853729,10021.53120818577,bear,1
2023-05-18 12:30:00,ARRY,-0.005274725274725318,-10.572164791053208,10010.959043394716,bear,1
2023-05-09 13:30:00,ARWR,0.0007498125468633126,1.501268539374421,10012.46031193409,bull,1
2023-05-03 13:31:00,ASAN,-0.003819223424570369,-7.647964592183964,10004.812347341905,bear,1
2023-05-03 13:32:00,ASAN,-0.003819223424570369,-7.6421227350798135,9997.170224606825,bear,1
2023-05-19 13:32:00,ASO,-0.003844335333697121,-7.68649494628816,9989.483729660536,bear,1
2023-05-04 10:11:00,AUPH,-0.027559055118110208,-55.06014654143598,9934.4235831191,bull,1
2023-05-04 11:00:00,AUPH,0.004166666666666726,8.278686319266034,9942.702269438367,bull,0
2023-05-04 11:02:00,AUPH,0.004166666666666726,8.28558522453209,9950.987854662899,bull,0
2023-05-04 11:08:00,AUPH,0.004987531172069867,9.926172423603973,9960.914027086503,bull,0
2023-05-04 11:22:00,AUPH,0.004987531172069867,9.936073842480384,9970.850100928983,bull,0
2023-05-04 12:00:00,AUPH,0.008333333333333304,16.618083501548245,9987.46818443053,sideways,0
2023-05-04 13:33:00,AUPH,-0.007915567282321888,-15.81129527878182,9971.656889151749,bear,1
2023-05-04 13:35:00,AUPH,-0.006129597197898449,-12.224448025229867,9959.432441126519,bear,1
2023-05-04 13:45:00,AUPH,-0.0008956560680698422,-1.7840452200853216,9957.648395906434,bear,1
2023-05-09 13:24:00,AUPH,-0.009542960963821423,-19.005089986718822,9938.643305919715,bear,0
