feature,ic_long,ic_short,ic_combined,mean,std,null_pct,importance_long,importance_short,importance_combined,category
returns,-0.006567983192452087,0.00024922678456606637,0.0034086049885090767,-4.793416290825659e-06,0.0014843576757055817,0.0,0.0,24.857099533081055,24.857099533081055,Returns/Momentum
log_returns,-0.006567983192452087,0.00024922678456606637,0.0034086049885090767,-5.891514160865143e-06,0.0014811370914174313,0.0,0.0,0.0,0.0,Returns/Momentum
range_pct,0.09006048894945712,0.07164187989160757,0.08085118442053235,0.0012825848934522805,0.0012539996340477963,0.0,263.61800384521484,1358.2513999938965,1621.8694038391113,Other
body_pct,0.05933934960343294,0.04537281954769715,0.05235608457556505,0.0006867904078929396,0.0008864195626749204,0.0,0.0,0.0,0.0,Other
upper_wick,0.05739067374465068,0.04611739319503089,0.05175403346984078,0.0003008053983646002,0.0004415765937611644,0.0,0.0,34.55350112915039,34.55350112915039,Other
lower_wick,0.06160517086529556,0.046924399968507856,0.054264785416901704,0.0002949890871947404,0.0004625275527058216,0.0,0.0,45.07099914550781,45.07099914550781,Other
returns_3,-0.008823201170093303,0.006353400698993602,0.007588300934543452,-1.4234306641888427e-05,0.0025298925929620867,0.0,0.0,0.0,0.0,Returns/Momentum
log_returns_3,-0.008823201170093303,0.006353400698993602,0.007588300934543452,-1.7431404719842532e-05,0.002528697635495828,0.0,0.0,0.0,0.0,Returns/Momentum
returns_5,-0.007799442891741561,0.01002830843971453,0.008913875665728046,-2.346106396078078e-05,0.0032428478638713647,0.0,0.0,19157.683490753174,19157.683490753174,Returns/Momentum
log_returns_5,-0.007799442891741561,0.01002830843971453,0.008913875665728046,-2.871866725428907e-05,0.0032434150831733588,0.0,0.0,0.0,0.0,Returns/Momentum
returns_10,-0.006757556333346864,0.014295581181478433,0.010526568757412648,-4.524378390015667e-05,0.004512273203274462,0.0,0.0,0.0,0.0,Returns/Momentum
log_returns_10,-0.006757556333346864,0.014295581181478433,0.010526568757412648,-5.54224207184872e-05,0.004512632539136591,0.0,0.0,0.0,0.0,Returns/Momentum
returns_15,-0.004134844373945565,0.019093082435155517,0.01161396340455054,-6.531860609598636e-05,0.005472579874600229,0.0,0.0,0.0,0.0,Returns/Momentum
log_returns_15,-0.004134844373945565,0.019093082435155517,0.01161396340455054,-8.028465751791039e-05,0.005471156333947555,0.0,0.0,0.0,0.0,Returns/Momentum
returns_20,-0.005633507512196285,0.021404438957792593,0.013518973234994439,-8.50686418250466e-05,0.006293437460489411,0.0,0.0,184.03530502319336,184.03530502319336,Returns/Momentum
log_returns_20,-0.005633507512196285,0.021404438957792593,0.013518973234994439,-0.0001048450027688755,0.0062877191443321346,0.0,0.0,66.11940002441406,66.11940002441406,Returns/Momentum
returns_30,-0.009408290416259363,0.02337158655556222,0.01638993848591079,-0.00012644514202305124,0.007672065135443729,0.0,1747.9590454101562,74.20709800720215,1822.1661434173584,Returns/Momentum
log_returns_30,-0.009408290416259363,0.02337158655556222,0.01638993848591079,-0.00015582499503035647,0.007662577264145967,0.0,0.0,0.0,0.0,Returns/Momentum
returns_50,-0.010756110124471002,0.0014561073355457558,0.006106108730008379,-0.00021527071490357998,0.009851593464392891,0.0,1342.9034957885742,517.7784996032715,1860.6819953918457,Returns/Momentum
log_returns_50,-0.010756110124471002,0.0014561073355457558,0.006106108730008379,-0.0002636901429278684,0.009833927666669795,0.0,0.0,176.02410507202148,176.02410507202148,Returns/Momentum
returns_100,-0.021187511070593683,-0.009985672808169838,0.01558659193938176,-0.0004371139119883664,0.013941069449569061,0.0,1654.4319534301758,3503.0451889038086,5157.477142333984,Returns/Momentum
log_returns_100,-0.021187511070593683,-0.009985672808169838,0.01558659193938176,-0.0005343361328566624,0.0139377858921405,0.0,0.0,421.5567970275879,421.5567970275879,Returns/Momentum
sma_5,-0.0052381241724541935,-0.001247560911938954,0.0032428425421965738,160.01429059487975,103.37216829540222,0.0,7652.469650268555,4793.089609146118,12445.559259414673,Moving Averages
price_to_sma_5,-0.008504946506207867,0.005743744503220692,0.00712434550471428,-1.1188061077853448e-05,0.0015986414913454075,0.0,0.0,25.619699478149414,25.619699478149414,Moving Averages
ema_5,-0.005244721389458236,-0.0012415864357068437,0.0032431539125825403,160.01426673383642,103.37198429412423,0.0,4801.573123931885,2414.684410095215,7216.2575340271,Moving Averages
price_to_ema_5,-0.009489455282773236,0.00798441731923256,0.008736936301002897,-1.1890075222066936e-05,0.0012996483017807933,0.0,0.0,25.49810028076172,25.49810028076172,Moving Averages
sma_10,-0.005238863991765732,-0.0012952303165602494,0.003267047154162991,160.01702962301854,103.37515113031711,0.0,236.6649932861328,124.7396011352539,361.4045944213867,Moving Averages
price_to_sma_10,-0.008412888039467053,0.011509900606294766,0.00996139432288091,-2.4387834613753545e-05,0.00242884564875239,0.0,0.0,82.86199951171875,82.86199951171875,Moving Averages
ema_10,-0.00523691608982124,-0.0012797306038914984,0.003258323346856369,160.0169474377077,103.37477488307913,0.0,112.96499633789062,90.33200073242188,203.2969970703125,Moving Averages
price_to_ema_10,-0.00921749659032249,0.014435742531250425,0.011826619560786457,-2.5532164087851768e-05,0.0020412217540190227,0.0,0.0,0.0,0.0,Moving Averages
sma_15,-0.005276031585405517,-0.0013288557060481198,0.0033024436457268183,160.01965325195107,103.37808546987767,0.0,879.4580078125,173.86379623413086,1053.3218040466309,Moving Averages
price_to_sma_15,-0.007678246957571186,0.01595399019356559,0.011816118575568387,-3.68454329599966e-05,0.003026925317202364,0.0,174.01199340820312,187.52519989013672,361.53719329833984,Moving Averages
