n_features,auc,marginal
10,0.9923824793357774,
15,0.9952731913830459,0.00289071204726854
20,0.9950623464420857,-0.00021084494096024198
25,0.997173772040348,0.002111425598262273
30,0.9977321416102036,0.0005583695698556657
40,0.9999761483872616,0.0022440067770579386
50,0.9999919424494479,1.5794062186325064e-05
75,0.9999983132299464,6.370780498476947e-06
100,0.9999996184373514,1.3052074050445839e-06
