date,symbol,ret,pnl,equity,regime,year
2023-05-11 10:01:00,ACVA,0.006980273141122818,13.960546282245636,10013.960546282246,sideways,2023
2023-05-10 10:02:00,AGL,-0.00040469445568602037,-0.8105188625077954,10013.150027419737,bull,2023
2023-05-10 10:34:00,AGL,0.0028056112224449014,5.6186012177906575,10018.768628637528,sideways,2023
2023-04-28 13:37:00,ANF,-0.0012881064834691966,-2.5810481653851585,10016.187580472144,bear,2023
2023-05-18 13:29:00,APLD,0.03451591062965472,69.14356707548681,10085.331147547631,sideways,2023
2023-05-09 12:29:00,ARRY,-0.0025588536335721963,-5.161377250536221,10080.169770297094,bear,2023
2023-05-09 13:30:00,ARRY,-0.006615627860530833,-13.337330394251628,10066.832439902842,bull,2023
2023-05-09 13:35:00,ARRY,-0.003664921465968601,-7.378830060661799,10059.453609842181,bull,2023
2023-05-12 13:50:00,ARRY,0.017496023630993028,35.200087614535384,10094.653697456717,bull,2023
2023-05-12 14:07:00,ARRY,-0.0022311468094600943,-4.50453087793702,10090.14916657878,bear,2023
2023-05-12 14:31:00,ARRY,0.0058883509861380155,11.882867959060768,10102.03203453784,sideways,2023
2023-05-12 14:44:00,ARRY,0.006967073920746161,14.076320786874174,10116.108355324715,sideways,2023
2023-05-12 14:53:00,ARRY,-0.02103163686382395,-42.55166348085695,10073.556691843858,sideways,2023
2023-05-12 14:54:00,ARRY,-0.02103163686382395,-42.37267725400075,10031.184014589857,sideways,2023
2023-05-18 13:32:00,ARRY,-0.01481645289694829,-29.725313090558256,10001.4587014993,sideways,2023
2023-05-09 13:30:00,ARWR,0.0007498125468633126,1.499843844263886,10002.958545343563,bull,2023
2023-05-03 13:32:00,ASAN,-0.003819223424570369,-7.640706718276496,9995.317838625286,bear,2023
2023-05-19 13:30:00,ASO,-0.003844335333697121,-7.6850707077120655,9987.632767917574,bear,2023
2023-05-19 13:32:00,ASO,-0.003844335333697121,-7.679161909939342,9979.953606007635,bear,2023
2023-05-19 13:35:00,ASO,-0.003844335333697121,-7.67325765524663,9972.28034835239,bear,2023
2023-05-04 10:11:00,AUPH,-0.027559055118110208,-54.96532475469816,9917.315023597692,bull,2023
2023-05-04 10:46:00,AUPH,-0.006584362139917701,-13.059838714202735,9904.255184883488,bull,2023
2023-05-04 11:00:00,AUPH,0.004166666666666726,8.253545987403024,9912.508730870892,bull,2023
2023-05-04 11:02:00,AUPH,0.004166666666666726,8.260423942392526,9920.769154813284,bull,2023
2023-05-04 11:08:00,AUPH,0.004987531172069867,9.896029082108097,9930.665183895393,bull,2023
2023-05-04 11:09:00,AUPH,0.004987531172069867,9.905900432813443,9940.571084328207,bull,2023
2023-05-04 11:22:00,AUPH,0.004987531172069867,9.915781630252658,9950.486865958459,bull,2023
2023-05-04 11:34:00,AUPH,-0.002481389578163719,-4.938206881368857,9945.54865907709,bull,2023
2023-05-04 13:35:00,AUPH,-0.006129597197898449,-12.192441438448324,9933.356217638642,bear,2023
2023-05-04 13:45:00,AUPH,-0.0008956560680698422,-1.7793741545254693,9931.576843484117,bear,2023
2023-05-04 14:03:00,AUPH,-0.0004535147392290958,-0.9008232964612852,9930.676020187657,sideways,2023
2023-05-09 13:31:00,AUPH,-0.009542960963821423,-18.95361072100166,9911.722409466654,bear,2023
2023-05-18 14:21:00,AVDL,-0.0030564545127650953,-6.058945737537856,9905.663463729117,bear,2023
2023-05-04 09:49:00,BALL,0.003083333333333371,6.108492469299697,9911.771956198418,bull,2023
2023-05-04 09:53:00,BALL,0.003083333333333371,6.112259372989099,9917.884215571406,bull,2023
2023-05-04 09:54:00,BALL,0.003083333333333371,6.116028599602442,9924.00024417101,bull,2023
2023-05-04 09:56:00,BALL,0.003083333333333371,6.119800150572198,9930.120044321582,bull,2023
2023-05-04 10:28:00,BALL,0.0032649644202595277,6.484297726723186,9936.604342048306,bull,2023
2023-05-08 13:27:00,BBIO,0.007288629737609303,14.484845979662202,9951.089188027969,bear,2023
2023-05-08 13:35:00,BBIO,0.0,0.0,9951.089188027969,bear,2023
2023-05-17 13:30:00,BBIO,-0.0035945363048167298,-7.153910271767153,9943.935277756202,bear,2023
2023-05-23 13:30:00,BBIO,-0.006047669868374178,-12.02752755046984,9931.907750205732,sideways,2023
2023-05-19 13:41:00,BE,0.0021063680895731913,4.1840507107236045,9936.091800916456,sideways,2023
2023-05-04 09:50:00,BKU,-0.013529411764705908,-26.885895461303402,9909.205905455152,sideways,2023
2023-05-04 09:51:00,BKU,-0.005927682276230078,-11.747724843456185,9897.458180611695,sideways,2023
2023-05-04 09:52:00,BKU,-0.00415122312824316,-8.217311462034948,9889.24086914966,sideways,2023
2023-05-04 09:53:00,BKU,-0.008912655971479418,-17.627880337165006,9871.612988812496,sideways,2023
