period,n_trades,avg_ret,win_rate,equity
2024-05-15 to 2024-05-17,149,0.0003505013595938107,0.5100671140939598,10003.505013595939
2024-05-17 to 2024-05-21,157,0.0007279153673171725,0.5095541401273885,10010.78671862237
2024-05-21 to 2024-05-23,166,4.095758025518737e-05,0.5240963855421686,10011.196736222815
2024-05-23 to 2024-05-28,234,0.00025580302401418173,0.5854700854700855,10013.757630621943
2024-05-28 to 2024-05-30,287,0.00034123391277683266,0.5505226480836237,10017.17466431984
