subset,n_features,auc_mean,auc_std
All features,57,0.5128222994045912,0.010174045668753604
Cross + Momentum,18,0.5097707172047224,0.00910046134853299
Top 20 correlated,20,0.5096866673389737,0.00956607561836184
Cross + Top corr,18,0.5095641542512555,0.009354376035923293
Cross-sectional only,12,0.5085559903557081,0.0040704633965047985
Top 10 correlated,10,0.508388202565183,0.009239315995613822
Cross + Vol + Time,20,0.5064142908785115,0.008203159797622471
