date,symbol,ret,pnl,equity,regime,proba
2023-05-10 09:45:00,ABNB,0.000419698314108188,0.8393966282163761,10000.839396628216,bull,0.615935887141002
2023-05-10 09:46:00,ABNB,0.000419698314108188,0.8394670868863221,10001.678863715102,bull,0.631131389041383
2023-05-10 09:47:00,ABNB,0.000419698314108188,0.8395375514705452,10002.518401266572,bull,0.6159213856560678
2023-05-11 09:45:00,ACVA,0.0,0.0,10002.518401266572,bull,0.6233867146096502
2023-05-11 11:08:00,ACVA,0.0036911866925528236,7.384232562953984,10009.902633829526,sideways,0.5846469663044209
2023-05-01 13:33:00,AEHR,-0.006175221922037829,-12.362674036377658,9997.539959793148,bull,0.6219143360664862
2023-05-10 09:54:00,AGL,0.0028169014084507157,5.632416878756726,10003.172376671904,sideways,0.5838760783616249
2023-05-10 10:21:00,AGL,0.001802523532946193,3.6061907226136816,10006.778567394518,sideways,0.6144364081703467
2023-05-10 10:27:00,AGL,-0.004610142313088875,-9.22653465825127,9997.552032736266,sideways,0.5812340468358496
2023-04-28 13:40:00,ANF,-0.0012881064834691966,-2.575582318437646,9994.97645041783,bear,0.5811952726567832
2023-05-18 12:00:00,APLD,-0.016105417276720397,-32.194653280994565,9962.781797136835,sideways,0.7055468374560058
2023-05-18 12:23:00,APLD,0.0015267175572518759,3.0420707777516407,9965.823867914587,bull,0.6032317317768147
2023-05-18 13:29:00,APLD,0.03451591062965472,68.79589719516396,10034.619765109752,sideways,0.6069740896312813
2023-05-18 13:34:00,APLD,-0.01569392269532328,-31.4965093741191,10003.123255735632,bull,0.6236023270973923
2023-05-18 13:35:00,APLD,-0.014684017315561656,-29.377207019383903,9973.746048716248,bull,0.6372679467616877
2023-05-18 13:36:00,APLD,-0.02099087353324636,-41.87152839226367,9931.874520323985,bull,0.6027508058027796
2023-05-18 13:38:00,APLD,-0.027704485488126644,-55.03149470364213,9876.843025620343,bull,0.6144083361250823
2023-05-18 13:39:00,APLD,-0.019281914893616966,-38.08888932752515,9838.754136292817,bull,0.6350616084210731
2023-05-18 13:40:00,APLD,-0.0011350737797956507,-2.233542369192396,9836.520593923624,bull,0.584835444141656
