period,trades,win_rate,pnl,equity
2023-04-26,408,0.49264705882352944,-1294.6434337672115,8705.35656623278
2023-05-24,262,0.4389312977099237,490.65771796594123,9196.014284198742
2023-06-23,212,0.5094339622641509,1066.4110771792043,10262.425361377951
2023-07-24,251,0.50199203187251,-247.8998020721002,10014.52555930585
2023-08-21,47,0.40425531914893614,-317.50897088160576,9697.01658842424
2023-09-21,232,0.47413793103448276,-376.62026163596823,9320.396326788272
2023-10-20,805,0.4670807453416149,876.3403001150992,10196.736626903366
2023-11-17,427,0.4426229508196721,-1052.0048386472977,9144.731788256091
2023-12-18,214,0.3411214953271028,-532.0731875350516,8612.658600721043
2024-01-19,159,0.4591194968553459,0.5707570475280415,8613.229357768565
2024-02-16,202,0.5495049504950495,240.60926111306532,8853.838618881622
2024-03-18,77,0.4025974025974026,-62.44054096279677,8791.398077918826
2024-04-25,134,0.35074626865671643,-296.64443143035237,8494.753646488469
2024-05-30,19,0.7368421052631579,47.62187909092421,8542.375525579395
2024-07-11,1064,0.5366541353383458,1440.1495011545,9982.525026733894
2024-08-09,140,0.5357142857142857,45.869351461102454,10028.394378194991
2024-09-16,166,0.4578313253012048,-400.17075383448895,9628.223624360497
2024-10-30,1980,0.5181818181818182,1530.6401063473438,11158.863730707853
2024-11-27,913,0.4633077765607886,-429.25180221160184,10729.611928496279
