rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,aaa_score,regime
at_session_high_bin == True AND rvol_bin == 4,SHORT,fwd_ret_90m,16.809898717871704,0.0,0.042271168408127065,0.5137010363604426,0.26121019338422535,0.18900467719151154,1.459905238782008,1.768335963930989,22772,0.042271168408127065,0.37947200594422426,0.08049293189848118,bull_low_vol
at_session_high_bin == True AND rel_strength_60m_bin == 4.0,SHORT,fwd_ret_90m,12.99337216082035,0.0,0.02411921825119106,0.49303504472234444,0.273539423986956,0.21844765152827758,1.2177899866136377,0.9440293341439676,47739,0.02411921825119106,0.40558137974265523,0.06683050269283952,bull_low_vol
at_session_high_bin == True AND ret_60m_bin == 4.0,SHORT,fwd_ret_90m,12.99337216082035,0.0,0.02411921825119106,0.49303504472234444,0.273539423986956,0.21844765152827758,1.2177899866136377,0.9440293341439676,47739,0.02411921825119106,0.40558137974265523,0.06683050269283952,bull_low_vol
at_session_high_bin == True AND price_vs_vwap_pct_bin == 4,SHORT,fwd_ret_90m,12.427324277632112,0.0,0.025227060556936836,0.4904298186702485,0.286053769073357,0.22580253271372658,1.2192470883268154,0.9661655249317805,41692,0.025227060556936836,0.414491265650578,0.0568296547812392,bull_low_vol
at_session_high_bin == True,SHORT,fwd_ret_90m,12.81379414141302,0.0,0.014914837016741496,0.4812163974707228,0.2205176097774903,0.1757994128854335,1.1635365573042227,0.6829120860981313,88721,0.014914837016741496,0.34670011318869653,0.04873816978405167,bull_low_vol
at_session_high_bin == True AND session_range_pct_bin == 4,SHORT,fwd_ret_90m,12.81379414141302,0.0,0.014914837016741496,0.4812163974707228,0.2205176097774903,0.1757994128854335,1.1635365573042227,0.6829120860981313,88721,0.014914837016741496,0.34670011318869653,0.04873816978405167,bull_low_vol
