rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,aaa_score,regime
session_range_pct_bin == 4 AND is_power_hour_bin == True,SHORT,fwd_ret_180m,20.265894821481705,0.0,0.09090626319640974,0.5008811169852243,0.571363630222527,0.3912474497752098,1.4655199371077023,1.675101628568898,36885,0.09090626319640974,0.8614953060777516,0.1451802852852079,bull_low_vol
at_session_high_bin == True AND rvol_bin == 4,SHORT,fwd_ret_180m,19.47666430455882,0.0,0.06665590028972826,0.5497979975408396,0.35032725769941797,0.2797706891337321,1.529211122979895,2.048869331410398,22772,0.06665590028972826,0.5164456304112088,0.10886878259898618,bull_low_vol
at_session_high_bin == True AND rel_strength_60m_bin == 4.0,SHORT,fwd_ret_180m,14.773747481286291,0.0,0.03892837330800142,0.5147573262950628,0.3778743876146049,0.32063386953984974,1.250206088153533,1.0733819384951155,47739,0.03892837330800142,0.575721228521819,0.09020633994373199,bull_low_vol
at_session_high_bin == True AND ret_60m_bin == 4.0,SHORT,fwd_ret_180m,14.773747481286291,0.0,0.03892837330800142,0.5147573262950628,0.3778743876146049,0.32063386953984974,1.250206088153533,1.0733819384951155,47739,0.03892837330800142,0.575721228521819,0.09020633994373199,bull_low_vol
at_session_high_bin == True AND session_range_pct_bin == 4,SHORT,fwd_ret_180m,15.873046408081176,0.0,0.026090307318587483,0.5094622468186788,0.3015814592796529,0.2600290389427613,1.2045431341913129,0.8459551570476389,88721,0.026090307318587483,0.4895895312120688,0.07917824884291473,bull_low_vol
at_session_high_bin == True,SHORT,fwd_ret_180m,15.873046408081176,0.0,0.026090307318587483,0.5094622468186788,0.3015814592796529,0.2600290389427613,1.2045431341913129,0.8459551570476389,88721,0.026090307318587483,0.4895895312120688,0.07917824884291473,bull_low_vol
at_session_high_bin == True AND price_vs_vwap_pct_bin == 4,SHORT,fwd_ret_180m,12.888507952383822,0.0,0.03722664040369869,0.5138875563657297,0.38981284036831765,0.3355053541806976,1.2282536076590846,1.0020203684404874,41692,0.03722664040369869,0.589763057259443,0.06404957868310818,bull_low_vol
