sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,rejection_counts,reject_bigmove_prob,reject_probability,reject_score_margin,reject_tod_profile,reject_expected_r,reject_risk_budget,reject_capacity,reject_other,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_trades,metric_win_rate,metric_avg_R,metric_total_pnl,metric_fees_total,param_bigmove_policy.probability_threshold,param_prob_threshold_long,param_prob_threshold_short,param_score_margin,param_max_open_positions_global
478,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15884, 'probability': 1083, 'score_margin': 373, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 0, 'capacity': 120, 'other': 0}",15884,1083,373,507,0,0,120,0,-3.0312175212432457e-05,-0.00034715717827860093,0.000388705782587079,-52.34590811295783,-8.643974663724574e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,0.840239076641661,15.964542456191559,12.5,0.8,0.65,0.65,0.0,3
479,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 15178, 'probability': 981, 'score_margin': 341, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 796, 'capacity': 163, 'other': 0}",15178,981,341,507,0,796,163,0,-3.020617436710893e-05,-0.000345943370827162,0.00032852374389918433,-61.93142428411756,-9.570875384201649e-05,826,12.5,0.0,0.5,16,16,0.5625,3.3222220923588317,53.15555347774131,12.5,0.8,0.65,0.65,0.0,5
480,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 15210, 'probability': 1043, 'score_margin': 361, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 780, 'capacity': 76, 'other': 0}",15210,1043,361,502,0,780,76,0,-3.0292170953405417e-05,-0.00034692811116421307,0.000354791261147975,-57.349011487286866,-0.00012160530708042723,819,11.5,0.0,0.5,20,20,0.55,1.3623918812013343,27.247837624026687,11.5,0.8,0.65,0.65,0.01,2
481,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15884, 'probability': 1083, 'score_margin': 373, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 0, 'capacity': 120, 'other': 0}",15884,1083,373,507,0,0,120,0,-3.0312175212432457e-05,-0.00034715717827860093,0.000388705782587079,-52.34590811295783,-8.643974663724574e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,0.840239076641661,15.964542456191559,12.5,0.8,0.65,0.65,0.01,3
482,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 15178, 'probability': 981, 'score_margin': 341, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 796, 'capacity': 163, 'other': 0}",15178,981,341,507,0,796,163,0,-3.020617436710893e-05,-0.000345943370827162,0.00032852374389918433,-61.93142428411756,-9.570875384201649e-05,826,12.5,0.0,0.5,16,16,0.5625,3.3222220923588317,53.15555347774131,12.5,0.8,0.65,0.65,0.01,5
483,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 15210, 'probability': 1043, 'score_margin': 361, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 780, 'capacity': 76, 'other': 0}",15210,1043,361,502,0,780,76,0,-3.0292170953405417e-05,-0.00034692811116421307,0.000354791261147975,-57.349011487286866,-0.00012160530708042723,819,11.5,0.0,0.5,20,20,0.55,1.3623918812013343,27.247837624026687,11.5,0.8,0.65,0.65,0.02,2
484,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15884, 'probability': 1083, 'score_margin': 373, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 0, 'capacity': 120, 'other': 0}",15884,1083,373,507,0,0,120,0,-3.0312175212432457e-05,-0.00034715717827860093,0.000388705782587079,-52.34590811295783,-8.643974663724574e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,0.840239076641661,15.964542456191559,12.5,0.8,0.65,0.65,0.02,3
485,28,17966,1.2727272727272727,0.0,0.0,"{'bigmove_prob': 15178, 'probability': 981, 'score_margin': 341, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 796, 'capacity': 163, 'other': 0}",15178,981,341,507,0,796,163,0,-3.020617436710893e-05,-0.000345943370827162,0.00032852374389918433,-61.93142428411756,-9.570875384201649e-05,826,12.5,0.0,0.5,16,16,0.5625,3.3222220923588317,53.15555347774131,12.5,0.8,0.65,0.65,0.02,5
486,24,17972,1.0909090909090908,0.0,0.0,"{'bigmove_prob': 15210, 'probability': 1043, 'score_margin': 361, 'tod_profile': 502, 'expected_r': 0, 'risk_budget': 780, 'capacity': 76, 'other': 0}",15210,1043,361,502,0,780,76,0,-3.0292170953405417e-05,-0.00034692811116421307,0.000354791261147975,-57.349011487286866,-0.00012160530708042723,819,11.5,0.0,0.5,20,20,0.55,1.3623918812013343,27.247837624026687,11.5,0.8,0.65,0.7,0.0,2
487,27,17967,1.2272727272727273,0.0,0.0,"{'bigmove_prob': 15884, 'probability': 1083, 'score_margin': 373, 'tod_profile': 507, 'expected_r': 0, 'risk_budget': 0, 'capacity': 120, 'other': 0}",15884,1083,373,507,0,0,120,0,-3.0312175212432457e-05,-0.00034715717827860093,0.000388705782587079,-52.34590811295783,-8.643974663724574e-05,826,12.5,0.0,0.5,19,19,0.47368421052631576,0.840239076641661,15.964542456191559,12.5,0.8,0.65,0.7,0.0,3
