signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,gross_pnl,fee,spread,net_pnl,hour
2025-06-13 14:57:00,2025-06-13 14:58:00,2025-06-13 15:03:00,SWK,SHORT,1456,66.035,66.05,-21.840000000000828,10.192,48.073479999999996,-80.10548000000082,14
2025-06-13 13:30:00,2025-06-13 13:31:00,2025-06-13 13:36:00,WYNN,SHORT,690,85.2406,85.0999,97.08299999999682,4.83,29.408007,62.84499299999682,13
2025-06-13 13:31:00,2025-06-13 13:32:00,2025-06-13 13:37:00,WYNN,SHORT,623,85.54,84.92,386.26000000000283,4.361,26.645710000000005,355.25329000000283,13
2025-06-13 13:32:00,2025-06-13 13:33:00,2025-06-13 13:38:00,WYNN,SHORT,685,85.165,85.0193,99.80450000000346,4.795,29.1690125,65.84048750000346,13
2025-06-16 14:24:00,2025-06-16 14:25:00,2025-06-16 14:30:00,AMD,SHORT,37,125.33,125.6485,-11.784500000000008,0.7,2.3186050000000002,-14.803105000000008,14
2025-06-16 14:25:00,2025-06-16 14:26:00,2025-06-16 14:31:00,AMD,SHORT,36,125.2938,125.38,-3.103199999999674,0.7,2.2552884,-6.058488399999675,14
2025-06-16 15:26:00,2025-06-16 15:27:00,2025-06-16 15:32:00,MO,SHORT,2379,58.655,58.6758,-49.483200000003,16.653,69.7701225,-135.906322500003,15
2025-06-17 13:31:00,2025-06-17 13:32:00,2025-06-17 13:37:00,NXPI,SHORT,176,214.94,215.21,-47.5200000000018,1.232,18.914720000000003,-67.6667200000018,13
2025-06-20 14:00:00,2025-06-20 14:01:00,2025-06-20 14:06:00,SW,LONG,2018,42.85,42.89,80.71999999999828,14.126,43.23565,23.358349999998275,14
2025-06-20 14:01:00,2025-06-20 14:02:00,2025-06-20 14:07:00,SW,LONG,2044,42.83,42.925,194.17999999999768,14.308,43.772259999999996,136.0997399999977,14
2025-06-24 14:01:00,2025-06-24 14:02:00,2025-06-24 14:07:00,AMD,SHORT,71,136.54,137.3,-53.96000000000137,0.7,4.84717,-59.50717000000137,14
2025-06-24 14:51:00,2025-06-24 14:52:00,2025-06-24 14:57:00,TSCO,SHORT,1968,52.73,53.0,-531.3600000000062,13.776,51.88632,-597.0223200000061,14
2025-06-24 14:52:00,2025-06-24 14:53:00,2025-06-24 14:58:00,TSCO,SHORT,2233,52.75,52.91,-357.27999999999236,15.631,58.895375,-431.80637499999233,14
