action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_mode,execution_assumption,entry_price,stop_price,target_price,context
2026-04-10|NOW|2026-04-10T09:30:00-04:00|long|8,2026-04-10,NOW,2026-04-10T09:30:00-04:00,long,8,0.8734070062637329,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,87.345,86.91,131.02,"{'pressure_k': 0.0, 'spread': 0.010000000000005116, 'depth_imb_k': -0.8789846400052757, 'micro_off': -0.004977168949778843, 'spread_mean_10s': 0.07499999999999929, 'depth_imb_k_mean_10s': 0.02466626407469903, 'depth_imb_k_mean_60s': 0.15515212035760703, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-10|NOW|2026-04-10T09:31:00-04:00|long|8,2026-04-10,NOW,2026-04-10T09:31:00-04:00,long,8,0.823411226272583,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,87.89,87.45,131.84,"{'pressure_k': 0.0, 'spread': 0.1700000000000017, 'depth_imb_k': -0.29768749013209833, 'micro_off': 0.05100000000000193, 'spread_mean_10s': 0.15794871794871895, 'depth_imb_k_mean_10s': -0.05696663156635978, 'depth_imb_k_mean_60s': -0.05297632359548911, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-10|NET|2026-04-10T13:09:00-04:00|short|12,2026-04-10,NET,2026-04-10T13:09:00-04:00,short,12,0.7004493474960327,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,170.4107,171.26,85.21,"{'pressure_k': 0.0, 'spread': 0.5600000000000023, 'depth_imb_k': -0.27056850970911644, 'micro_off': -0.056000000000011596, 'spread_mean_10s': 0.6218421052638549, 'depth_imb_k_mean_10s': -0.19829140728102415, 'depth_imb_k_mean_60s': 0.19524549428425172, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 2.0}"
2026-04-10|NET|2026-04-10T13:13:00-04:00|short|12,2026-04-10,NET,2026-04-10T13:13:00-04:00,short,12,0.7288676500320435,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,170.71,171.56,85.36,"{'pressure_k': 0.0, 'spread': 0.28000000000000114, 'depth_imb_k': -0.05001714730229718, 'micro_off': 2.842170943040401e-14, 'spread_mean_10s': 0.2858333333333576, 'depth_imb_k_mean_10s': 0.1557354642409526, 'depth_imb_k_mean_60s': 0.11538645320040086, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 2.0}"
