action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_mode,execution_assumption,entry_price,stop_price,target_price,context
2026-04-09|ORCL|2026-04-09T09:30:00-04:00|long|12,2026-04-09,ORCL,2026-04-09T09:30:00-04:00,long,12,0.5243053436279297,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,141.5,140.79,212.25,"{'pressure_k': 0.0, 'spread': 0.0, 'depth_imb_k': 0.22483241321915992, 'micro_off': -48.72666666666666, 'spread_mean_10s': 0.0, 'depth_imb_k_mean_10s': 0.22529559789240777, 'depth_imb_k_mean_60s': 0.2247002826540173, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:31:00-04:00|long|3,2026-04-09,ORCL,2026-04-09T09:31:00-04:00,long,3,0.7744401693344116,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,141.7195,141.01,212.58,"{'pressure_k': 0.0, 'spread': 0.12999999999999545, 'depth_imb_k': -0.20774597033191322, 'micro_off': 0.0, 'spread_mean_10s': 0.14750000000000227, 'depth_imb_k_mean_10s': 0.09166277344800929, 'depth_imb_k_mean_60s': -0.014826995686015804, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:32:00-04:00|long|8,2026-04-09,ORCL,2026-04-09T09:32:00-04:00,long,8,0.7022128105163574,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,140.975,140.27,211.46,"{'pressure_k': 0.0, 'spread': 0.13999999999998636, 'depth_imb_k': 0.029891547629571594, 'micro_off': 0.04999999999998295, 'spread_mean_10s': 0.13615384615383894, 'depth_imb_k_mean_10s': 0.18035417032102227, 'depth_imb_k_mean_60s': -0.17379724193140605, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:33:00-04:00|long|8,2026-04-09,ORCL,2026-04-09T09:33:00-04:00,long,8,0.5852091312408447,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,140.77,140.07,211.16,"{'pressure_k': 0.0, 'spread': 0.09999999999999432, 'depth_imb_k': 0.1831848406494512, 'micro_off': -0.010000000000019327, 'spread_mean_10s': 0.07733333333333547, 'depth_imb_k_mean_10s': 0.1561044775260098, 'depth_imb_k_mean_60s': 0.19751745968517934, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:34:00-04:00|long|3,2026-04-09,ORCL,2026-04-09T09:34:00-04:00,long,3,0.8209541440010071,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,139.9266,139.23,209.89,"{'pressure_k': 0.0, 'spread': 0.09999999999999432, 'depth_imb_k': -0.8512270488821019, 'micro_off': 0.005555555555559977, 'spread_mean_10s': 0.12025641025640582, 'depth_imb_k_mean_10s': -0.02958834144913352, 'depth_imb_k_mean_60s': -0.07595223183313878, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:35:00-04:00|long|3,2026-04-09,ORCL,2026-04-09T09:35:00-04:00,long,3,0.8216201066970825,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,139.73,139.03,209.59,"{'pressure_k': 0.0, 'spread': 0.06999999999999318, 'depth_imb_k': -0.6086055213077781, 'micro_off': 0.007000000000005002, 'spread_mean_10s': 0.10000000000000071, 'depth_imb_k_mean_10s': -0.5422061310628074, 'depth_imb_k_mean_60s': -0.5517056631706383, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:36:00-04:00|long|5,2026-04-09,ORCL,2026-04-09T09:36:00-04:00,long,5,0.7445902824401855,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,140.32,139.62,210.48,"{'pressure_k': 0.0, 'spread': 0.0800000000000125, 'depth_imb_k': -0.3119803852729146, 'micro_off': -0.028571428571410706, 'spread_mean_10s': 0.06400000000000773, 'depth_imb_k_mean_10s': 0.048567820840456764, 'depth_imb_k_mean_60s': -0.03180597534534941, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:37:00-04:00|long|5,2026-04-09,ORCL,2026-04-09T09:37:00-04:00,long,5,0.6991517543792725,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,140.2,139.5,210.3,"{'pressure_k': 0.0, 'spread': 0.060000000000002274, 'depth_imb_k': -0.21670814327605387, 'micro_off': -0.006000000000000227, 'spread_mean_10s': 0.07775000000000531, 'depth_imb_k_mean_10s': 0.007627784089852341, 'depth_imb_k_mean_60s': -0.07341034944140983, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:38:00-04:00|long|3,2026-04-09,ORCL,2026-04-09T09:38:00-04:00,long,3,0.6663270592689514,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,140.3127,139.61,210.47,"{'pressure_k': 0.0, 'spread': 0.06999999999999318, 'depth_imb_k': -0.7861320300505991, 'micro_off': 0.0, 'spread_mean_10s': 0.0796969696969799, 'depth_imb_k_mean_10s': -0.60857633221717, 'depth_imb_k_mean_60s': -0.3079039263558394, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:39:00-04:00|long|8,2026-04-09,ORCL,2026-04-09T09:39:00-04:00,long,8,0.7452397346496582,True,shadow,entry_next_bar_open_time_exit_at_selected_hold,140.39,139.69,210.58,"{'pressure_k': 0.0, 'spread': 0.05000000000001137, 'depth_imb_k': -0.6762993126226665, 'micro_off': -0.02460937500001137, 'spread_mean_10s': 0.052499999999990624, 'depth_imb_k_mean_10s': -0.6486517902633274, 'depth_imb_k_mean_60s': -0.2466231585721913, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
