action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_mode,execution_assumption,entry_price,stop_price,target_price,context
2026-04-09|GLW|2026-04-09T09:30:00-04:00|long|8,2026-04-09,GLW,2026-04-09T09:30:00-04:00,long,8,0.8624750375747681,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,169.14,168.29,253.71,"{'pressure_k': 0.0, 'spread': 0.7300000000000182, 'depth_imb_k': 0.06642439182449475, 'micro_off': 0.0, 'spread_mean_10s': 0.6310000000000038, 'depth_imb_k_mean_10s': -0.043868999142408785, 'depth_imb_k_mean_60s': 0.25608872007161326, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|ORCL|2026-04-09T09:35:00-04:00|long|3,2026-04-09,ORCL,2026-04-09T09:35:00-04:00,long,3,0.8216201066970825,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,139.73,139.03,209.59,"{'pressure_k': 0.0, 'spread': 0.06999999999999318, 'depth_imb_k': -0.6086055213077781, 'micro_off': 0.007000000000005002, 'spread_mean_10s': 0.10000000000000071, 'depth_imb_k_mean_10s': -0.5422061310628074, 'depth_imb_k_mean_60s': -0.5517056631706383, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-04-09|CRM|2026-04-09T14:19:00-04:00|short|12,2026-04-09,CRM,2026-04-09T14:19:00-04:00,short,12,0.7888996005058289,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,169.39,170.24,84.69,"{'pressure_k': 0.0, 'spread': 0.1599999999999966, 'depth_imb_k': -0.45292280953954744, 'micro_off': 0.026666666666642413, 'spread_mean_10s': 0.06895522388022887, 'depth_imb_k_mean_10s': -0.10476710415088149, 'depth_imb_k_mean_60s': 0.06349120016616484, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 2.0}"
2026-04-09|CRM|2026-04-09T14:20:00-04:00|short|12,2026-04-09,CRM,2026-04-09T14:20:00-04:00,short,12,0.8042994141578674,False,ibkr_paper,entry_next_bar_open_time_exit_at_selected_hold,169.54,170.39,84.77,"{'pressure_k': 0.0, 'spread': 0.0800000000000125, 'depth_imb_k': -0.50189100813734, 'micro_off': 0.0, 'spread_mean_10s': 0.07078947368393672, 'depth_imb_k_mean_10s': -0.3356783280861763, 'depth_imb_k_mean_60s': -0.07186883023252842, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 2.0}"
