signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,hold_bars,gross_pnl,fee,spread,net_pnl,oos_month
2023-08-03 13:25:00,2023-08-03 13:26:00,2023-08-03 13:37:00,AAOI,SHORT,265,7.54,7.67,10,-34.449999999999974,1.855,0.99905,-37.30404999999997,2023-08
2023-08-03 13:26:00,2023-08-03 13:27:00,2023-08-03 13:38:00,AAOI,SHORT,262,7.6,7.5962,10,0.9956000000000067,1.834,0.9955999999999999,-1.8339999999999934,2023-08
2023-08-03 13:27:00,2023-08-03 13:28:00,2023-08-03 13:39:00,AAOI,SHORT,264,7.54,7.5917,10,-13.64880000000008,1.848,0.9952799999999999,-16.49208000000008,2023-08
2023-08-03 13:28:00,2023-08-03 13:30:00,2023-08-03 13:40:00,AAOI,SHORT,265,7.4999,7.56,10,-15.926499999999834,1.855,0.9937367500000001,-18.775236749999834,2023-08
2023-08-11 14:21:00,2023-08-11 14:22:00,2023-08-11 14:32:00,ACHR,LONG,316,6.2738,5.98,10,-92.84079999999975,2.212,0.9912603999999999,-96.04406039999975,2023-08
2023-08-11 14:22:00,2023-08-11 14:23:00,2023-08-11 14:33:00,ACHR,LONG,314,6.26,6.01,10,-78.5,2.198,0.9828199999999999,-81.68082,2023-08
2023-08-11 14:24:00,2023-08-11 14:25:00,2023-08-11 14:35:00,ACHR,LONG,318,6.125,5.9912,10,-42.54839999999997,2.226,0.973875,-45.74827499999997,2023-08
2023-08-11 14:27:00,2023-08-11 14:28:00,2023-08-11 14:38:00,ACHR,LONG,319,6.065,6.065,10,0.0,2.233,0.9673675,-3.2003675,2023-08
2023-08-18 13:09:00,2023-08-18 13:10:00,2023-08-18 13:23:00,ACHR,LONG,326,5.94,5.96,10,6.519999999999861,2.282,0.9682200000000001,3.269779999999861,2023-08
2023-08-17 13:30:00,2023-08-17 13:31:00,2023-08-17 13:41:00,ADBE,LONG,3,520.54,516.245,10,-12.884999999999877,0.7,0.78081,-14.365809999999877,2023-08
2023-08-24 13:43:00,2023-08-24 13:44:00,2023-08-24 13:54:00,AMC,LONG,131,14.69,14.0899,10,-78.61309999999992,0.917,0.9621949999999999,-80.49229499999991,2023-08
2023-08-01 09:30:00,2023-08-01 09:31:00,2023-08-01 09:41:00,AMSC,SHORT,92,20.7,21.39,10,-63.48000000000012,0.7,0.9521999999999999,-65.13220000000013,2023-08
2023-08-01 09:31:00,2023-08-01 09:32:00,2023-08-01 09:42:00,AMSC,SHORT,92,20.56,21.32,10,-69.92000000000014,0.7,0.94576,-71.56576000000015,2023-08
2023-08-01 09:32:00,2023-08-01 09:33:00,2023-08-01 09:43:00,AMSC,SHORT,90,20.91,21.66,10,-67.5,0.7,0.9409500000000001,-69.14095,2023-08
2023-08-01 09:33:00,2023-08-01 09:34:00,2023-08-01 09:44:00,AMSC,SHORT,88,21.18,21.6,10,-36.96000000000015,0.7,0.93192,-38.59192000000015,2023-08
2023-08-01 09:41:00,2023-08-01 09:42:00,2023-08-01 09:52:00,AMSC,SHORT,87,21.32,21.59,10,-23.489999999999963,0.7,0.92742,-25.117419999999964,2023-08
2023-08-01 09:42:00,2023-08-01 09:43:00,2023-08-01 09:53:00,AMSC,SHORT,86,21.66,21.6,10,5.15999999999989,0.7,0.93138,3.52861999999989,2023-08
2023-08-01 09:43:00,2023-08-01 09:44:00,2023-08-01 09:54:00,AMSC,SHORT,86,21.6,21.75,10,-12.899999999999878,0.7,0.9288000000000001,-14.528799999999878,2023-08
2023-08-01 09:44:00,2023-08-01 09:45:00,2023-08-01 09:55:00,AMSC,SHORT,87,21.29,21.34,10,-4.350000000000062,0.7,0.926115,-5.976115000000062,2023-08
2023-08-01 09:52:00,2023-08-01 09:53:00,2023-08-01 10:03:00,AMSC,SHORT,86,21.6,20.87,10,62.78000000000004,0.7,0.9288000000000001,61.15120000000003,2023-08
2023-08-01 09:53:00,2023-08-01 09:54:00,2023-08-01 10:04:00,AMSC,SHORT,86,21.75,21.1,10,55.89999999999988,0.7,0.93525,54.26474999999987,2023-08
2023-08-01 09:54:00,2023-08-01 09:55:00,2023-08-01 10:05:00,AMSC,SHORT,88,21.34,21.2,10,12.32000000000005,0.7,0.93896,10.681040000000051,2023-08
2023-08-01 09:55:00,2023-08-01 09:56:00,2023-08-01 10:06:00,AMSC,SHORT,86,21.93,21.28,10,55.89999999999988,0.7,0.94299,54.25700999999987,2023-08
2023-08-01 10:03:00,2023-08-01 10:04:00,2023-08-01 10:14:00,AMSC,SHORT,90,21.1,21.08,10,1.8000000000002814,0.7,0.9495000000000001,0.1505000000002813,2023-08
2023-08-01 10:04:00,2023-08-01 10:05:00,2023-08-01 10:15:00,AMSC,SHORT,89,21.2,21.18,10,1.779999999999962,0.7,0.9434,0.13659999999996209,2023-08
2023-08-01 10:05:00,2023-08-01 10:06:00,2023-08-01 10:16:00,AMSC,SHORT,89,21.28,21.2,10,7.120000000000164,0.7,0.94696,5.473040000000164,2023-08
2023-08-01 10:06:00,2023-08-01 10:07:00,2023-08-01 10:17:00,AMSC,SHORT,87,21.67,21.36,10,26.970000000000198,0.7,0.9426450000000001,25.3273550000002,2023-08
2023-08-01 10:14:00,2023-08-01 10:15:00,2023-08-01 10:25:00,AMSC,SHORT,90,21.18,20.79,10,35.10000000000005,0.7,0.9531000000000001,33.44690000000005,2023-08
2023-08-01 10:15:00,2023-08-01 10:16:00,2023-08-01 10:26:00,AMSC,SHORT,90,21.2,20.7,10,45.0,0.7,0.9540000000000001,43.346,2023-08
2023-08-01 10:17:00,2023-08-01 10:18:00,2023-08-01 10:28:00,AMSC,SHORT,89,21.49,20.64,10,75.6499999999998,0.7,0.956305,73.9936949999998,2023-08
2023-08-01 10:18:00,2023-08-01 10:19:00,2023-08-01 10:29:00,AMSC,SHORT,91,21.28,20.59,10,62.79000000000012,0.7,0.96824,61.121760000000116,2023-08
2023-08-01 10:28:00,2023-08-01 10:29:00,2023-08-01 10:39:00,AMSC,SHORT,94,20.59,20.81,10,-20.679999999999893,0.7,0.9677300000000001,-22.347729999999892,2023-08
