oos_month,n_trades,win_rate,total_pnl,auc_long,auc_short
2023-08,98,0.6326530612244898,2338.7832335499993,0.9397023961213817,0.9391359414579229
2023-09,9,0.4444444444444444,-15.266555000000281,0.9243780055981631,0.9385992042078839
2023-10,4,0.5,46.758120000000034,0.9565223881025442,0.9536338195825017
2023-11,2,0.5,12.42491499999983,0.9327050108714069,0.9343412865334957
2023-12,14,0.42857142857142855,-737.0756171999998,0.9117086903974411,0.9180889624773454
2024-02,3,0.6666666666666666,35.68891939999995,0.902897877914628,0.9068072414649084
2024-03,6,0.8333333333333334,227.20829750000038,0.9198375408262079,0.9216258844979526
2024-05,12,0.75,192.70066399999942,0.9475674182021576,0.9526388187173218
2024-06,1,1.0,4.969820000000082,0.9044641624674101,0.9261578927949283
2024-07,6,0.3333333333333333,-79.1244446999996,0.9693128008318279,0.9325682955484094
2024-08,31,0.41935483870967744,-147.85147650000027,0.9289439886739879,0.9145994905524701
2024-09,17,0.5294117647058824,-55.580140049999535,0.9222680782967746,0.9095116604257446
2024-10,17,0.29411764705882354,-173.9098548499989,0.9577557755775578,0.9373492480878036
2024-11,72,0.4583333333333333,-535.0916457500012,0.9437019487672885,0.9339067667050517
2024-12,30,0.4666666666666667,-408.8347557499997,0.9128957248509546,0.9048223743152428
2025-01,14,0.42857142857142855,-16.203959049999444,0.9139420751979689,0.9057450336139543
2025-02,34,0.5882352941176471,287.83965744999875,0.9090273521371443,0.916402082990134
2025-03,19,0.7368421052631579,128.1982075999996,0.8743160190951913,0.9121641236764174
2025-04,66,0.3787878787878788,-525.3246833499993,0.9020685525341742,0.9310719826967666
2025-05,17,0.4117647058823529,-159.98524274999974,0.894314623596,0.929359741562931
2025-06,16,0.4375,-18.97033689999939,0.950745611156874,0.9501312497630872
2025-07,22,0.36363636363636365,-136.06989789999955,0.9621058294562461,0.9566696584353314
2025-08,22,0.4090909090909091,-32.302529149999884,0.9323854743138242,0.9285059073221312
2025-09,4,0.25,-22.959014000000284,0.9019475098534031,0.9320114189021517
