feature,corr,abs_corr,pval
ret_20bar,0.028236942176633594,0.028236942176633594,2.124313400374796e-19
vol_10bar,0.017973559475723915,0.017973559475723915,1.0775612505547433e-08
bb_width,0.016295772624268092,0.016295772624268092,2.169371149523656e-07
vol_20bar,0.016295772624268092,0.016295772624268092,2.169371149523656e-07
macd_hist,-0.01610084587247353,0.01610084587247353,2.822184800791221e-07
vol_15bar,0.015611892992678778,0.015611892992678778,6.813169789671494e-07
ret_15bar,0.015422502125433113,0.015422502125433113,8.717259783650629e-07
stoch,-0.01462691758019983,0.01462691758019983,3.6837537547400005e-06
ret_percentile,-0.01434981420999975,0.01434981420999975,4.729487640654894e-06
bb_position,-0.014237978231573587,0.014237978231573587,6.97989191413842e-06
bos_up,-0.011287041946911158,0.011287041946911158,0.00031280707835659255
macd,-0.010300497970427936,0.010300497970427936,0.001019994129249862
mean_rev_potential,-0.009026903505498613,0.009026903505498613,0.004381440062960192
smooth_acc,-0.008361929879446365,0.008361929879446365,0.007808549630616582
hour_cos,-0.007484132344468125,0.007484132344468125,0.016849526147929
ret_2bar,-0.006715058760198409,0.006715058760198409,0.03226501028784069
rsi_14,0.006368669143556207,0.006368669143556207,0.04197618560818695
ret_1bar,-0.006352176232134683,0.006352176232134683,0.04443492791969631
hour_sin,-0.00633821519381741,0.00633821519381741,0.04296697447702986
vol_5bar,0.006260000667454628,0.006260000667454628,0.04643764150621181
displacement,-0.006118918733443672,0.006118918733443672,0.05101382978026177
is_power_hour,-0.005534398406635941,0.005534398406635941,0.077171692545534
vwap_ret,0.004190074306003238,0.004190074306003238,0.1814722766611923
acceleration,-0.003944921561743922,0.003944921561743922,0.21664009043228344
vol_3bar,0.003659497081537894,0.003659497081537894,0.24460004874910038
ret_10bar,0.0035438425696887863,0.0035438425696887863,0.2584140067250971
vol_2bar,0.003533668411208632,0.003533668411208632,0.26841916668431776
bos_down,0.0027162169567828487,0.0027162169567828487,0.38573203643364773
ret_3bar,-0.0026251263718689495,0.0026251263718689495,0.40250057678046425
is_morning,-0.0025498257101955577,0.0025498257101955577,0.4155025773144715
mom_vol,0.002457720354286274,0.002457720354286274,0.4331709548969277
ret_5bar,0.0020796231642255477,0.0020796231642255477,0.5072024645106489
rsi_vol,-0.0017766977386216229,0.0017766977386216229,0.5704687589235756
effort_result,-0.0014472191415755122,0.0014472191415755122,0.6444229777378176
rsi_7,-0.0012908371592006912,0.0012908371592006912,0.6801862672543296
vol_climax,-0.0010800084865771992,0.0010800084865771992,0.7308091777316048
jerk,-0.0010201701920749633,0.0010201701920749633,0.7518037338483367
macd_signal,0.0008537052101052607,0.0008537052101052607,0.7854300245861938
trend_strength,-0.00044541128487003066,0.00044541128487003066,0.886894243824597
vol_regime,0.00018897204884261345,0.00018897204884261345,0.952064795305472
