signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,stop_loss,take_profit,exit_reason,gross_pnl,fee,spread,net_pnl,r_multiple,hour_et
2023-08-01 09:48:00,2023-08-01 09:48:00,2023-08-01 09:48:00,NCLH,LONG,72,100.0,99.35231685218741,98.61735356308195,102.76529287383612,time_exit,-46.63318664250619,0.7,3.6,-50.93318664250619,-0.5116314273456838,9
2023-08-02 10:04:00,2023-08-02 10:04:00,2023-08-02 10:04:00,AMSC,SHORT,48,100.0,96.40336749633967,102.0372472030981,95.92550559380378,time_exit,172.63836017569588,0.7,2.4,169.53836017569589,1.733736173477471,10
2023-08-02 11:32:00,2023-08-02 11:32:00,2023-08-02 11:32:00,AMSC,SHORT,50,100.0,101.0302405914793,101.99605571305312,96.00788857389375,time_exit,-51.512029573964924,0.7,2.5,-54.71202957396493,-0.548201427607235,11
2023-08-02 11:36:00,2023-08-02 11:36:00,2023-08-02 11:36:00,AMSC,SHORT,63,100.0,98.19479429051218,101.58788756298574,96.82422487402856,time_exit,113.7279596977328,0.7,3.15,109.87795969773279,1.0983741160471503,11
2023-08-02 11:55:00,2023-08-02 11:55:00,2023-08-02 11:55:00,AMSC,SHORT,91,100.0,104.54334521193232,101.11318335829903,97.77363328340198,time_exit,-413.44441428584105,0.7,4.55,-418.69441428584105,-4.133225209776049,11
2023-08-02 11:58:00,2023-08-02 11:58:00,2023-08-02 11:58:00,AMSC,SHORT,73,100.0,102.04949400459222,101.33006072712449,97.33987854575102,time_exit,-149.613062335232,0.7,3.65,-153.963062335232,-1.585704323627246,11
2023-08-02 11:59:00,2023-08-02 11:59:00,2023-08-02 11:59:00,AMSC,SHORT,68,100.0,103.16780821917808,101.39324894002162,97.21350211995676,time_exit,-215.41095890410975,0.7,3.4,-219.51095890410974,-2.3169601957673382,11
2023-08-02 09:48:00,2023-08-02 09:48:00,2023-08-02 09:48:00,DRVN,SHORT,40,100.0,97.97948399129623,102.289393200656,95.42121359868801,time_exit,80.82064034815062,0.7,2.0,78.12064034815062,0.853071463715432,9
2023-08-02 09:49:00,2023-08-02 09:49:00,2023-08-02 09:49:00,DRVN,SHORT,41,100.0,97.46001881467544,102.30032417070029,95.39935165859941,time_exit,104.13922859830711,0.7,2.05,101.38922859830711,1.0750258794350824,9
2023-08-02 09:50:00,2023-08-02 09:50:00,2023-08-02 09:50:00,DRVN,SHORT,41,100.0,97.51650424394845,102.281077812122,95.43784437575596,time_exit,101.82332599811369,0.7,2.05,99.07332599811369,1.0593336941329154,9
2023-08-02 09:53:00,2023-08-02 09:53:00,2023-08-02 09:53:00,DRVN,SHORT,51,100.0,97.77918781725889,101.86961236107346,96.26077527785309,time_exit,113.26142131979678,0.7,2.5500000000000003,110.01142131979678,1.1537614627807244,9
2023-08-02 09:54:00,2023-08-02 09:54:00,2023-08-02 09:54:00,DRVN,SHORT,57,100.0,97.8764478764479,101.69878535170413,96.60242929659174,time_exit,121.04247104246981,0.7,2.85,117.49247104246982,1.213379559536443,9
2023-08-02 09:55:00,2023-08-02 09:55:00,2023-08-02 09:55:00,DRVN,SHORT,55,100.0,98.25918762088975,101.77792333149476,96.44415333701049,time_exit,95.74468085106389,0.7,2.75,92.29468085106389,0.9438455959583817,9
2023-08-02 09:56:00,2023-08-02 09:56:00,2023-08-02 09:56:00,DRVN,SHORT,56,100.0,98.38917525773195,101.76720088422215,96.46559823155569,time_exit,90.20618556701083,0.7,2.8000000000000003,86.70618556701083,0.8761452962658244,9
2023-08-02 09:57:00,2023-08-02 09:57:00,2023-08-02 09:57:00,DRVN,SHORT,55,100.0,99.1906765943671,101.80403166421208,96.39193667157585,time_exit,44.51278730980924,0.7,2.75,41.06278730980924,0.413848685539399,9
2023-08-02 09:59:00,2023-08-02 09:59:00,2023-08-02 09:59:00,DRVN,SHORT,62,100.0,98.81656804733727,101.62229999072959,96.75540001854084,time_exit,73.37278106508924,0.7,3.1,69.57278106508925,0.6916979821823425,9
2023-08-02 10:00:00,2023-08-02 10:00:00,2023-08-02 10:00:00,DRVN,SHORT,59,100.0,99.10958005249344,101.69907016060861,96.60185967878276,time_exit,52.53477690288693,0.7,2.95,48.88477690288693,0.48765234063677554,10
2023-08-02 10:01:00,2023-08-02 10:01:00,2023-08-02 10:01:00,DRVN,SHORT,59,100.0,96.98755730189916,101.70556805399325,96.58886389201349,time_exit,177.73411918794963,0.7,2.95,174.08411918794965,1.7299680797919388,10
2023-08-02 10:02:00,2023-08-02 10:02:00,2023-08-02 10:02:00,DRVN,SHORT,60,100.0,99.6083550913838,101.71625035082796,96.56749929834409,time_exit,23.498694516972023,0.7,3.0,19.798694516972024,0.19226696256192766,10
2023-08-02 10:03:00,2023-08-02 10:03:00,2023-08-02 10:03:00,DRVN,SHORT,64,100.0,100.59880239520957,101.60567418873553,96.7886516225289,time_exit,-38.323353293412765,0.7,3.2,-42.22335329341277,-0.41088030176851337,10
2023-08-02 10:05:00,2023-08-02 10:05:00,2023-08-02 10:05:00,DRVN,SHORT,59,100.0,102.09476771515395,101.75199600798403,96.49600798403193,time_exit,-123.59129519408302,0.7,2.95,-127.24129519408302,-1.2309572122913561,10
2023-08-02 10:07:00,2023-08-02 10:07:00,2023-08-02 10:07:00,DRVN,SHORT,54,100.0,100.80275229357798,101.8973184141989,96.2053631716022,time_exit,-43.348623853210995,0.7,2.7,-46.748623853211,-0.4562835895452332,10
2023-08-02 10:08:00,2023-08-02 10:08:00,2023-08-02 10:08:00,DRVN,SHORT,50,100.0,101.09126984126983,102.02384853023779,95.95230293952443,time_exit,-54.563492063491736,0.7,2.5,-57.76349206349174,-0.5708282136776811,10
2023-08-02 10:09:00,2023-08-02 10:09:00,2023-08-02 10:09:00,DRVN,SHORT,50,100.0,99.73907371167644,101.99312641723357,96.01374716553288,time_exit,13.046314416178006,0.7,2.5,9.846314416178007,0.0988027084588502,10
2023-08-02 10:10:00,2023-08-02 10:10:00,2023-08-02 10:10:00,DRVN,SHORT,48,100.0,98.24456736724014,102.08149287112104,95.83701425775789,time_exit,84.26076637247343,0.7,2.4,81.16076637247342,0.8123252896445763,10
2023-08-02 11:47:00,2023-08-02 11:47:00,2023-08-02 11:47:00,DRVN,SHORT,73,100.0,100.51107325383303,101.39955812372537,97.20088375254929,time_exit,-37.30834752981137,0.7,3.65,-41.65834752981137,-0.4077446197160634,11
2023-08-02 11:57:00,2023-08-02 11:57:00,2023-08-02 11:57:00,DRVN,SHORT,66,100.0,101.53027278775781,101.52988047808765,96.94023904382469,time_exit,-100.99800399201541,0.7,3.3000000000000003,-104.99800399201541,-1.039871330571174,11
2023-08-02 11:58:00,2023-08-02 11:58:00,2023-08-02 11:58:00,DRVN,SHORT,65,100.0,101.93204530313125,101.54362703165098,96.91274593669803,time_exit,-125.58294470353104,0.7,3.25,-129.53294470353103,-1.290994840747938,11
2023-08-02 11:59:00,2023-08-02 11:59:00,2023-08-02 11:59:00,DRVN,SHORT,60,100.0,101.1904761904762,101.64204815837061,96.71590368325877,time_exit,-71.42857142857224,0.7,3.0,-75.12857142857224,-0.7625494116965238,11
2023-08-03 09:58:00,2023-08-03 09:58:00,2023-08-03 09:58:00,DRVN,SHORT,101,100.0,101.31226549566306,100.97450612767514,98.05098774464972,time_exit,-132.5388150619686,0.707,5.05,-138.2958150619686,-1.4050865938931367,9
2023-08-03 09:59:00,2023-08-03 09:59:00,2023-08-03 09:59:00,DRVN,SHORT,108,100.0,101.51580936813606,100.90188005248697,98.19623989502605,time_exit,-163.7074117586946,0.756,5.4,-169.8634117586946,-1.7439230015111002,9
2023-08-03 10:00:00,2023-08-03 10:00:00,2023-08-03 10:00:00,DRVN,SHORT,108,100.0,101.05259802358941,100.8840777078058,98.23184458438838,time_exit,-113.68058654765639,0.756,5.4,-119.8365865476564,-1.2550910556757773,10
2023-08-03 10:04:00,2023-08-03 10:04:00,2023-08-03 10:04:00,DRVN,SHORT,100,100.0,99.81759859110636,100.94346552501125,98.11306894997746,time_exit,18.240140889363943,0.7000000000000001,5.0,12.540140889363943,0.13291572990135717,10
2023-08-03 10:05:00,2023-08-03 10:05:00,2023-08-03 10:05:00,DRVN,SHORT,99,100.0,99.77855029305809,100.94992497281949,98.10015005436101,time_exit,21.92352098724919,0.7,4.95,16.273520987249192,0.1730441925148121,10
2023-08-03 10:06:00,2023-08-03 10:06:00,2023-08-03 10:06:00,DRVN,SHORT,112,100.0,100.12602833420941,100.84064363721905,98.3187127255619,time_exit,-14.11517343145374,0.784,5.6000000000000005,-20.49917343145374,-0.21772404632108774,10
2023-08-04 10:17:00,2023-08-04 10:17:00,2023-08-04 10:17:00,AGL,SHORT,99,100.0,99.95042141794744,100.95523101433884,98.08953797132234,time_exit,4.908279623203555,0.7,4.95,-0.7417203767964455,-0.007843259803840957,10
2023-08-04 10:20:00,2023-08-04 10:20:00,2023-08-04 10:20:00,AGL,SHORT,108,100.0,100.14925373134326,100.87450445986126,98.2509910802775,time_exit,-16.11940298507261,0.756,5.4,-22.27540298507261,-0.23585212061238645,10
2023-08-07 09:50:00,2023-08-07 09:50:00,2023-08-07 09:50:00,AMSC,SHORT,36,100.0,100.22002200220021,102.57378630955625,94.85242738088753,time_exit,-7.920792079207558,0.7,1.8,-10.420792079207558,-0.11246716387055579,9
2023-08-07 09:51:00,2023-08-07 09:51:00,2023-08-07 09:51:00,AMSC,SHORT,36,100.0,98.91067538126363,102.57567185289957,94.84865629420084,time_exit,39.21568627450932,0.7,1.8,36.71568627450932,0.39596665745436005,9
2023-08-07 11:58:00,2023-08-07 11:58:00,2023-08-07 11:58:00,AMSC,SHORT,125,100.0,101.07181136120043,100.75534813559166,98.48930372881667,time_exit,-133.97642015005397,0.875,6.25,-141.10142015005397,-1.4944252961135984,11
2023-08-08 10:05:00,2023-08-08 10:05:00,2023-08-08 10:05:00,PLTR,SHORT,94,100.0,99.00370630787381,100.98478159712694,98.03043680574612,time_exit,93.65160705986159,0.7,4.7,88.25160705986158,0.9533554306402535,10
2023-08-08 10:06:00,2023-08-08 10:06:00,2023-08-08 10:06:00,PLTR,SHORT,95,100.0,98.85725191750265,100.98995193887401,98.02009612225197,time_exit,108.56106783724812,0.7,4.75,103.11106783724811,1.096396318673051,10
2023-08-08 10:00:00,2023-08-08 10:00:00,2023-08-08 10:00:00,IFF,SHORT,126,100.0,100.97233737845784,100.75219850944845,98.49560298110309,time_exit,-122.51450968568747,0.882,6.3,-129.6965096856875,-1.3684384713984523,10
2023-08-08 10:06:00,2023-08-08 10:06:00,2023-08-08 10:06:00,IFF,SHORT,114,100.0,99.2210502776639,100.82220705541098,98.35558588917802,time_exit,88.80026834631471,0.798,5.7,82.3022683463147,0.8780631564578518,10
2023-08-08 10:09:00,2023-08-08 10:09:00,2023-08-08 10:09:00,IFF,SHORT,118,100.0,98.08066199493068,100.80047435517344,98.39905128965313,time_exit,226.48188459817985,0.8260000000000001,5.9,219.75588459817985,2.3265429967032696,10
2023-08-09 11:51:00,2023-08-09 11:51:00,2023-08-09 11:51:00,SMCI,SHORT,120,100.0,100.26287717159403,100.80212413900098,98.39575172199804,time_exit,-31.545260591283295,0.84,6.0,-38.3852605912833,-0.3987876140872955,11
2023-08-10 09:58:00,2023-08-10 09:58:00,2023-08-10 09:58:00,FLNC,SHORT,49,100.0,97.16981132075472,101.94781573106695,96.10436853786608,time_exit,138.67924528301882,0.7,2.45,135.52924528301884,1.4200023754015403,9
2023-08-10 10:05:00,2023-08-10 10:05:00,2023-08-10 10:05:00,FLNC,SHORT,58,100.0,100.7564458548195,101.6658165438691,96.66836691226179,time_exit,-43.8738595795312,0.7,2.9,-47.4738595795312,-0.4913595217607963,10
