oos_month,morning_auc_long,morning_auc_short,afternoon_auc_long,afternoon_auc_short,trades,win_rate,avg_pnl,total_pnl,avg_r_multiple,final_equity
2023-08,0.5911641675783512,0.6377142511053236,0.5822115184356315,0.6411973905723904,65,0.47692307692307695,-6.635039066667787,-431.27753933340614,-0.060581060996791544,9568.722460666593
2023-09,0.635553598355348,0.623808158473357,0.6184596623812675,0.5950273132797405,6,0.8333333333333334,51.21105523948727,307.2663314369236,0.5083614861873968,10307.266331436922
2023-10,0.6075243200317649,0.6242387201921428,0.6009257544899093,0.5708511384060079,10,0.6,-14.455581483672685,-144.55581483672685,-0.14191948572911192,9855.444185163275
2023-11,0.5994733818460359,0.6065089829035063,0.5755964143710864,0.6321879678143714,0,0.0,0.0,0.0,0.0,10000.0
2023-12,0.5884452969934327,0.6111286463738038,0.6923092001724998,0.5906594521866717,5,0.2,-180.09499254840125,-900.4749627420063,-1.8723921605962908,9099.525037257996
2024-01,0.6247329488770469,0.6937720892377333,0.5841735903847705,0.6303545708596578,1,0.0,-162.2216815365546,-162.2216815365546,-1.6301563829130727,9837.778318463445
2024-02,0.6289628550319089,0.6703612174168034,0.6568292682926828,0.7298802793481876,1,0.0,-140.24468035572923,-140.24468035572923,-1.4057196728494963,9859.755319644271
2024-03,0.5754379132837947,0.6049028012557354,0.5755854632259126,0.5448570853462158,0,0.0,0.0,0.0,0.0,10000.0
2024-04,0.5999264087468461,0.5823312236286919,0.6341269841269841,0.406949531949532,0,0.0,0.0,0.0,0.0,10000.0
2024-05,0.5749378715908018,0.5901109855785206,0.6387111345328615,0.6523391381345928,0,0.0,0.0,0.0,0.0,10000.0
2024-06,0.6034486982082866,0.5595656565656567,0.676418439716312,0.532798833819242,0,0.0,0.0,0.0,0.0,10000.0
2024-07,0.5944700460829494,0.6288042765315492,0.0,0.6581429990069513,7,0.42857142857142855,22.506192260968273,157.5433458267779,0.23090718504049576,10157.543345826778
2024-08,0.5664450517016772,0.5994845360824742,0.0,0.0,0,0.0,0.0,0.0,0.0,10000.0
2024-09,0.5664046910918373,0.6135742130197037,0.7921628357795625,0.49354491662183975,0,0.0,0.0,0.0,0.0,10000.0
2024-10,0.5939196220153556,0.5315167548500882,0.0,0.0,0,0.0,0.0,0.0,0.0,10000.0
2024-11,0.5303600184034967,0.5718481753224957,0.0,0.0,7,0.14285714285714285,-29.491869344483312,-206.44308541138318,-0.29877478445936206,9793.556914588613
2024-12,0.588752469805755,0.5686484952657147,0.0,0.0,3,0.3333333333333333,-34.528444887739965,-103.5853346632199,-0.34645620388839454,9896.414665336779
2025-01,0.5747402807276758,0.670374532874533,0.5320161451066374,0.6078282828282828,7,0.2857142857142857,-17.56535418225539,-122.95747927578773,-0.1766674678689764,9877.042520724211
2025-02,0.6246696125761352,0.6552668942162144,0.5131086142322097,0.570754716981132,3,0.6666666666666666,5.601741335186223,16.80522400555867,0.07842147080533524,10016.805224005559
2025-03,0.6118100288100633,0.6143124145060879,0.574515408371115,0.5363247863247863,5,0.8,25.011713565620063,125.05856782810032,0.2529022102347282,10125.0585678281
2025-04,0.5502046639312663,0.5657213372846128,0.5267684108527132,0.5061612364243943,1,1.0,29.86489462622594,29.86489462622594,0.2999167171041578,10029.864894626226
2025-05,0.5409682964895183,0.5899138998392013,0.5205397795804874,0.543427184558724,0,0.0,0.0,0.0,0.0,10000.0
2025-06,0.5807682909236508,0.6291258141084495,0.7033110119047619,0.8497566909975669,21,0.47619047619047616,11.600264672402433,243.6055581204511,0.116297261399992,10243.60555812045
2025-07,0.6451646848363676,0.46724526045513703,0.0,0.0,33,0.45454545454545453,-6.2506117892842115,-206.270189046379,-0.06185679977707601,9793.72981095362
2025-08,0.6031344698730224,0.6380327619240969,0.0,0.592048401037165,0,0.0,0.0,0.0,0.0,10000.0
2025-09,0.5908795051102743,0.532846958100515,0.0,0.0,0,0.0,0.0,0.0,0.0,10000.0
