signal_timestamp,symbol,side,shares,entry_price,exit_price,gross_pnl,fee,spread,net_pnl,r_multiple,hour_et,regime,prob_long,prob_short
2023-08-01 09:48:00,COIN,LONG,105,100.0,101.2691075343776,133.2562911096491,0.735,5.25,127.2712911096491,1.2756839665887054,9,1.0,0.3293209969997406,0.0611915960907936
2023-08-01 09:51:00,ANET,SHORT,80,100.0,99.6315311384018,29.47750892785507,0.7,4.0,24.77750892785507,0.2448136517760176,9,1.0,0.1245297938585281,0.3746635019779205
2023-08-01 09:52:00,ANET,SHORT,83,100.0,99.37587071607692,51.80273056561583,0.7,4.15,46.95273056561583,0.463453048993485,9,1.0,0.1792708784341812,0.4211465716361999
2023-08-01 09:55:00,ANET,SHORT,105,100.0,99.45631067961166,57.08737864077556,0.735,5.25,51.10237864077556,0.5012446643375789,9,1.0,0.4849216938018799,0.3075692355632782
2023-08-01 09:56:00,ANET,LONG,116,100.0,99.58414194621568,-48.23953423898104,0.812,5.8,-54.85153423898103,-0.5386220397006859,9,1.0,0.5972465872764587,0.2055432945489883
2023-08-01 09:57:00,ANET,LONG,116,100.0,99.84788946634552,-17.644821903917943,0.812,5.8,-24.256821903917945,-0.2383038927317496,9,1.0,0.670001745223999,0.0975752398371696
2023-08-01 09:58:00,ANET,LONG,117,100.0,99.4325300480903,-66.39398437343495,0.8190000000000001,5.8500000000000005,-73.06298437343494,-0.722946735646144,9,1.0,0.5514704585075378,0.1824949979782104
2023-08-01 09:59:00,ANET,LONG,121,100.0,99.68230966447442,-38.44053059859556,0.847,6.05,-45.337530598595556,-0.4523127620877974,9,1.0,0.5515031814575195,0.1580951809883117
2023-08-01 10:00:00,ANET,LONG,127,100.0,100.11723329425556,14.888628370457369,0.889,6.3500000000000005,7.649628370457369,0.0762523803182144,10,1.0,0.3491835296154022,0.144207164645195
2023-08-01 10:01:00,ANET,LONG,127,100.0,99.79928635147188,-25.49063336306972,0.889,6.3500000000000005,-32.729633363069716,-0.3267016740074659,10,1.0,0.3177844583988189,0.2132776826620102
2023-08-01 10:02:00,ANET,LONG,130,100.0,99.74444444444444,-33.2222222222228,0.91,6.5,-40.632222222222794,-0.4071577382289218,10,1.0,0.3420937359333038,0.1768334507942199
2023-08-01 09:45:00,NCLH,LONG,74,100.0,103.0800213545328,227.92158023542743,0.7,3.7,223.52158023542745,2.243183049405439,9,1.0,0.3147109150886535,0.0164924599230289
2023-08-01 09:49:00,NCLH,LONG,80,100.0,101.39107611548556,111.28608923884484,0.7,4.0,106.58608923884483,1.051220544142304,9,1.0,0.4852162599563598,0.0086490008980035
2023-08-01 09:53:00,NCLH,LONG,89,100.0,99.86968986187124,-11.597602293458664,0.7,4.45,-16.747602293458662,-0.1629655810955952,9,1.0,0.4591661691665649,0.0196408368647098
2023-08-01 09:54:00,NCLH,LONG,91,100.0,100.28690880585316,26.10870133263745,0.7,4.55,20.85870133263745,0.204248701468645,9,1.0,0.3609271347522735,0.0190901886671781
2023-08-01 09:56:00,NCLH,LONG,90,100.0,100.41473684210528,37.326315789474336,0.7,4.5,32.12631578947433,0.3142340925149253,9,1.0,0.351168692111969,0.0583392940461635
2023-08-01 09:57:00,NCLH,LONG,94,100.0,100.84321475625823,79.26218708827403,0.7,4.7,73.86218708827403,0.7152544190353463,9,1.0,0.4887802004814148,0.0388230234384536
2023-08-01 09:59:00,NCLH,LONG,92,100.0,101.00593841797163,92.5463344533904,0.7,4.6000000000000005,87.2463344533904,0.8429135635973344,9,1.0,0.5718596577644348,0.0228215232491493
2023-08-01 10:02:00,NCLH,LONG,87,100.0,100.66015315553209,57.43332453129025,0.7,4.3500000000000005,52.38332453129025,0.5012910235922398,10,1.0,0.6928422451019287,0.0162469539791345
2023-08-01 10:03:00,NCLH,LONG,91,100.0,100.84521922873746,76.91494981510913,0.7,4.55,71.66494981510913,0.6805854227693262,10,1.0,0.6993104219436646,0.0208189543336629
2023-08-01 10:04:00,NCLH,LONG,91,100.0,100.90042372881356,81.93855932203434,0.7,4.55,76.68855932203434,0.725009177313395,10,1.0,0.5950485467910767,0.0277137290686368
2023-08-01 10:05:00,NCLH,LONG,95,100.0,101.03283898305084,98.11970338982952,0.7,4.75,92.66970338982952,0.8675939237701965,10,1.0,0.3707281947135925,0.0354525819420814
2023-08-01 10:06:00,NCLH,LONG,97,100.0,100.75126312726506,72.87252334471104,0.7,4.8500000000000005,67.32252334471104,0.6256498744663118,10,1.0,0.3315664231777191,0.0320230312645435
2023-08-01 10:08:00,NCLH,LONG,97,100.0,101.5347975654935,148.87536385287004,0.7,4.8500000000000005,143.32536385287005,1.3218869173632617,10,1.0,0.4452597498893738,0.100867748260498
2023-08-01 10:09:00,NCLH,LONG,102,100.0,101.70077066170607,173.4786074940209,0.714,5.1000000000000005,167.6646074940209,1.5238332816487397,10,1.0,0.341141402721405,0.0920181572437286
2023-08-01 10:10:00,NCLH,LONG,102,100.0,101.4077025232404,143.5856573705196,0.714,5.1000000000000005,137.77165737051962,1.235480111440446,10,1.0,0.4914984107017517,0.0307935625314712
2023-08-01 10:11:00,NCLH,LONG,102,100.0,101.27931769722814,130.49040511727,0.714,5.1000000000000005,124.67640511727001,1.10709265867404,10,1.0,0.3048161566257477,0.0354189574718475
2023-08-01 10:12:00,NCLH,LONG,110,100.0,100.95770151636074,105.3471667996817,0.77,5.5,99.0771667996817,0.8702833681460418,10,1.0,0.5375247001647949,0.0265590790659189
2023-08-01 10:13:00,NCLH,LONG,118,100.0,100.83268113742967,98.25637421670152,0.8260000000000001,5.9,91.53037421670152,0.7958743008223852,10,1.0,0.3067885935306549,0.0425001345574855
2023-08-01 10:14:00,NCLH,LONG,131,100.0,101.00106723585913,131.13980789754538,0.917,6.55,123.67280789754538,1.0658017134810018,10,1.0,0.3571075797080993,0.048956211656332
2023-08-01 10:15:00,NCLH,LONG,139,100.0,100.98449197860964,136.84438502673993,0.973,6.95,128.92138502673993,1.1009694586281975,10,1.0,0.3177243173122406,0.1714603751897812
2023-08-01 10:16:00,NCLH,LONG,158,100.0,101.1506656125131,181.80516677706893,1.106,7.9,172.79916677706893,1.453450730541413,10,1.0,0.3911381363868713,0.1523722410202026
2023-08-01 09:53:00,AMSC,LONG,36,100.0,108.3289949385394,299.84381778741874,0.7,1.8,297.34381778741874,2.524738781891997,9,1.0,0.3196223080158233,0.0159543976187706
2023-08-01 09:54:00,AMSC,LONG,39,100.0,107.66738660907129,299.0280777537796,0.7,1.95,296.3780777537796,2.413766164166317,9,1.0,0.4348379373550415,0.0199978426098823
2023-08-01 09:55:00,AMSC,LONG,43,100.0,108.65800865800868,372.2943722943728,0.7,2.15,369.44437229437284,2.9859154677294826,9,1.0,0.9170739054679872,0.0098879933357238
2023-08-01 09:56:00,AMSC,LONG,47,100.0,108.23026548544776,386.8224778160447,0.7,2.35,383.77247781604467,2.994861607564092,9,1.0,0.8365998268127441,0.0520247966051101
2023-08-01 09:57:00,AMSC,LONG,44,100.0,101.25610607117936,55.26866713189122,0.7,2.2,52.368667131891215,0.395593102748149,9,1.0,0.3125757277011871,0.1191476881504058
2023-08-01 09:59:00,AMSC,LONG,43,100.0,98.88666360690394,-47.873464903130696,0.7,2.15,-50.7234649031307,-0.3768435797464833,9,1.0,0.3880108296871185,0.0906954258680343
2023-08-01 10:03:00,AMSC,SHORT,38,100.0,93.92547575371432,230.83192135885625,0.7,1.9,228.23192135885625,1.73548766595152,10,1.0,0.0026953993365168,0.3551644086837768
2023-08-01 10:12:00,AMSC,LONG,42,100.0,96.49831649831653,-147.07070707070648,0.7,2.1,-149.87070707070646,-1.099564419215446,10,1.0,0.3990361392498016,0.012897809036076
2023-08-01 10:13:00,AMSC,LONG,42,100.0,97.90257104194858,-88.0920162381598,0.7,2.1,-90.8920162381598,-0.6760306427272237,10,1.0,0.4021790027618408,0.0084974076598882
2023-08-01 10:14:00,AMSC,LONG,45,100.0,96.55482666702476,-155.03279998388535,0.7,2.25,-157.98279998388534,-1.202023418163105,10,1.0,0.3805088400840759,0.024649117141962
2023-08-01 10:15:00,AMSC,LONG,46,100.0,95.35787484362108,-213.5377571934305,0.7,2.3000000000000003,-216.5377571934305,-1.669959350178542,10,1.0,0.4969916045665741,0.0142794698476791
2023-08-01 10:19:00,AMSC,LONG,49,100.0,98.33832539142274,-81.42205582028562,0.7,2.45,-84.57205582028563,-0.6500054992740365,10,1.0,0.4383637607097626,0.0154781015589833
2023-08-01 10:20:00,AMSC,LONG,47,100.0,101.05115627189907,49.40434477925717,0.7,2.35,46.35434477925717,0.3597230438423352,10,1.0,0.3888624012470245,0.0449885837733745
2023-08-01 10:21:00,AMSC,LONG,48,100.0,102.60124752990484,124.85988143543295,0.7,2.4,121.75988143543294,0.9437611518659748,10,1.0,0.4149002730846405,0.0144269485026597
2023-08-01 10:22:00,AMSC,LONG,49,100.0,100.39088397790054,19.15331491712662,0.7,2.45,16.003314917126623,0.1244661600593362,10,1.0,0.4260065853595733,0.0404412932693958
2023-08-01 10:23:00,AMSC,LONG,46,100.0,104.27725531173806,196.75374433995077,0.7,2.3000000000000003,193.75374433995077,1.5074200161101323,10,1.0,0.4860905110836029,0.0098509909585118
