definition,coef_event,ci_low,ci_high,p_value,n_events,n_controls
def_a,-0.0004144297688742368,-0.0005322460065943538,-0.0003476963204976469,0.0,73,12826
def_b,-7.306934340347151e-05,-0.0003927461238072655,0.00014591195871788918,0.606,37,12862
