definition,coef_event,ci_low,ci_high,p_value,n_events,n_controls
def_a,0.00018003757582708493,7.88197431174835e-05,0.00029234422906066073,0.0,192,12707
def_b,0.0002859435563365823,0.000159198247150595,0.0003778281484152733,0.0,109,12790
