signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,stop_loss,take_profit,exit_price,exit_reason,stop_distance,atr,gross_pnl,fee,spread,net_pnl,r_multiple,oos_month
2023-08-03 11:14:00,2023-08-03 12:00:00,2023-08-03 12:02:00,AAOI,SHORT,1194,7.4001,7.483832142857143,7.232635714285715,7.483832142857143,stop_hit,0.0837321428571427,0.055821428571428466,-99.97617857142812,8.358,4.4178597,-112.75203827142812,-0.9999999999999973,2023-08
2023-08-03 13:25:00,2023-08-03 13:26:00,2023-08-03 13:43:00,AAOI,SHORT,610,7.54,7.701903571428572,7.2161928571428575,7.701903571428572,stop_hit,0.16190357142857142,0.10793571428571427,-98.76117857142874,4.2700000000000005,2.2997,-105.33087857142874,-1.0000000000000018,2023-08
2023-08-03 13:26:00,2023-08-03 13:27:00,2023-08-03 13:45:00,AAOI,SHORT,588,7.6,7.766189285714285,7.267621428571428,7.766189285714285,stop_hit,0.1661892857142857,0.11079285714285714,-97.71929999999973,4.116,2.2344,-104.06969999999973,-0.9999999999999973,2023-08
2023-08-03 13:27:00,2023-08-03 13:28:00,2023-08-03 13:45:00,AAOI,SHORT,564,7.54,7.71145,7.1971,7.71145,stop_hit,0.17145,0.1143,-96.69780000000006,3.948,2.1262800000000004,-102.77208000000005,-1.0000000000000007,2023-08
2023-08-03 13:28:00,2023-08-03 13:30:00,2023-08-03 13:37:00,AAOI,SHORT,541,7.4999,7.676707142857143,7.146285714285715,7.676707142857143,stop_hit,0.17680714285714283,0.11787142857142856,-95.65266428571445,3.787,2.02872295,-101.46838723571446,-1.0000000000000018,2023-08
2023-08-11 12:01:00,2023-08-11 12:02:00,2023-08-11 12:03:00,ACHR,SHORT,581,7.46,7.622857142857143,7.134285714285714,7.134285714285714,target_hit,0.162857142857143,0.10857142857142867,189.23999999999995,4.067,2.1671300000000002,183.00586999999996,1.9999999999999976,2023-08
2023-08-11 12:02:00,2023-08-11 12:03:00,2023-08-11 12:12:00,ACHR,SHORT,443,7.0,7.2175,6.5649999999999995,7.2175,stop_hit,0.2175000000000001,0.14500000000000007,-96.3525000000001,3.101,1.5505,-101.0040000000001,-1.0000000000000007,2023-08
2023-08-11 12:27:00,2023-08-11 12:28:00,2023-08-11 12:31:00,ACHR,SHORT,506,7.05,7.238582142857142,6.672835714285714,7.238582142857142,stop_hit,0.1885821428571428,0.12572142857142854,-95.42256428571403,3.5420000000000003,1.78365,-100.74821428571403,-0.9999999999999977,2023-08
2023-08-11 13:27:00,2023-08-11 13:28:00,2023-08-11 13:30:00,ACHR,SHORT,1161,6.9,6.981428571428571,6.7371428571428575,6.7371428571428575,target_hit,0.08142857142857131,0.05428571428571421,189.0771428571428,8.127,4.005450000000001,176.9446928571428,2.000000000000002,2023-08
2023-08-11 13:36:00,2023-08-11 13:37:00,2023-08-11 13:41:00,ACHR,LONG,416,6.3323,6.1013,6.7943,6.1013,stop_hit,0.2310000000000001,0.15400000000000005,-96.09599999999995,2.912,1.3171184,-100.32511839999995,-0.999999999999999,2023-08
2023-08-11 13:40:00,2023-08-11 13:41:00,2023-08-11 13:56:00,ACHR,LONG,346,6.11,5.835189285714286,6.659621428571429,5.835189285714286,stop_hit,0.27481071428571435,0.1832071428571429,-95.08450714285725,2.422,1.05703,-98.56353714285724,-1.0000000000000009,2023-08
2023-08-11 13:45:00,2023-08-11 13:46:00,2023-08-11 13:52:00,ACHR,LONG,397,6.1988,5.961489285714286,6.673421428571428,5.961489285714286,stop_hit,0.2373107142857142,0.1582071428571428,-94.21235357142848,2.779,1.2304618,-98.22181537142848,-0.9999999999999993,2023-08
