action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_assumption,context
2026-02-18|F|2026-02-18T09:40:00-05:00|long|12,2026-02-18,F,2026-02-18T09:40:00-05:00,long,12,0.43503424525260925,True,next_bar_open_if_replayed,"{'pressure_k': -4600.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.10900473933649289, 'micro_off': -0.0013636363636368998, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.11110704237096343, 'depth_imb_k_mean_60s': -0.0717695413955808, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:41:00-05:00|long|12,2026-02-18,F,2026-02-18T09:41:00-05:00,long,12,0.4568576514720917,True,next_bar_open_if_replayed,"{'pressure_k': -3600.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.0625, 'micro_off': -0.0020967741935482564, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.02314844626091191, 'depth_imb_k_mean_60s': -0.030299625756179144, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:42:00-05:00|long|12,2026-02-18,F,2026-02-18T09:42:00-05:00,long,12,0.4606258273124695,True,next_bar_open_if_replayed,"{'pressure_k': 4100.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.06581059390048154, 'micro_off': 0.003200000000001424, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': 0.06258453790026124, 'depth_imb_k_mean_60s': 0.013847815294783163, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:43:00-05:00|long|12,2026-02-18,F,2026-02-18T09:43:00-05:00,long,12,0.4964296817779541,True,next_bar_open_if_replayed,"{'pressure_k': -200.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.0033444816053511705, 'micro_off': -0.0001515151515150137, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.011856432973547725, 'depth_imb_k_mean_60s': 0.06934938983374817, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:44:00-05:00|long|12,2026-02-18,F,2026-02-18T09:44:00-05:00,long,12,0.480479896068573,True,next_bar_open_if_replayed,"{'pressure_k': -13600.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.1574074074074074, 'micro_off': -0.0013880597014921392, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.15096364625024988, 'depth_imb_k_mean_60s': -0.02689354680171284, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:45:00-05:00|short|12,2026-02-18,F,2026-02-18T09:45:00-05:00,short,12,0.43398791551589966,True,next_bar_open_if_replayed,"{'pressure_k': -2500.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.04118616144975288, 'micro_off': 0.00046666666666794754, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.045601464438175296, 'depth_imb_k_mean_60s': -0.07369053744447068, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:46:00-05:00|long|5,2026-02-18,F,2026-02-18T09:46:00-05:00,long,5,0.4745909571647644,True,next_bar_open_if_replayed,"{'pressure_k': 7000.0, 'spread': 0.010000000000001563, 'depth_imb_k': 0.10174418604651163, 'micro_off': 0.0021942446043166086, 'spread_mean_10s': 0.010000000000001041, 'depth_imb_k_mean_10s': -0.010345935362900438, 'depth_imb_k_mean_60s': -0.045874184318483155, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:47:00-05:00|long|12,2026-02-18,F,2026-02-18T09:47:00-05:00,long,12,0.4283049702644348,True,next_bar_open_if_replayed,"{'pressure_k': 3700.0, 'spread': 0.010000000000001563, 'depth_imb_k': 0.057722308892355696, 'micro_off': 0.001413043478260434, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.0638159462970128, 'depth_imb_k_mean_60s': 0.07079032841379396, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:48:00-05:00|short|12,2026-02-18,F,2026-02-18T09:48:00-05:00,short,12,0.44682562351226807,True,next_bar_open_if_replayed,"{'pressure_k': 5700.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.07797537619699042, 'micro_off': -0.0022151898734197317, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': 0.07070321261335266, 'depth_imb_k_mean_60s': 0.08965551944711245, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:49:00-05:00|short|8,2026-02-18,F,2026-02-18T09:49:00-05:00,short,8,0.41962817311286926,True,next_bar_open_if_replayed,"{'pressure_k': -400.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.005479452054794521, 'micro_off': -0.003993710691824859, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': 0.05474768517607913, 'depth_imb_k_mean_60s': 0.06428147797550024, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:50:00-05:00|long|5,2026-02-18,F,2026-02-18T09:50:00-05:00,long,5,0.5023226141929626,True,next_bar_open_if_replayed,"{'pressure_k': 2000.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.029498525073746312, 'micro_off': -0.00012396694214800164, 'spread_mean_10s': 0.00999999999999801, 'depth_imb_k_mean_10s': -0.026198289048988955, 'depth_imb_k_mean_60s': -0.018289334229941015, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:51:00-05:00|long|5,2026-02-18,F,2026-02-18T09:51:00-05:00,long,5,0.4687105715274811,True,next_bar_open_if_replayed,"{'pressure_k': -600.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.00872093023255814, 'micro_off': 0.0, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': -0.045867107593369386, 'depth_imb_k_mean_60s': -0.028503749190496443, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:52:00-05:00|long|5,2026-02-18,F,2026-02-18T09:52:00-05:00,long,5,0.43868011236190796,True,next_bar_open_if_replayed,"{'pressure_k': -6300.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.08548168249660787, 'micro_off': -0.0017039106145251282, 'spread_mean_10s': 0.00954545454545943, 'depth_imb_k_mean_10s': -0.029692415578055756, 'depth_imb_k_mean_60s': -0.009739378328251606, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:53:00-05:00|short|8,2026-02-18,F,2026-02-18T09:53:00-05:00,short,8,0.44816115498542786,True,next_bar_open_if_replayed,"{'pressure_k': 13400.0, 'spread': 0.010000000000001563, 'depth_imb_k': 0.17678100263852242, 'micro_off': -0.0004887218045119823, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.1174561944185103, 'depth_imb_k_mean_60s': 0.06636812677760523, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:54:00-05:00|short|8,2026-02-18,F,2026-02-18T09:54:00-05:00,short,8,0.45784395933151245,True,next_bar_open_if_replayed,"{'pressure_k': 13100.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.15040183696900114, 'micro_off': 0.0005000000000006111, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.15038924954689364, 'depth_imb_k_mean_60s': 0.13080345922602654, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:55:00-05:00|short|8,2026-02-18,F,2026-02-18T09:55:00-05:00,short,8,0.5521966218948364,True,next_bar_open_if_replayed,"{'pressure_k': 11300.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.1461836998706339, 'micro_off': 0.001984126984126533, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.14315753630031622, 'depth_imb_k_mean_60s': 0.06543394026187146, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
