oos_month,auc_long,auc_short,trades,win_rate,avg_pnl,total_pnl,avg_r_multiple,final_equity,features_used
2023-08,0.7381576230692845,0.7561056808876538,1283,0.6983632112236945,69955.1580783733,89752467.81455293,0.726905568253707,89762467.81455293,25
2023-09,0.7659560471982678,0.7146302206099393,380,0.7394736842105263,198.36008462477,75376.8321574126,0.5741625826972955,85376.83215741263,25
2023-10,0.777449609214315,0.7615168187090504,1481,0.775151924375422,1296942.4656250447,1920771791.590691,0.8335831145455013,1920781791.5906906,25
2023-11,0.7733153111073753,0.7489560304593466,1341,0.7554064131245339,676275.1170148412,906884931.916902,0.8634362055280884,906894931.9169017,25
2023-12,0.7862990915230996,0.8069473864108813,1305,0.7670498084291187,5817511.848902768,7591852962.818112,1.0605834767436078,7591862962.818111,25
2024-01,0.7982154684510145,0.7912064659262797,1366,0.8418740849194729,3189180.9736508424,4356421210.0070505,0.9606378319805441,4356431210.00705,25
2024-02,0.825014181856181,0.8060008933479934,2487,0.7748291113791717,606652300.3961545,1508744271085.2363,0.7669623004930466,1508744281085.235,25
2024-03,0.8339911393223344,0.811778582073664,1011,0.7240356083086054,8027.750377929765,8116055.632086992,0.6723698953281529,8126055.632086992,25
2024-04,0.7725134950916256,0.728452281038307,1041,0.7521613832853026,48689.02897614891,50685279.16417102,0.832889912185943,50695279.16417101,25
2024-05,0.7865628522635995,0.7243265478559597,789,0.8086185044359949,37055.486345123165,29236778.726302177,1.0261180397090606,29246778.726302177,25
2024-06,0.7675339973285935,0.7718746063784357,293,0.7849829351535836,312.47877183200865,91556.28014677853,0.80127527544707,101556.28014677862,25
2024-07,0.7384155189229049,0.6670771756978653,832,0.6983173076923077,4949.478300149241,4117965.945724168,0.7364490210569848,4127965.9457241683,25
2024-08,0.7419829559663738,0.7063320763403559,2231,0.6212460779919319,16174.885544436474,36086169.64963777,0.37517387225307725,36096169.64963779,25
2024-09,0.738087536512728,0.7090498907906505,363,0.6721763085399449,149.1784189447568,54151.76607694672,0.5221416275024372,64151.7660769467,25
2024-10,0.7142165160551056,0.6413988797169811,717,0.7364016736401674,1539.5767837778815,1103876.553968741,0.6670916628424108,1113876.553968741,25
2024-11,0.7225306936832023,0.7146339356417825,1323,0.8163265306122449,1685706.4202716306,2230189594.019367,0.9433607093911668,2230199594.019367,25
2024-12,0.7595375450397203,0.7562060154237136,1076,0.7723048327137546,39791.398762029465,42815545.06794371,0.7876938423841666,42825545.06794372,25
2025-01,0.7921901535885459,0.816907813128135,2407,0.7669297881179892,450918507.95165515,1085360848639.6339,0.7788966422479653,1085360858639.6334,25
2025-02,0.8325546270380292,0.8127411875770739,2844,0.7770745428973277,88296558514.99303,251115412416640.2,0.8533301875480621,251115412426640.12,25
2025-03,0.8075075474071954,0.7835888922620741,2590,0.7416988416988417,354564697.4557593,918322566410.4166,0.7172206935096055,918322576410.4161,25
2025-04,0.7544098269865099,0.7660585437466582,7766,0.6756373937677054,8.353647729470252e+24,6.487442826706597e+28,0.7519263112081616,6.487442826706594e+28,25
2025-05,0.7319249476713199,0.7323788560151396,1117,0.7412712623097583,9511.207826254324,10624019.14192608,0.6324492029176144,10634019.14192608,25
2025-06,0.7185264773208122,0.7693119429590017,356,0.7921348314606742,516.3817623317813,183831.90739011412,0.8428162908038168,193831.9073901141,25
2025-07,0.7921534958378438,0.7444280343716432,684,0.7353801169590644,1769.2991774449322,1210200.6373723336,0.7122543921472456,1220200.637372334,25
2025-08,0.7022968761390974,0.6806492402641175,541,0.7818853974121996,2278.5434385517606,1232692.0002565025,0.9034180942812242,1242692.0002565016,25
2025-09,0.7612202485036319,0.7420741950896229,70,0.7142857142857143,76.50765241549756,5355.535669084829,0.6238148070825396,15355.535669084828,25
