strategy,horizon_s,n_signals,mean_ret_bps,std_ret_bps,win_rate,sharpe,buy_signals,sell_signals
l2_obi_03,5,80555,0.41164520549777117,6.046955710851939,23.8197504810378,19.321130093174933,36310,44318
l2_obi_03,10,80478,0.5508081599297079,9.018319073679073,31.30047963418574,17.326600266318955,36310,44318
l2_obi_03,15,80399,0.6685503769302671,10.950066840541897,35.88104329655841,17.311818544416052,36310,44318
l2_obi_025,5,85824,0.39975191918700514,5.88265528351601,23.12290268456376,19.90772043798279,38836,47062
l2_obi_025,10,85744,0.5423533435981386,8.772291235053236,30.60738943832805,18.103858653668436,38836,47062
l2_obi_025,15,85659,0.6572990285215454,10.652013819246228,35.2338925273468,18.060000967033318,38836,47062
l2_obi_02,5,92476,0.3795579241395215,5.703362849783535,22.437172888100694,20.23771979356587,41737,50813
l2_obi_02,10,92394,0.5194084088470201,8.49976821384237,29.888304435352946,18.57478425476444,41737,50813
l2_obi_02,15,92305,0.6224619861830328,10.319405453210003,34.47592221439792,18.3261303424526,41737,50813
l2_obi_mom5,5,10864,0.39860699012476913,6.266665903537517,30.697717231222388,6.629843047499167,4723,6148
l2_obi_mom5,10,10834,0.3908848832110579,12.64898599601117,36.13623776998339,3.2165297978314826,4723,6148
l2_obi_mom5,15,10809,0.5820411902250083,16.1007832090201,39.48561384031825,3.7583695092875318,4723,6148
l2_obi_depth,5,33216,0.4284022802157438,4.033086043059608,24.045640655105974,19.359224322432098,8865,24375
l2_obi_depth,10,33189,0.61382872893363,8.814493495785237,31.998553737684173,12.686649240983613,8865,24375
l2_obi_depth,15,33155,0.7310120754381424,9.208408029767801,36.67621776504298,14.454880720213026,8865,24375
l2_obi_spread,5,33317,0.32230348818571103,8.353254169559186,19.545577332893117,7.042749703755244,16430,16922
l2_obi_spread,10,33281,0.42648931111178684,12.592130798227343,26.78405096000721,6.178842264115183,16430,16922
l2_obi_spread,15,33241,0.5644522727193655,15.205134792926364,31.49423904214675,6.768212593608555,16430,16922
l2_vwap_mean_rev,5,43926,0.33944894260532604,5.14353058801808,22.15544324545827,13.831649076868372,3866,40097
l2_vwap_mean_rev,10,43880,0.4271044906346745,7.948116151335352,29.51686417502279,11.256496535048152,3866,40097
l2_vwap_mean_rev,15,43830,0.5653707704044633,9.8990994671474,33.78051562856491,11.957032205309401,3866,40097
l2_rsi_filter,5,63686,0.3615360840247438,4.778495726714962,23.169927456583864,19.093363200848952,27435,36313
l2_rsi_filter,10,63620,0.508143483802359,7.182525369223699,30.26249607041811,17.844567422836487,27435,36313
l2_rsi_filter,15,63554,0.6065340365250391,9.328221064343454,34.578468703779464,16.39184323972967,27435,36313
l2_high_vol,5,23568,0.523994173294607,5.11143230078925,25.636456211812625,15.737843033299592,11340,12286
l2_high_vol,10,23517,0.6887983843925934,11.198254980014157,33.30356763192584,9.43262843714539,11340,12286
l2_high_vol,15,23466,0.8472644911210573,12.052792445523764,37.14310065626864,10.768392100752477,11340,12286
l2_mom_vwap,5,6066,0.198682671285474,7.191399040470044,28.3712495878668,2.1517796979614503,875,5195
l2_mom_vwap,10,6050,0.10139015897468087,10.856337377502133,33.6198347107438,0.7264239596649485,875,5195
l2_mom_vwap,15,6032,0.2288748453035973,14.0288300907107,36.803713527851464,1.2670894498667866,875,5195
l2_extreme_obi,5,35702,0.5506785848502617,4.824004394108726,23.659738950198868,21.569335502821467,15382,20357
l2_extreme_obi,10,35659,0.7571615066836972,9.791361113066834,31.478729072604388,14.60259494722981,15382,20357
l2_extreme_obi,15,35629,0.8715134894131567,11.46175364328564,36.68079373544023,14.352410937487834,15382,20357
l2_multi_obi,5,12335,0.34086965767637417,6.341872160916068,23.44548034049453,5.969534109686428,5501,6850
l2_multi_obi,10,12322,0.22117669080368718,14.867987238760483,29.565005680895958,1.6513068350226554,5501,6850
l2_multi_obi,15,12306,0.26389237199257043,18.451692381190124,33.88590931253047,1.5865329147343696,5501,6850
