rule,direction,horizon,t_stat,p_value,expectancy_bps,win_rate,avg_win_bps,avg_loss_bps,profit_factor,sharpe,n_trades,std_bps
obi_1 < -0.2,SHORT,fwd_ret_60s,27.27418951810661,0.0,1.0075412505861807,0.3651631389222664,9.557265912260728,3.9103273953491504,1.4058705871631871,25.99506258890077,108190,12.15079076571596
obi_1 < -0.2 AND depth_bid_k > 25,SHORT,fwd_ret_60s,27.27418951810661,0.0,1.0075412505861807,0.3651631389222664,9.557265912260728,3.9103273953491504,1.4058705871631871,25.99506258890077,108190,12.15079076571596
obi_1 < -0.1,SHORT,fwd_ret_60s,26.631563514536438,0.0,0.8629107318339959,0.3473522901413247,9.398639191591675,3.679976316928244,1.3592874340093861,23.226720683319744,129206,11.646905369508165
obi_1 < -0.1,SHORT,fwd_ret_300s,25.659219546302,0.0,1.9555703679153027,0.4719873026740631,16.806410175206302,11.319503997883603,1.3271912526410212,22.437376390530325,128531,27.3233502007397
obi_1 < -0.3,SHORT,fwd_ret_60s,25.551887418131866,0.0,1.0791755151127518,0.3891862723936974,9.720915396587491,4.426998264980927,1.3990928457352778,26.315365794173278,92660,12.856277734174032
obi_1 < -0.1,SHORT,fwd_ret_120s,24.710819107700527,0.0,1.1330238660702479,0.4013520532758607,11.793763621503933,6.014264976556592,1.3146914926249151,21.569663877460222,128989,16.467522077884997
pressure_k < -20,SHORT,fwd_ret_300s,24.704058699842637,0.0,1.7264142765914607,0.4667254616513739,19.002124714682164,13.39340365910413,1.2417147830464714,19.034445380542053,165547,28.43396114723095
pressure_k < -5,SHORT,fwd_ret_300s,24.704058699842637,0.0,1.7264142765914607,0.4667254616513739,19.002124714682164,13.39340365910413,1.2417147830464714,19.034445380542053,165547,28.43396114723095
pressure_k < -10,SHORT,fwd_ret_300s,24.704058699842637,0.0,1.7264142765914607,0.4667254616513739,19.002124714682164,13.39340365910413,1.2417147830464714,19.034445380542053,165547,28.43396114723095
obi_1 < -0.2,SHORT,fwd_ret_120s,24.447268414946354,0.0,1.2802339057123173,0.41704322382310455,12.023156665538501,6.405178330890626,1.3428638869555913,23.321639594793346,107996,17.209284692115315
obi_1 < -0.2 AND depth_bid_k > 25,SHORT,fwd_ret_120s,24.447268414946354,0.0,1.2802339057123173,0.41704322382310455,12.023156665538501,6.405178330890626,1.3428638869555913,23.321639594793346,107996,17.209284692115315
obi_1 < -0.2,SHORT,fwd_ret_300s,24.212578763664084,0.0,2.0907921086680576,0.47941119072179317,17.30071150302972,11.916050600347269,1.337041737801188,23.139467395491607,107607,28.326314170468137
obi_1 < -0.2 AND depth_bid_k > 25,SHORT,fwd_ret_300s,24.212578763664084,0.0,2.0907921086680576,0.47941119072179317,17.30071150302972,11.916050600347269,1.337041737801188,23.139467395491607,107607,28.326314170468137
depth_ask_k > 10,SHORT,fwd_ret_300s,23.66820508890006,0.0,1.2848576561736658,0.4486460709232319,19.714017079317884,13.711262856572846,1.169960142367207,13.142569880110736,318739,30.648363914002296
depth_ask_k > 50,SHORT,fwd_ret_300s,23.66820508890006,0.0,1.2848576561736658,0.4486460709232319,19.714017079317884,13.711262856572846,1.169960142367207,13.142569880110736,318739,30.648363914002296
depth_ask_k > 30,SHORT,fwd_ret_300s,23.66820508890006,0.0,1.2848576561736658,0.4486460709232319,19.714017079317884,13.711262856572846,1.169960142367207,13.142569880110736,318739,30.648363914002296
