strategy,horizon_s,signals,mean_ret_bps,win_rate,avg_gross_pnl,avg_net_pnl,pct_breakeven
baseline_obi_08,30,4810,1.0284177449660574,42.972972972972975,0.4113670979864229,-1.5886329020135772,7.3180873180873185
baseline_obi_08,60,4809,0.7790274194065625,45.53961322520274,0.31161096776262504,-1.688389032237375,14.556040756914118
baseline_obi_08,120,4805,1.529209189534646,48.782518210197715,0.6116836758138585,-1.3883163241861414,22.643080124869925
baseline_obi_08,180,4795,2.649912990044463,49.30135557872784,1.0599651960177852,-0.9400348039822148,29.822732012513036
baseline_obi_08,300,4773,3.1383516294677962,54.76639430127802,1.2553406517871186,-0.7446593482128816,33.18667504714016
baseline_obi_08,600,4717,4.857417150612116,54.88658045367818,1.9429668602448462,-0.05703313975515377,40.110239559041766
baseline_obi_08,900,4682,6.835780614649557,59.547202050405815,2.7343122458598232,0.7343122458598232,47.287483981204616
extreme_obi_highvol,30,5333,0.6832480239167746,43.033939621226324,0.2732992095667099,-1.72670079043329,12.450778173635852
extreme_obi_highvol,60,5273,0.2857424600889349,46.46311397686327,0.114296984035574,-1.8857030159644261,18.149061255452303
extreme_obi_highvol,120,5225,0.3597323597254708,50.16267942583732,0.1438929438901884,-1.8561070561098114,24.30622009569378
extreme_obi_highvol,180,5169,0.828789291200293,51.55736119171986,0.3315157164801172,-1.6684842835198828,28.709615012574968
extreme_obi_highvol,300,5010,0.14638126448701871,48.32335329341318,0.05855250579480742,-1.9414474942051927,33.79241516966068
extreme_obi_highvol,600,4785,2.983939710457146,53.79310344827586,1.1935758841828585,-0.8064241158171417,42.758620689655174
extreme_obi_highvol,900,4663,3.895440271325023,52.133819429551785,1.5581761085300092,-0.44182389146999074,41.11087282865108
extreme_obi_trend,30,18062,1.1430564263931289,41.19698815192116,0.45722257055725163,-1.5427774294427483,9.866017052375152
extreme_obi_trend,60,18028,1.4047956157613617,46.97137785666741,0.5619182463045447,-1.4380817536954555,16.629687153317064
extreme_obi_trend,120,17996,1.9387635072184046,50.22227161591465,0.7755054028873619,-1.224494597112638,22.349410980217826
extreme_obi_trend,180,17956,2.42502075141383,50.1447983960793,0.9700083005655319,-1.029991699434468,26.53152149699265
extreme_obi_trend,300,17790,2.3416239422255165,49.38729623383924,0.9366495768902063,-1.0633504231097937,30.567734682405845
extreme_obi_trend,600,17536,1.824336061007213,46.30474452554745,0.7297344244028849,-1.270265575597115,33.82755474452554
extreme_obi_trend,900,17420,0.6108809705735095,48.427095292766936,0.244352388229404,-1.7556476117705964,39.36854190585534
high_conviction,30,10960,1.1227447261428423,42.034671532846716,0.44909789045713694,-1.5509021095428632,8.686131386861314
high_conviction,60,10958,1.2478181123123442,46.07592626391677,0.4991272449249377,-1.5008727550750625,15.349516335097647
high_conviction,120,10926,1.8419528701847687,50.036609921288665,0.7367811480739075,-1.2632188519260925,22.505949112209407
high_conviction,180,10889,2.647589312579052,51.76783910368261,1.0590357250316207,-0.9409642749683794,27.80787951143356
high_conviction,300,10824,3.038208692525746,51.88470066518847,1.2152834770102985,-0.7847165229897014,34.913155949741316
high_conviction,600,10718,2.1692994102594607,46.22130994588542,0.8677197641037842,-1.1322802358962158,35.44504571748461
high_conviction,900,10602,0.08541683291708564,47.868326730805514,0.03416673316683405,-1.9658332668331655,38.3606866628938
obi_08_relvol_rsi50,30,188,-3.314689015944896,29.25531914893617,-1.3258756063779584,-3.325875606377958,3.1914893617021276
obi_08_relvol_rsi50,60,187,-4.4836341471919505,31.016042780748666,-1.7934536588767807,-3.79345365887678,18.71657754010695
obi_08_relvol_rsi50,120,184,-3.784259266297426,43.47826086956522,-1.5137037065189705,-3.5137037065189705,23.369565217391305
obi_08_relvol_rsi50,180,180,1.4696334657172192,52.77777777777778,0.5878533862868875,-1.4121466137131125,18.88888888888889
obi_08_relvol_rsi50,300,180,3.0071934029485825,56.666666666666664,1.202877361179433,-0.7971226388205671,42.22222222222222
obi_08_relvol_rsi50,600,173,14.185677939440424,73.98843930635837,5.67427117577617,3.6742711757761697,63.58381502890174
obi_08_relvol_rsi50,900,159,29.677603218017595,72.32704402515722,11.871041287207039,9.871041287207039,62.893081761006286
