horizon_s,signals,mean_ret_bps,win_rate,avg_gross_pnl,avg_net_pnl,pct_breakeven
30,188,-3.314689015944896,29.25531914893617,-1.3258756063779584,-3.325875606377958,3.1914893617021276
60,187,-4.4836341471919505,31.016042780748666,-1.7934536588767807,-3.79345365887678,18.71657754010695
120,184,-3.784259266297426,43.47826086956522,-1.5137037065189705,-3.5137037065189705,23.369565217391305
180,180,1.4696334657172192,52.77777777777778,0.5878533862868875,-1.4121466137131125,18.88888888888889
300,180,3.0071934029485825,56.666666666666664,1.202877361179433,-0.7971226388205671,42.22222222222222
600,173,14.185677939440424,73.98843930635837,5.67427117577617,3.6742711757761697,63.58381502890174
900,159,29.677603218017595,72.32704402515722,11.871041287207039,9.871041287207039,62.893081761006286
