,n,mean_ret,win_rate
with_trend,79719.0,0.5956251683553194,13.555112332066383
against_trend,67320.0,0.22821863126623565,10.729352346999406
favorable_vwap,83083.0,0.38421570822083695,13.104967321834792
unfavorable_vwap,71064.0,0.4740435814977844,10.811381290104695
high_volatility,77021.0,0.526882531827108,11.14111735760377
low_volatility,77088.0,0.3656169092712787,12.959215442092153
rsi_favorable,136905.0,0.38316155018433135,11.461962674847522
rsi_unfavorable,17204.0,0.6875846761817659,16.734480353406184
high_volume,25817.0,0.5939710743560788,14.598907696479063
normal_volume,95541.0,0.43140610524464607,13.513570090327711
low_volume,31845.0,0.25143601663437454,5.938137855236301
all_favorable,30134.0,0.5609654413784013,16.47972389991372
all_unfavorable,25766.0,0.2428825195559728,12.74159745400916
