strategy,horizon_s,n_signals,gross_ret_bps,net_ret_bps,win_rate,pct_above_breakeven,gross_pnl_per_trade,net_pnl_per_trade,daily_signals_est
extreme_obi_06,10,22767,0.8254706670746875,-3.1745293329253124,32.2879606447929,5.955988931348004,0.41273533353734376,-1.5872646664626562,11383.5
extreme_obi_06,15,22749,0.9898799878609179,-3.0101200121390823,37.43021671282254,8.523451580289244,0.49493999393045895,-1.5050600060695412,11374.5
extreme_obi_06,30,22678,1.323891215630738,-2.676108784369262,43.50912778904665,14.278155040126993,0.661945607815369,-1.338054392184631,11339.0
extreme_obi_07,10,14452,0.821872487120579,-3.178127512879421,32.22391364517022,5.8746194298367005,0.41093624356028946,-1.5890637564397105,7226.0
extreme_obi_07,15,14437,1.0262280376082147,-2.9737719623917855,37.549352358523244,8.055690240354645,0.5131140188041073,-1.4868859811958925,7218.5
extreme_obi_07,30,14390,1.5071160168366418,-2.4928839831633582,43.884642112578184,13.39819318971508,0.7535580084183209,-1.2464419915816791,7195.0
extreme_obi_trend,10,18903,0.8401066322883347,-3.1598933677116654,32.43400518436227,6.0096281013595725,0.42005331614416735,-1.5799466838558327,9451.5
extreme_obi_trend,15,18880,0.9287304720819772,-3.0712695279180227,37.934322033898304,8.479872881355933,0.4643652360409886,-1.5356347639590113,9440.0
extreme_obi_trend,30,18841,1.1932687870292078,-2.806731212970792,45.16745395679635,14.617058542540203,0.5966343935146039,-1.403365606485396,9420.5
extreme_obi_vwap,10,16005,0.559551232691972,-3.4404487673080277,31.252733520774754,6.0668541080912215,0.279775616345986,-1.7202243836540139,8002.5
extreme_obi_vwap,15,15982,0.69174768214952,-3.3082523178504797,36.38468276811413,8.465773995745213,0.34587384107476005,-1.6541261589252398,7991.0
extreme_obi_vwap,30,15933,0.8556422513944963,-3.1443577486055037,41.46111843344003,14.090252934161803,0.42782112569724823,-1.5721788743027518,7966.5
multi_obi_strong,10,2698,-0.12133363642944067,-4.121333636429441,35.17420311341735,14.714603409933282,-0.060666818214720336,-2.0606668182147203,1349.0
multi_obi_strong,15,2691,-0.5796887848868559,-4.579688784886856,40.28242289111854,16.759568933481976,-0.28984439244342797,-2.289844392443428,1345.5
multi_obi_strong,30,2648,-1.0985286445145637,-5.0985286445145634,41.31419939577039,20.619335347432024,-0.5492643222572818,-2.5492643222572817,1324.0
extreme_obi_depth,10,8183,0.7421134468412485,-3.2578865531587518,31.993156544054745,8.982035928143713,0.3710567234206242,-1.6289432765793759,4091.5
extreme_obi_depth,15,8178,0.8503662976579266,-3.1496337023420735,35.730007336757154,11.469797016385424,0.4251831488289633,-1.5748168511710368,4089.0
extreme_obi_depth,30,8145,1.4521692020714072,-2.547830797928593,39.926335174953955,18.637200736648253,0.7260846010357036,-1.2739153989642964,4072.5
extreme_obi_highvol,10,6247,0.9018910912386814,-3.0981089087613185,36.001280614695055,7.93981110933248,0.45094554561934075,-1.5490544543806593,3123.5
extreme_obi_highvol,15,6229,1.1054235515270767,-2.8945764484729235,40.744902873655484,12.20099534435704,0.5527117757635384,-1.4472882242364618,3114.5
extreme_obi_highvol,30,6182,1.4735454278472007,-2.526454572152799,47.67065674538984,19.94500161759948,0.7367727139236003,-1.2632272860763996,3091.0
high_conviction,10,12148,0.7853917009350316,-3.2146082990649685,31.733618702667105,6.659532433322357,0.3926958504675158,-1.6073041495324842,6074.0
high_conviction,15,12130,0.8651852956782369,-3.1348147043217627,36.760098928277,8.697444352844188,0.43259264783911844,-1.5674073521608816,6065.0
high_conviction,30,12096,1.0703388165131298,-2.9296611834868704,42.61739417989418,14.690806878306878,0.5351694082565649,-1.4648305917434352,6048.0
ultra_selective,10,2544,0.8616527966941759,-3.138347203305824,31.367924528301888,6.0927672955974845,0.4308263983470879,-1.569173601652912,1272.0
ultra_selective,15,2534,1.045479665095035,-2.9545203349049647,36.54301499605367,7.853196527229676,0.5227398325475175,-1.4772601674524823,1267.0
ultra_selective,30,2532,1.14475203877849,-2.8552479612215103,43.60189573459716,13.744075829383887,0.572376019389245,-1.427623980610755,1266.0
