system,timestamp,symbol,side,quantity,price,order_ref
l2-scalping,2026-01-15T14:34:12,INTC,BOT,19,50.03,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487652272
l2-scalping,2026-01-15T14:34:15,INTC,SLD,20,49.88,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487655412
l2-scalping,2026-01-15T14:34:15,INTC,SLD,20,49.88,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487655412
l2-scalping,2026-01-15T14:34:22,INTC,BOT,19,50.09,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487662126
l2-scalping,2026-01-15T14:34:22,INTC,BOT,19,50.09,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487662126
l2-scalping,2026-01-15T14:34:25,INTC,BOT,19,50.02,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487664961
l2-scalping,2026-01-15T14:34:25,INTC,BOT,19,50.02,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487664961
l2-scalping,2026-01-15T14:34:26,INTC,BOT,19,50.01,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487665678
l2-scalping,2026-01-15T14:34:26,INTC,BOT,19,50.01,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487665678
l2-scalping,2026-01-15T14:34:27,INTC,SLD,19,50.04,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487667641
l2-scalping,2026-01-15T14:34:27,INTC,SLD,19,50.04,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487667641
l2-scalping,2026-01-15T14:34:37,INTC,BOT,19,50.06,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487676672
l2-scalping,2026-01-15T14:34:37,INTC,BOT,19,50.06,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487676672
l2-scalping,2026-01-15T14:34:38,INTC,BOT,19,50.04,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487677919
l2-scalping,2026-01-15T14:34:38,INTC,BOT,19,50.04,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487677919
l2-scalping,2026-01-15T14:34:39,INTC,BOT,19,50.02,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487678786
l2-scalping,2026-01-15T14:34:39,INTC,BOT,19,50.02,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487678786
l2-scalping,2026-01-15T14:34:41,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487681324
l2-scalping,2026-01-15T14:34:41,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487681324
l2-scalping,2026-01-15T14:34:42,INTC,SLD,19,50.07,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487682049
l2-scalping,2026-01-15T14:34:42,INTC,SLD,19,50.07,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487682049
l2-scalping,2026-01-15T14:34:43,INTC,SLD,19,50.07,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487683302
l2-scalping,2026-01-15T14:34:43,INTC,SLD,19,50.07,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487683302
l2-scalping,2026-01-15T14:34:48,INTC,BOT,19,49.88,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487688262
l2-scalping,2026-01-15T14:34:48,INTC,BOT,19,49.88,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487688262
l2-scalping,2026-01-15T14:34:51,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487691695
l2-scalping,2026-01-15T14:34:51,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487691695
l2-scalping,2026-01-15T14:34:58,INTC,BOT,20,49.81,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487698241
l2-scalping,2026-01-15T14:34:58,INTC,BOT,20,49.81,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487698241
l2-scalping,2026-01-15T14:35:03,OCUL,SLD,81,12.35,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487702608
l2-scalping,2026-01-15T14:35:03,OCUL,SLD,81,12.35,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487702608
l2-scalping,2026-01-15T14:35:05,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487705165
l2-scalping,2026-01-15T14:35:05,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487705165
l2-scalping,2026-01-15T14:35:07,OCUL,SLD,82,12.36,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487706576
l2-scalping,2026-01-15T14:35:07,OCUL,SLD,82,12.36,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487706576
l2-scalping,2026-01-15T14:35:09,INTC,SLD,20,49.76,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487709676
l2-scalping,2026-01-15T14:35:09,INTC,SLD,20,49.76,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487709676
l2-scalping,2026-01-15T14:35:12,INTC,BOT,20,49.82,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487712498
l2-scalping,2026-01-15T14:35:12,INTC,BOT,20,49.82,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487712498
l2-scalping,2026-01-15T14:35:14,INTC,SLD,20,49.8,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487713966
l2-scalping,2026-01-15T14:35:14,INTC,SLD,20,49.8,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487713966
l2-scalping,2026-01-15T14:35:21,INTC,SLD,20,49.88,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487721188
l2-scalping,2026-01-15T14:35:21,INTC,SLD,20,49.88,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487721188
l2-scalping,2026-01-15T14:35:22,INTC,SLD,20,49.85,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487722634
l2-scalping,2026-01-15T14:35:22,INTC,SLD,20,49.85,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487722634
l2-scalping,2026-01-15T14:35:24,INTC,SLD,20,49.92,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487723884
l2-scalping,2026-01-15T14:35:24,INTC,SLD,20,49.92,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487723884
l2-scalping,2026-01-15T14:35:30,INTC,SLD,20,49.93,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487730465
l2-scalping,2026-01-15T14:35:30,INTC,SLD,20,49.93,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487730465
l2-scalping,2026-01-15T14:35:32,INTC,BOT,20,49.81,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487732625
l2-scalping,2026-01-15T14:35:32,INTC,BOT,20,49.81,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487732625
l2-scalping,2026-01-15T14:35:36,INTC,SLD,20,49.76,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487736266
l2-scalping,2026-01-15T14:35:36,INTC,SLD,20,49.76,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487736266
l2-scalping,2026-01-15T14:35:39,OCUL,BOT,80,12.26,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768487738329
l2-scalping,2026-01-15T14:35:39,INTC,BOT,20,49.79,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487739276
l2-scalping,2026-01-15T14:35:39,OCUL,BOT,80,12.26,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768487738329
l2-scalping,2026-01-15T14:35:39,INTC,BOT,20,49.79,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487739276
l2-scalping,2026-01-15T14:35:42,INTC,BOT,20,49.76,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487741684
l2-scalping,2026-01-15T14:35:42,INTC,BOT,20,49.76,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487741684
l2-scalping,2026-01-15T14:35:50,INTC,SLD,20,49.79,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487749903
l2-scalping,2026-01-15T14:35:50,INTC,SLD,20,49.79,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487749903
l2-scalping,2026-01-15T14:35:52,INTC,BOT,20,49.83,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487751958
l2-scalping,2026-01-15T14:35:52,INTC,BOT,20,49.83,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487751958
l2-scalping,2026-01-15T14:35:57,INTC,SLD,20,49.84,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487757150
l2-scalping,2026-01-15T14:35:57,INTC,SLD,20,49.84,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487757150
l2-scalping,2026-01-15T14:35:58,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487758687
l2-scalping,2026-01-15T14:35:58,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487758687
l2-scalping,2026-01-15T14:36:01,INTC,BOT,20,49.89,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487761289
l2-scalping,2026-01-15T14:36:01,INTC,BOT,20,49.89,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487761289
l2-scalping,2026-01-15T14:36:05,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487765109
l2-scalping,2026-01-15T14:36:05,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487765109
