side,tod_bucket,horizon_sec,threshold_k,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
bid,afternoon,30,105700.0,0.5659760276571243,5.776988972744069,1.3361430907595595,0.18314369328440883,237.9056177189964,186,0.05913978494623656
bid,afternoon,60,105700.0,0.16453121867014603,8.14782766613705,0.26406116499790083,0.7920526251361397,49.03595963710491,171,0.06432748538011696
bid,afternoon,120,105700.0,3.681059034549561,12.952863110072112,3.7162511949189287,0.00027411800273791087,690.105050459942,171,0.21637426900584794
bid,afternoon,300,105700.0,-14.466545994986513,17.921262223254928,-9.820353368520431,0.0,-1960.2183789307658,148,0.24324324324324326
bid,closing,30,105700.0,0.8204276206216244,5.284656733466992,6.60849532038002,5.090594612511268e-11,376.9916136427948,1812,0.20198675496688742
bid,closing,60,105700.0,0.7749743534054466,7.550228839741065,4.369244138129125,1.3174046949115947e-05,249.2501421545837,1812,0.2781456953642384
bid,closing,120,105700.0,1.9734219224296377,10.06256727466484,8.348150081914,0.0,476.2328514642892,1812,0.40066225165562913
bid,closing,300,105700.0,2.7995751327154625,14.491603902297408,8.22346349561548,4.440892098500626e-16,469.11991650868316,1812,0.4735099337748344
ask,afternoon,30,72300.0,-0.20643342666140463,6.0041003022200465,-2.122240365611482,0.0338819184372432,-83.4911190309121,3810,0.1732283464566929
ask,afternoon,60,72300.0,-0.17563284607493562,8.100101509845656,-1.3330952391851087,0.1825809099345983,-52.653043122988464,3780,0.27936507936507937
ask,afternoon,120,72300.0,0.7169235790263783,11.694729535527975,3.738988693165042,0.00018754294491718504,148.86441016596183,3720,0.3879032258064516
ask,afternoon,300,72300.0,2.6471205557646353,17.724358734103696,8.996978304017588,0.0,362.66979614455647,3629,0.5208046293744834
ask,closing,30,72300.0,-0.38754469335134795,4.250689028193299,-7.745345817572669,1.0880185641326534e-14,-221.3964534038676,7217,0.1037827352085354
ask,closing,60,72300.0,-0.8294601298653461,6.075287933378802,-11.598638218025053,0.0,-331.54069892647624,7217,0.1651655812664542
ask,closing,120,72300.0,-1.8150298874023465,8.565229241350606,-18.00209886464526,0.0,-514.5801022099886,7217,0.2111680753775807
ask,closing,300,72300.0,-5.030881481763252,11.914038433321872,-35.872648506720836,0.0,-1025.399942191416,7217,0.18747401967576555
