side,horizon_sec,pearson_r,pearson_p,spearman_r,spearman_p,n_obs
bid,30,0.004245677686090636,1.670066847504488e-05,0.0016807751669212017,0.08833585539205983,1028120
bid,60,0.004975484600463522,4.656289120098395e-07,0.002310177493915346,0.019278428233342467,1026075
bid,120,0.007767564297746249,3.994340422818787e-15,0.005595783199720424,1.5242836058562836e-08,1022639
bid,300,0.0101100442496964,2.6162165672309024e-24,0.018477859950421064,3.586666745891203e-77,1012451
ask,30,0.0005392690264464819,0.5847447477176417,-0.010540944876961477,1.2365486648991152e-26,1026877
ask,60,0.0017259447628816755,0.08059539404164943,-0.011795351782062445,7.208272591985147e-33,1024832
ask,120,0.0037299790260420067,0.00016345721649114062,-0.007034190137514024,1.1678274531886094e-12,1021396
ask,300,0.007057412382950004,1.2757665025952827e-12,0.009660066314297583,2.622072349542104e-22,1011202
