rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,regime
atr_14_bin == 4 AND is_power_hour_bin == True,SHORT,fwd_ret_60m,18.739009987845854,0.0,0.041301859982539206,0.5078888632340491,0.3381664278714722,0.26508057409613905,1.316612833224288,1.0654095090471956,77958,0.041301859982539206,0.6153940767579649,bull_low_vol
price_vs_vwap_pct_bin == 0 AND is_power_hour_bin == True,SHORT,fwd_ret_60m,18.237663493911572,0.0,0.03483408704555883,0.4655475467019117,0.27984021947241017,0.17858434367614795,1.36496563698135,1.0686809453407788,73391,0.03483408704555883,0.5174359954989379,bull_low_vol
price_up_vol_weak_bin == False AND is_power_hour_bin == True,SHORT,fwd_ret_60m,18.046152929469446,0.0,0.012499071321541879,0.4737225654018048,0.1982737229423477,0.15472383957454403,1.153499075110437,0.4833391903429683,351290,0.012499071321541879,0.41051214132990715,bull_low_vol
at_session_high_bin == False AND is_power_hour_bin == True,SHORT,fwd_ret_60m,16.790740313715926,0.0,0.011663688306466715,0.4728890549580474,0.20154365585422196,0.15868405205771063,1.1394442431297904,0.44509577071720674,358619,0.011663688306466715,0.4159898250072059,bull_low_vol
rel_strength_60m_bin == 0.0 AND is_power_hour_bin == True,SHORT,fwd_ret_60m,16.30966580087734,0.0,0.04302896768966876,0.4896660697355946,0.28505379649283247,0.18919417028015867,1.4456549481342431,1.1883889086808084,47465,0.04302896768966876,0.5747812699046719,bull_low_vol
