rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,regime
price_up_vol_strong_bin == False AND is_power_hour_bin == True,SHORT,fwd_ret_30m,16.67706575106427,0.0,0.019642976301227938,0.4945684457766337,0.211128668466377,0.16772716387155703,1.2317082715986252,0.6917702470768646,146459,0.019642976301227938,0.45076032560050167,bear_high_vol
at_session_high_bin == False AND is_power_hour_bin == True,SHORT,fwd_ret_30m,15.700112427138778,0.0,0.019117545110199342,0.49527584301472843,0.21499728882572883,0.17309537724661353,1.2188227958993565,0.6509615009375118,146587,0.019117545110199342,0.4662051746544233,bear_high_vol
price_down_vol_strong_bin == False AND is_power_hour_bin == True,SHORT,fwd_ret_30m,15.540413568636785,0.0,0.01748658168948225,0.4942012454747044,0.20871235404765673,0.16935455625473123,1.2041410199041744,0.6566302149747844,141151,0.01748658168948225,0.42275069324455977,bear_high_vol
new_session_high_bin == False AND is_power_hour_bin == True,SHORT,fwd_ret_30m,15.24834186087487,0.0,0.018022988460855347,0.49423998636217603,0.21377540520864083,0.17327064720617955,1.205663544731497,0.6198173992563932,152517,0.018022988460855347,0.46159735502892796,bear_high_vol
avwap_cross_down_bin == False AND is_power_hour_bin == True,SHORT,fwd_ret_30m,15.24109591168652,0.0,0.01799055564763109,0.4942312112158125,0.2136607837689479,0.17321605098332393,1.2053545918567254,0.6199945939226572,152285,0.01799055564763109,0.4606350118991995,bear_high_vol
