rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_trades,mean_ret,std_ret
is_power_hour_bin == False AND spy_ret_60m_bin == 4,LONG,fwd_ret_90m,55.199761538727046,0.0,0.014576457430250711,0.5047887979251017,0.20855284540696453,0.18315151661870674,1.1607130004016204,0.7958837097726419,1212204,0.014576457430250711,0.29073856557094235
price_vs_session_avwap_pct_bin == 4 AND spy_ret_60m_bin == 4,LONG,fwd_ret_180m,53.72067164787835,0.0,0.044680848122498916,0.5414807623791826,0.3100691681536228,0.26872512935106035,1.3626231832295417,1.5417916964270033,305937,0.044680848122498916,0.46004040405795354
atr_14_bin == 0 AND is_power_hour_bin == False,LONG,fwd_ret_180m,53.35716077225581,0.0,0.010980724055212505,0.49824412769885285,0.1734646993177164,0.15036604035518814,1.1455421380409985,0.7907802432741904,1147293,0.010980724055212505,0.22043240442042936
is_power_hour_bin == False AND spy_ret_60m_bin == 4,LONG,fwd_ret_180m,51.01083531620638,0.0,0.018463108754514915,0.5132449429637091,0.2797891185606158,0.25708462528344106,1.147542878056215,0.7355113173947716,1212123,0.018463108754514915,0.39848845045602993
atr_14_bin == 0 AND is_first_hour_bin == False,LONG,fwd_ret_180m,50.81816325282566,0.0,0.01266503512370905,0.5000032563849568,0.18591363444876824,0.1605858208725778,1.1577364370015648,0.7278755121550924,1228356,0.01266503512370905,0.27621646331269184
atr_14_bin == 0,LONG,fwd_ret_180m,47.80954398431804,0.0,0.01156947955816702,0.497929705359603,0.18969473592525718,0.16508677229894608,1.1395844436167875,0.6603167063832078,1321068,0.01156947955816702,0.2781389482966485
price_vs_session_avwap_pct_bin == 4 AND spy_ret_60m_bin == 4,LONG,fwd_ret_90m,41.802818133025674,0.0,0.02636770015436435,0.5185821907734545,0.22782498190713807,0.19064163459888317,1.2872978302397506,1.199692534615943,305965,0.02636770015436435,0.3489012821547671
is_first_hour_bin == True AND spy_ret_60m_bin == 4,LONG,fwd_ret_90m,41.53623917423818,0.0,0.0216313020014597,0.5130428826387912,0.2867137117190532,0.25765128525246456,1.1724088796039276,0.9095163395484908,525574,0.0216313020014597,0.37754821859807725
is_first_hour_bin == True AND spy_ret_60m_bin == 4,LONG,fwd_ret_60m,37.85846550082933,0.0,0.016720543049170773,0.5111306875910909,0.24094559314984326,0.21771492083456082,1.1570975485481927,0.8289843675734913,525574,0.016720543049170773,0.3201874517142834
price_vs_session_avwap_pct_bin == 4 AND spy_ret_60m_bin == 4,LONG,fwd_ret_60m,31.89657121844915,0.0,0.017046883966907823,0.5072856150285585,0.18842703905483904,0.1594015616828169,1.217048701135451,0.9145014574773563,306563,0.017046883966907823,0.29591083908882065
is_first_hour_bin == True AND spy_above_sma20_bin == True,LONG,fwd_ret_90m,30.191630166912862,0.0,0.011933718836746444,0.5009085645623266,0.2706992095927544,0.24777390451525677,1.0965028455645867,0.5204492758583589,848041,0.011933718836746444,0.36399688180322415
is_first_hour_bin == True AND spy_ret_60m_bin == 3,SHORT,fwd_ret_60m,30.01136913414357,0.0,0.018008721451890995,0.5248866938089407,0.20720317338833222,0.19100594740686536,1.1984443767282553,1.012727092422267,221303,0.018008721451890995,0.28228689889973363
spy_above_sma20_bin == True AND spy_ret_60m_bin == 4,LONG,fwd_ret_90m,29.883899618022106,0.0,0.010306140897606609,0.4972187791113951,0.22093595297223992,0.1979934010365885,1.103530023234463,0.46537854686157837,1039112,0.010306140897606609,0.35155233487764737
price_vs_session_avwap_pct_bin == 0 AND is_first_hour_bin == False,SHORT,fwd_ret_180m,29.161079727358832,0.0,0.015634550348730566,0.49483172122576935,0.3002673229613352,0.26317417677664123,1.1175996557347339,0.4527718819990566,1045319,0.015634550348730566,0.548158581320367
spy_above_sma20_bin == False AND spy_ret_60m_bin == 3,SHORT,fwd_ret_180m,28.98214168462012,0.0,0.01649877614652346,0.49314652586992097,0.2482565209445325,0.20899149377171006,1.155754532059851,0.7228318750990603,405123,0.01649877614652346,0.3623386858636532
is_power_hour_bin == True AND spy_ret_60m_bin == 4,SHORT,fwd_ret_90m,26.889083820767837,0.0,0.061436682081365615,0.5252770083102493,0.3913510925855521,0.3036108458069282,1.426255706139942,1.3425907747706707,101080,0.061436682081365615,0.7264142665898902
price_vs_session_avwap_pct_bin == 0,SHORT,fwd_ret_180m,26.273554234456004,0.0,0.0125061553196662,0.49263588282259063,0.31817774602030074,0.2842921180314977,1.0867040232376608,0.36386705367427535,1313871,0.0125061553196662,0.5456087848448729
price_vs_session_avwap_pct_bin == 0 AND spy_above_sma20_bin == True,SHORT,fwd_ret_180m,26.195446262761497,0.0,0.01809160778011738,0.4992236144444684,0.32093081572114646,0.2838085783001536,1.1272939621163498,0.5161186195797933,649162,0.01809160778011738,0.5564522555975531
is_first_hour_bin == True AND spy_ret_60m_bin == 3,SHORT,fwd_ret_90m,25.264559019036817,0.0,0.018566171300575238,0.5255690162356588,0.25014468784509436,0.23797376240255755,1.1644448330988626,0.8525470225072443,221303,0.018566171300575238,0.3457039020474391
atr_14_bin == 4 AND is_power_hour_bin == True,SHORT,fwd_ret_180m,24.20619802833625,0.0,0.07264283176385157,0.5061040392903678,0.7778545711319093,0.6500002717277205,1.2262787406347033,0.9933018323942411,149655,0.07264283176385157,1.1609454112173996
ret_60m_bin == 0.0 AND spy_ret_60m_bin == 4,LONG,fwd_ret_60m,24.003634096684902,0.0,0.016435505153608147,0.5206168709638018,0.2215953439258712,0.20637098685581018,1.166131379041734,0.7563695317649215,253797,0.016435505153608147,0.34494456068346047
ret_30m_bin == 0.0 AND spy_ret_60m_bin == 4,LONG,fwd_ret_60m,23.961227511596427,0.0,0.01666312255912708,0.5233651557614185,0.22253520049155326,0.20939309938191566,1.166958385040387,0.738738179483124,265117,0.01666312255912708,0.3580684977301696
ret_60m_bin == 0.0 AND atr_14_bin == 1,LONG,fwd_ret_60m,23.64539583118259,0.0,0.010600425537266709,0.5003749657358897,0.14146755083580734,0.12046312982212388,1.1761266059047224,0.8536378194134826,193351,0.010600425537266709,0.1971287292472763
is_power_hour_bin == True AND spy_ret_60m_bin == 4,SHORT,fwd_ret_60m,22.07004770265694,0.0,0.04342475093421081,0.5081420656905421,0.30994654080830697,0.2319208791984038,1.380678023658421,1.101972928562566,101080,0.04342475093421081,0.6255567014701948
ret_60m_bin == 0.0 AND spy_ret_60m_bin == 4,LONG,fwd_ret_30m,21.46084546609678,0.0,0.011294777572623621,0.5072793556057731,0.16619593325240262,0.1481833350857883,1.154695456624481,0.6759664012951745,254006,0.011294777572623621,0.2652484429435668
is_power_hour_bin == True AND spy_ret_60m_bin == 4,SHORT,fwd_ret_30m,20.759809714277417,0.0,0.029366727120882324,0.4826670846026506,0.2109838038199553,0.14008041671118532,1.4052359920584496,1.0314167118884827,102089,0.029366727120882324,0.451982535591208
atr_14_bin == 4 AND is_power_hour_bin == True,SHORT,fwd_ret_90m,18.096314460319608,0.0,0.04145353441788627,0.49899435368013095,0.5280492606515211,0.4431887479575992,1.1866939392084082,0.7425826349092848,149655,0.04145353441788627,0.8861700062333014
price_vs_session_avwap_pct_bin == 0 AND spy_ret_60m_bin == 4,SHORT,fwd_ret_90m,16.795398964890193,0.0,0.01494181655613858,0.4796641665948255,0.26792465287322115,0.21826680286703762,1.1315624577789392,0.5834875419999138,208794,0.01494181655613858,0.4065107948072978
