rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,regime
is_power_hour_bin == True,SHORT,fwd_ret_30m,25.662384215725584,0.0,0.010518259303174902,0.46011615835694847,0.12745122949744989,0.08913789796820622,1.2185652707193197,0.6506178742118381,392051,0.010518259303174902,0.25663634011165914,bull_low_vol
atr_14_bin == 4 AND is_power_hour_bin == True,SHORT,fwd_ret_30m,22.75966659277357,0.0,0.03344618345701766,0.5006604680987496,0.21246742092021825,0.14604863083633265,1.4586201455795826,1.293863538418368,77975,0.03344618345701766,0.4103537093549265,bull_low_vol
rel_strength_60m_bin == 0.0 AND is_power_hour_bin == True,SHORT,fwd_ret_30m,22.185985772780548,0.0,0.036320563918428465,0.47994103401074023,0.18652438285669592,0.10229636394563775,1.682715554123584,1.6162211265324924,47485,0.036320563918428465,0.35674021838318853,bull_low_vol
ret_60m_bin == 0.0 AND is_power_hour_bin == True,SHORT,fwd_ret_30m,20.515964412663443,0.0,0.02439677578863739,0.4612604276605896,0.17041033921309745,0.10061776215768935,1.450068796186617,1.2383480875941117,69167,0.02439677578863739,0.312744706477196,bull_low_vol
rvol_bin == 3 AND is_power_hour_bin == True,SHORT,fwd_ret_30m,19.87094504898271,0.0,0.01818973610152283,0.4759790154204865,0.15024892013164476,0.10176233116602845,1.3411070317976461,1.026919340595166,94355,0.01818973610152283,0.28118382565838773,bull_low_vol
