rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,regime
rel_underperform_extreme_bin == True AND session_range_pct_bin == 0,SHORT,fwd_ret_90m,17.07302305358059,0.0,0.08112717284557383,0.56128630470475,0.46948059607776493,0.41572865860673536,1.444810659111625,2.0392875257311323,17663,0.08112717284557383,0.6315215129132504,bull_high_vol
session_range_pct_bin == 1 AND is_first_hour_bin == False,SHORT,fwd_ret_90m,16.308333434961437,0.0,0.017484517067933796,0.4959156692961643,0.22999547705302703,0.19158271342230765,1.181048163429081,0.7660277070713098,114217,0.017484517067933796,0.36233428787591404,bull_high_vol
session_range_pct_bin == 1 AND is_power_hour_bin == True,SHORT,fwd_ret_90m,16.09617605750493,0.0,0.05733414653828859,0.5346205059920106,0.37705031913675524,0.3099506697658155,1.3974783971779883,1.5125551451086943,28538,0.05733414653828859,0.6017310265863224,bull_high_vol
atr_14_bin == 4 AND is_first_hour_bin == False,SHORT,fwd_ret_90m,14.847344866524086,0.0,0.05433448619909163,0.5268045455976328,0.42532053932448977,0.3586811869683869,1.320130020374927,1.3223942893301925,31767,0.05433448619909163,0.6522511746632604,bull_high_vol
price_up_vol_weak_bin == True AND is_first_hour_bin == False,SHORT,fwd_ret_90m,13.556345588118743,0.0,0.01906441031424795,0.5047413971593027,0.2331695525750871,0.19914023676078285,1.1933002115276699,0.7995261982384158,72447,0.01906441031424795,0.37852184477302564,bull_high_vol
