rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_trades,mean_ret,std_ret
price_vs_session_avwap_pct_bin == 0 AND is_first_hour_bin == False,SHORT,fwd_ret_180m,29.161079727358832,0.0,0.015634550348730566,0.49483172122576935,0.3002673229613352,0.26317417677664123,1.1175996557347339,0.4527718819990566,1045319,0.015634550348730566,0.548158581320367
spy_above_sma20_bin == False AND spy_ret_60m_bin == 3,SHORT,fwd_ret_180m,28.98214168462012,0.0,0.01649877614652346,0.49314652586992097,0.2482565209445325,0.20899149377171006,1.155754532059851,0.7228318750990603,405123,0.01649877614652346,0.3623386858636532
price_vs_session_avwap_pct_bin == 0,SHORT,fwd_ret_180m,26.273554234456004,0.0,0.0125061553196662,0.49263588282259063,0.31817774602030074,0.2842921180314977,1.0867040232376608,0.36386705367427535,1313871,0.0125061553196662,0.5456087848448729
price_vs_session_avwap_pct_bin == 0 AND spy_above_sma20_bin == True,SHORT,fwd_ret_180m,26.195446262761497,0.0,0.01809160778011738,0.4992236144444684,0.32093081572114646,0.2838085783001536,1.1272939621163498,0.5161186195797933,649162,0.01809160778011738,0.5564522555975531
atr_14_bin == 4 AND is_power_hour_bin == True,SHORT,fwd_ret_180m,24.20619802833625,0.0,0.07264283176385157,0.5061040392903678,0.7778545711319093,0.6500002717277205,1.2262787406347033,0.9933018323942411,149655,0.07264283176385157,1.1609454112173996
