rule,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,regime
is_first_hour_bin == True,LONG,fwd_ret_60m,27.585554901419417,0.0,0.012902565312544908,0.5014052328724515,0.2571162653800116,0.2326877120552207,1.1112128321435375,0.5958476862444697,540124,0.012902565312544908,0.34374871175808686,bull_high_vol
price_vs_vwap_pct_bin == 0,LONG,fwd_ret_60m,26.79810666849491,0.0,0.024241781920448447,0.5178400231535916,0.2735657123660977,0.24353222694517598,1.2064509769094118,0.9046458285454274,221132,0.024241781920448447,0.42538897063193154,bull_high_vol
price_vs_vwap_pct_bin == 0 AND is_first_hour_bin == True,LONG,fwd_ret_60m,25.67006232826311,0.0,0.026141544616347833,0.5238079141116737,0.29054795294149893,0.26470362758804,1.2073906527931932,1.059556257697388,147913,0.026141544616347833,0.39165844440725783,bull_high_vol
rel_strength_60m_bin == 3.0 AND is_first_hour_bin == True,LONG,fwd_ret_60m,18.29915378191723,0.0,0.020266036137322148,0.5036733659854754,0.23637712915051476,0.19904397905233115,1.2051408670023716,1.0897907659260164,71052,0.020266036137322148,0.29520652967640865,bull_high_vol
rvol_bin == 4 AND is_first_hour_bin == True,LONG,fwd_ret_60m,17.99028146218239,0.0,0.024915204253033656,0.5177947804630523,0.3155540865935122,0.28717452472175603,1.1799229792980246,0.9008242595677232,100507,0.024915204253033656,0.43906078428353046,bull_high_vol
