rule,rule_type,direction,horizon,t_stat,p_value,expectancy,win_rate,avg_win,avg_loss,profit_factor,sharpe,n_samples,mean_ret,std_ret,rule_col,rule_val,rule_col1,rule_val1,rule_col2,rule_val2,aaa_score,regime,is_event_based,passes_event_filter,overfit_check,is_overfit,overfit_reason,overfit_risk,passes_overfit_filter,passes_regime_filter,passes_aaa_score,passes_aaa_filters,validation_passed,validation_reason,val_expectancy,val_expectancy_net,val_win_rate,val_sharpe,val_trades
price_vs_vwap_pct_bin == 3,single,SHORT,fwd_ret_60m,8.288230168436847,0.0,0.020068878,0.49908957074229043,0.5140108,0.47207746,1.0848691,0.4094692054189491,103248,0.020068878,0.77804035,price_vs_vwap_pct_bin,3,,,,,0.01960414026187539,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,,,,,,,
session_range_pct_bin == 0 AND rvol_bin == 4,double,SHORT,fwd_ret_60m,8.531265928708908,0.0,0.06355698,0.4808348647939092,0.77156544,0.59217876,1.2067307,0.8958445004902317,22854,0.06355698,1.1262398,,,session_range_pct_bin,0,rvol_bin,4,0.019441086746453753,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.335569766163826,True,True,False,False,,,,,,,
price_up_vol_weak_bin == True AND ret_30m_bin == 4.0,double,SHORT,fwd_ret_60m,7.127582325271172,1.0385026172343714e-12,0.02568099,0.5104648272433507,0.52854246,0.4986799,1.1051977,0.5641147750120697,40230,0.02568099,0.7226775,,,price_up_vol_weak_bin,True,ret_30m_bin,4.0,0.01911357063145834,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.020929654486701477,True,True,False,False,,,,,,,
ret_15m_turned_positive_bin == True AND ret_60m_turned_positive_bin == True,double,SHORT,fwd_ret_60m,9.691484192687762,0.0,0.017160846,0.500202087444426,0.544937,0.5110422,1.0671873,0.3354793164832648,210305,0.017160846,0.8120321,,,ret_15m_turned_positive_bin,True,ret_60m_turned_positive_bin,True,0.018822954765353624,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.0004041748888519159,True,True,False,False,,,,,,,
at_session_low_bin == True,single,SHORT,fwd_ret_60m,8.14670921609382,4.440892098500626e-16,0.06252574,0.4737002591858515,0.7252026,0.53392184,1.2225091,0.7984241474117777,26236,0.06252574,1.2431555,at_session_low_bin,True,,,,,0.018712567334946088,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.32525741755962373,True,True,False,False,,,,,,,
at_session_low_bin == True AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,8.14670921609382,4.440892098500626e-16,0.06252574,0.4737002591858515,0.7252026,0.53392184,1.2225091,0.7984241474117777,26236,0.06252574,1.2431555,,,at_session_low_bin,True,session_range_pct_bin,0,0.018712567334946088,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.32525741755962373,True,True,False,False,,,,,,,
rel_strength_60m_bin == 1.0 AND session_range_pct_bin == 0,double,SHORT,fwd_ret_60m,7.937881846138487,1.9984014443252818e-15,0.04587662,0.4729758223221816,0.64803976,0.49453235,1.1760217,0.7469954656488448,28456,0.04587662,0.9749306,,,rel_strength_60m_bin,1.0,session_range_pct_bin,0,0.01847360452276865,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.1587661847472191,True,True,False,False,,,,,,,
ret_15m_bin == 4.0 AND session_range_pct_bin == 1,double,SHORT,fwd_ret_60m,8.937113266277956,0.0,0.07264668,0.5143239625167336,0.70698917,0.5991129,1.2496666,1.1607060170449484,14940,0.07264668,0.9935593,,,ret_15m_bin,4.0,session_range_pct_bin,1,0.018451135885232228,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.455114699973958,True,True,False,False,,,,,,,
rel_strength_60m_bin == 4.0 AND price_vs_vwap_pct_bin == 4,double,SHORT,fwd_ret_60m,6.561768411300362,5.369527045218092e-11,0.02516109,0.5177077664227692,0.61535025,0.6083667,1.0857538,0.46766211269005464,49611,0.02516109,0.854078,,,rel_strength_60m_bin,4.0,price_vs_vwap_pct_bin,4,0.018244501444996872,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.03541553284553833,True,True,False,False,,,,,,,
ret_5m_turned_positive_bin == True AND rel_strength_60m_bin == 1.0,double,SHORT,fwd_ret_60m,6.81483855246382,9.53748191534487e-12,0.024413213,0.48859498518951755,0.5420106,0.47009796,1.1015481,0.46990018770596226,53003,0.024413213,0.8247448,,,ret_5m_turned_positive_bin,True,rel_strength_60m_bin,1.0,0.018109082731091734,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,,,,,,,
ret_30m_turned_positive_bin == True AND session_range_pct_bin == 1,double,SHORT,fwd_ret_60m,6.720866198558084,1.8252510614047424e-11,0.02514674,0.4944151984304279,0.56243485,0.5002713,1.099422,0.4702301434352103,51479,0.02514674,0.8489292,,,ret_30m_turned_positive_bin,True,session_range_pct_bin,1,0.018084803113289517,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,,,,,,,
ret_15m_bin == 4.0 AND atr_14_bin == 2,double,SHORT,fwd_ret_60m,8.45867503582619,0.0,0.059198525,0.5142743629036836,0.625311,0.5401874,1.225619,1.011607423429939,17619,0.059198525,0.9289646,,,ret_15m_bin,4.0,atr_14_bin,2,0.017947614466107764,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.32053397383659915,True,True,False,False,,,,,,,
ret_30m_bin == 4.0 AND atr_14_bin == 4,double,SHORT,fwd_ret_60m,6.8196330753864425,9.25459708867038e-12,0.029688742,0.5147478124078262,0.6519483,0.6303943,1.0970536,0.5367220922408419,40684,0.029688742,0.87809724,,,ret_30m_bin,4.0,atr_14_bin,4,0.017743728707123686,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.029495624815652377,True,True,False,False,,,,,,,
ret_30m_bin == 4.0 AND rvol_bin == 4,double,SHORT,fwd_ret_60m,7.636000951310463,2.3314683517128287e-14,0.04736984,0.5126424223505541,0.7085136,0.64807504,1.1499785,0.7571969788721913,25628,0.04736984,0.99310076,,,ret_30m_bin,4.0,rvol_bin,4,0.017584108589908484,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.19898325956326418,True,True,False,False,,,,,,,
ret_30m_turned_positive_bin == True AND rel_strength_60m_bin == 1.0,double,SHORT,fwd_ret_60m,6.779707933118828,1.2190026765779294e-11,0.024956023,0.49018562927435827,0.5261957,0.45698506,1.1071178,0.5071440552230628,45036,0.024956023,0.78116775,,,ret_30m_turned_positive_bin,True,rel_strength_60m_bin,1.0,0.017570291335442915,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,,,,,,,
ret_15m_turned_positive_bin == True AND rel_strength_60m_bin == 4.0,double,SHORT,fwd_ret_60m,7.27192607543089,3.574918139293004e-13,0.020834312,0.514864134440568,0.5589208,0.55022514,1.0780504,0.40460091694450573,81404,0.020834312,0.8174338,,,ret_15m_turned_positive_bin,True,rel_strength_60m_bin,4.0,0.017532958923143282,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.029728268881136,True,True,False,False,,,,,,,
vwap_cross_up_bin == True AND ret_60m_turned_positive_bin == True,double,SHORT,fwd_ret_60m,9.488767378127077,0.0,0.016116815,0.5001709629432269,0.5395469,0.50767136,1.0635148,0.31741738196803637,225195,0.016116815,0.8060255,,,vwap_cross_up_bin,True,ret_60m_turned_positive_bin,True,0.017435934871200164,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.00034192588645387545,True,True,False,False,,,,,,,
ret_30m_bin == 4.0 AND session_range_pct_bin == 1,double,SHORT,fwd_ret_60m,9.29460089873324,0.0,0.0882553,0.510431654676259,0.7318405,0.5827568,1.3093427,1.399196208548635,11120,0.0882553,1.0012959,,,ret_30m_bin,4.0,session_range_pct_bin,1,0.017087086026744924,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.6034163205314882,True,True,False,False,,,,,,,
vwap_cross_up_bin == True AND ret_15m_turned_positive_bin == True,double,SHORT,fwd_ret_60m,9.837447577415228,0.0,0.015099928,0.49772488244924806,0.5391889,0.5042412,1.0596204,0.29688398767384316,276689,0.015099928,0.80739933,,,vwap_cross_up_bin,True,ret_15m_turned_positive_bin,True,0.0168246026426813,bull_high_vol,True,True,"(False, 'PASS')",False,PASS,0.0,True,True,False,False,,,,,,,
rvol_bin == 4 AND price_vs_vwap_pct_bin == 4,double,SHORT,fwd_ret_60m,7.499327538091287,6.616929226765933e-14,0.048606332,0.515538201433057,0.72173923,0.6677056,1.1502615,0.7553170680061521,24842,0.048606332,1.0215598,,,rvol_bin,4,price_vs_vwap_pct_bin,4,0.016792497156980234,bull_high_vol,False,False,"(False, 'PASS')",False,PASS,0.21713972678111865,True,True,False,False,,,,,,,
